lh_pFus,lh_mFus,rh_pFus,rh_mFus
3.347232937812805,3.3538195490837097,2.9225262914385115,2.7670733371338287
3.320308728651567,3.3817323605219523,3.1176805321763204,3.0923239184964086
2.514643820849332,2.9845288315334835,2.7216287307117297,2.7100269527811753
2.6691730891243886,2.855147361755371,2.92434918566754,2.632592019468251
2.913457681262304,3.141696534258254,2.957001735293676,3.2534489464759826
2.7385578616460164,2.7211354212327437,3.1876392894321017,3.1901819517116734
2.6089978540937104,3.117693708788964,2.689727335441403,2.776841449213552
2.781767445344191,2.9020114881651744,2.853729491381301,2.955734303889384
2.8635040809368264,3.129107521504772,3.012126515461848,3.6406092929840086
2.421301211219236,3.3975371774637475,2.660389002488584,3.3135121678406336
2.5389717260996503,3.1302432146939365,,3.033723872384907
3.2307721818647077,3.1114752795085434,3.119679703431971,2.8102985262870788
2.7713578348761208,3.2210717471140735,3.0445375636566516,3.8051363121379507
2.6860671043395996,3.005431099140898,2.7998741534021168,3.059764871447105
3.127177634329166,2.9759207122466145,3.1287227061487015,2.8495293040024605
2.764647505946995,3.379708162943522,2.7762958100347808,3.0070084877840175
2.5055217508409844,2.89696889784601,2.7603323459625244,3.0052692346405565
2.237845068628138,2.8449483413200873,2.4057038402070803,2.843349668714735
2.6075461612028232,3.0688209974014007,2.664382840647842,2.7946239655668084
2.777275805289929,3.259967390696208,2.9408857901891072,2.9946785591266774
2.931024421345104,3.00750414184902,,3.239199459552765
2.3716813555934975,2.764681917897771,2.762001662923579,3.46757715344429
2.9071783152493564,2.935241677013098,2.9906955663068793,2.6219410311942006
2.3465769216418266,3.397930778306106,2.976427123660133,2.5791337225172253
2.661361908912659,3.053339474128954,3.025213781156038,3.0327698196683612
2.485274750699279,3.1096643101085317,2.6742978513240816,3.1587335198326447
2.7168615382650625,2.9218707652319047,2.8286656448521565,3.1957617743631426
2.539851407747011,3.1823009888331097,2.414951555430889,2.983350047304586
2.538407556472286,2.9343756404187946,2.5228902417070724,3.078640348771039
2.5354117734091624,2.83877082730903,2.935348725017113,2.804942391135476
2.568958254531026,2.7723410320281983,2.8243647929160827,2.959342888423375
2.6966760622990598,2.8438243479342074,2.960555285942264,2.9068982790816915
2.9508271801228427,3.0517835558196644,2.590198925171775,3.165024982434567
2.720003632274834,3.1316074411919774,3.146537766456604,2.802683330906762
2.9785494127391297,3.075460294087728,3.025253657783781,3.2589942051304712
2.6508499793708324,3.1401211095578745,2.4042429732826522,2.9437971164270773
3.0200039327961123,3.0141936366997877,3.2816468183545098,2.756940186023712
2.630736009163015,3.1501097202301027,2.933526010048099,3.654464269939222
2.608079744597613,2.827892223993937,2.69866025282277,2.925871402025223
3.0671942043304443,2.675191640853882,2.8652218593640275,3.529410477840539
2.3422455331112477,2.8640081490555853,2.8515763527307754,3.123721332550049
3.1960470214966805,3.102222426371141,2.8865991309285164,3.671007375717163
2.857636461452562,3.7326094082423618,3.008054401193346,
3.097494735437281,2.991347843600858,2.685487599749314,3.0704803006690846
3.5085792541503906,3.2233506739139557,2.9665705521901446,3.36026938756307
2.950685265484978,3.4167526364326477,2.921516928963989,3.7664655491157815
3.212275150575136,3.1751745358491554,2.8446737285387718,3.3134107357118188
2.8229972862062,2.8568795740604402,3.164733507803508,2.9350820373981557
2.0693109035491943,2.8888355919292996,2.5763262377844915,2.77071099281311
2.8528164553998123,2.92546766682675,2.8000377390695657,3.117611609253229
2.908036804199219,3.1216794628280775,3.0741250478860103,3.159525975584984
2.921325747395905,2.9910630713934188,2.632441886833736,2.9468203080843574
2.980135152214452,3.1395540020682593,3.1682146644592284,3.146010225469416
2.8393121267619885,2.8682660833001137,2.9403404934065684,3.085095126288278
3.397414965507312,3.605321661631266,2.9333289861679077,3.2824329951914346
2.42383141040802,3.0537572747371238,2.770544288539085,3.0787800550460815
3.023720732441655,3.0114204486211142,2.7414696099328215,3.0262663782257393
3.0262208363366505,3.146429214722071,3.21530623996959,3.105802028210132
2.792888353610861,3.2231806639967293,2.5827578085440175,3.7950881719589233
2.4656597245030287,3.4161803126335144,3.2381283870110145,3.3042072554429374
2.835911450178727,3.0713898952190695,2.7668626265866414,3.2229242518141463
3.010756684512627,3.191877974404229,3.130345588145049,3.6564707475550033
3.011618350827417,3.008350215546072,2.695773459970951,3.080870085124728
2.785431268519925,3.1956548535726905,3.2333677830903427,2.899804033771638
2.7662633335779585,3.0912353822163174,2.645009838617765,3.097317122643994
2.9635380294835456,3.6127310153600334,2.6930490342470317,3.080501957072152
3.04489418800841,3.51333127302282,2.9881840470325516,3.2959339678287507
2.612097202606921,3.0473859768647413,2.7832980558905804,2.8526288270950317
2.873897075653076,3.362797423412925,3.0771546006202697,3.7495427296079438
2.9171276092529297,3.1336447551686275,2.8005835016568503,3.1795204235957217
2.72570365190506,2.7374540800900804,2.357815943658352,2.8859355768687287
2.8865101704230676,3.0100303989345742,2.8378817596654784,3.004778591069308
2.9510971566905146,2.6429351760495092,2.8534854391346807,2.78417202046043
2.5481355397597603,2.86417326786248,2.9877722490401495,3.1239921702788425
2.8940701990911406,3.079233169555664,3.212264984846115,3.2349235990025975
3.036775509516398,2.817550746833577,2.630873465147175,2.709976559627556
2.488440297019314,2.8699372784415287,2.6686416646329367,3.1443823147745964
2.4065097780788647,3.2844953760504723,2.8556435994612865,2.5808223046754537
2.894625805426335,2.9356976457544275,2.5255984251315775,2.689871139526367
2.79456743468409,2.6676575251988,3.0958581157028675,2.850799496878277
