lh_pFus,lh_mFus,rh_pFus,rh_mFus
4.981952875852585,4.4458763055941635,6.029468774795532,4.1038845189206015
3.8003199696540833,4.815389692783356,5.83354105891251,6.302724722893007
5.098554539409551,3.320727596411834,5.783393202916436,4.462283222298873
6.467381251060356,4.2122247281827425,5.841806857209456,4.439703584897636
5.985231647415767,6.639392786837639,4.701452255249023,5.541800606250763
4.471676931381226,2.7610391703518955,2.9358317454655967,4.551743233557975
4.540054626762867,6.220532384610945,3.837755793478431,5.9236415179221185
4.749847490970905,3.1171110485281264,7.1256094052619545,4.050101670600076
4.692711443736635,5.046292459478184,5.219307686732366,3.7689743041992188
5.4403227783111205,3.812073721075958,6.380280037315524,4.20609923353735
5.461006977823046,5.438159121166576,,5.536760202160588
3.5330564322010165,4.084007291754415,3.4968353930641625,3.9067249337832135
7.371661369865005,6.147017229278132,5.955199402432109,2.5971408865668555
5.711589953985559,5.485847584744717,6.129214941627449,3.521218404995175
5.474892627518132,3.0700163630878223,6.091679680731989,4.159151459995069
4.084673797961363,4.708464741706848,6.47917537797581,4.185899390010383
4.173581957817078,4.054605162805981,4.632109772669126,4.917260581986946
3.9235017137093977,4.295985454088681,3.461026203875639,3.4830950419108073
3.674340504057267,4.666562810674444,5.2282719232819295,3.8359001820737664
3.6800309740580044,2.5967475891113283,3.9249501625696817,2.7469064703694097
3.051524888385426,4.9925100285073984,,4.070644564926624
7.618676660353677,7.351128401381247,5.2226702644113905,3.5635704398155212
6.393203969125624,4.885144446410385,5.671344655531424,4.9692629038118845
6.433548144996166,4.053676296924722,4.466492698306129,5.403153657913208
4.952720708317226,3.0300945007439815,4.728237196018822,4.374006293501172
4.708671016077841,4.444062704389745,4.509126880764962,4.405379358646089
4.324393671491872,4.696355325835092,6.247147139814711,6.404732212591707
5.201381071193798,5.646694485346476,8.407565772533417,5.6111643094957975
5.7913546754467875,4.007311412029797,6.597563312334173,5.112580634215298
7.240120819636753,6.1234357962842845,6.339778507812114,4.301600711995905
3.5797932259738445,5.016802973747254,3.432784313155759,4.0099439188674255
4.100517811713281,4.156295508951755,4.550808351214339,3.232056961818175
6.658526892564734,5.583871600068646,6.899739569631116,6.180717127345432
6.002439168659416,4.61505322760724,5.285602760314942,8.935829242070517
5.303754631383919,4.819869349797567,4.070635640195438,4.107702574796146
5.748143130913377,6.819272393530065,6.784415465480876,6.149953101099152
5.0209973887221455,5.419117890515373,5.842217552489129,5.324834730476141
5.263719109927907,2.8626875400543215,5.534193245376029,2.848117056645845
3.7855916730428145,2.6615015904108685,4.724639250172509,3.8822567048999996
4.575887315273285,2.9041829466819764,5.707493344049775,3.723630843740521
7.479672500427733,7.758608251401823,6.215830118228228,6.458181761503219
4.727757311636402,4.577752817760814,7.838426016271114,4.513603572845459
4.307558193498728,3.160226515361241,4.300561811242785,
5.339845150709152,3.3432403764417096,5.06001056181757,4.270935010491756
3.538753366470337,3.009819522500038,3.5944775104522706,3.1956797497613088
5.680969953536987,3.977559814850489,6.803136406054024,3.3414169285032482
5.323528084315751,3.9404058273021993,5.231249646615174,3.864623721052961
6.13557509581248,4.297115264832973,6.42527538608937,5.175655753054517
2.8525602221488953,3.3298527002334595,4.357032431496514,4.265409175554911
5.2018138899732,3.8434443411074186,5.708417384520821,5.134006282862495
3.711686019897461,4.297843752680598,4.739893241362139,3.7134637236595154
4.711947805444959,4.318588756966865,6.745623456580298,4.726421699132005
3.2425124394266227,4.286143177205866,7.2996114730834964,4.295831487395547
3.774391669976084,3.602376462891698,5.681222472872053,3.8545939002718246
3.7028669592661734,2.9293525854746503,3.4251568069060645,4.222825594064666
4.769869863986969,5.524068969195007,6.667825686831434,5.434091706361089
5.682087182998657,5.284832862601883,6.739871404210075,5.778532711500974
4.487295604887462,4.104539956801977,4.568609777618857,4.512829077708257
4.782427343828925,4.072025218229184,6.552080807862459,2.768019437789917
4.9818439745321506,4.837435935672961,3.692996465242826,4.868929521905051
5.585606186286263,5.057879287462968,6.4824141732284,3.8393123375402913
4.796071288062305,5.591998632307406,8.239541556524193,4.386972128176222
5.81064016735831,4.618481992042228,8.341961978624264,5.074340850492067
6.642928098377428,4.715418643098537,6.043889748531839,4.803164291381836
6.597004311425345,5.304113341229303,7.270083950116084,5.384152808497029
7.422844360921984,4.700937085860485,8.641071475469149,5.695889837212032
4.648203989292713,4.676294263671426,4.779708968587668,3.25070635676384
9.2749032468166,2.630010114266322,7.650637248872032,6.342541150252024
3.644588738679886,2.1893959861052665,2.8196843564510345,2.8383708657889533
4.575349357030163,3.934249399810709,3.5603914340337117,5.311203830262535
3.9998711133003235,5.778799644450552,5.761068756381671,3.7195930951078173
3.5247037685834446,3.6071625159958662,5.3936150320645035,4.200465354052457
2.906530198843583,4.471319248599391,5.62828234485958,3.533196853963952
3.973363803780597,4.015279539112974,4.122262669461114,4.459848557527248
6.938498715831809,3.9690814333141975,2.6460847556591034,5.635660329380551
5.950916863150066,5.16372570921393,5.316534929588193,5.47612140778296
6.029165195747161,4.264560211950274,6.4756688969891245,6.633714843722223
4.390081843909095,4.283244635909796,4.541049520174663,5.582389179028962
5.041612004888231,3.324160977526828,3.774177156961881,3.6725140166282655
6.03223382908365,4.0083121572222025,6.797437597066164,4.113395483656363
4.090634370672292,3.435769353594099,6.671657760938008,4.183743065748459
5.298850528399149,3.0872645548411777,6.041084825992584,5.31587689439046
4.8958078282220026,3.3365598722945813,4.930540730555852,3.2463789713091966
4.29708997408549,4.750292608293436,5.043195584645638,3.8593735517339502
8.439089243374173,2.8195656594775973,7.161881374531105,4.706718706658909
5.571640407497233,3.868803208035634,8.16134861111641,5.989152213206163
4.438768503211794,4.2246851697564125,4.618876054667044,4.773693288244853
5.35636944356172,3.6974707513615703,5.763392547526991,5.512330064406762
7.715203570968964,4.9672116121730285,7.203948016019211,6.213397103386956
3.1149205423536754,4.47343036422023,5.1384157538414,3.7050097640955224
,3.6649752726425997,,5.537804322199778
4.9303357791056674,5.616513903324421,6.735914298172655,4.829920411109924
4.739644554257393,4.303821776954221,5.913676583766938,4.401236458385692
4.811034396143243,3.2920199610152334,5.888625800609589,4.459852897419649
6.2636000082410614,5.205517599749011,8.172808864736945,5.384402250115936
4.140726991800162,4.777748867085106,5.040719002485275,4.2282001181404185
5.360027068700546,3.160798771961315,4.7042737156152725,4.14751505043547
