lh_pFus,lh_mFus,rh_pFus,rh_mFus
-0.23016133904457092,-0.5908968448638916,-0.5451920628547668,-0.7409921288490295
0.052392587065696716,-0.15509477257728577,-0.7763712406158447,-0.7417964339256287
-0.6591574549674988,-0.6994658708572388,-0.9721060991287231,-0.8360910415649414
-0.4218045771121979,-0.382331907749176,-0.4657810926437378,-0.9123125076293945
-0.17021210491657257,-0.6167332530021667,-0.09322085231542587,-0.35762566328048706
-0.8900833129882812,-0.8493869304656982,-0.0319766104221344,-0.5923054814338684
-0.37016913294792175,-0.8787966966629028,-0.13742738962173462,-0.5072804689407349
-0.46910184621810913,-0.9794527292251587,-0.7518628835678101,-1.1160449981689453
0.09749288856983185,-0.6824876070022583,-0.2759588658809662,-0.3579191565513611
-0.6547315120697021,-0.45580410957336426,-0.3719216287136078,-0.3752742409706116
-0.7590066194534302,-0.6235131621360779,,-0.49019014835357666
-0.35308676958084106,-0.8458698391914368,-0.6350994110107422,-0.8822928071022034
-0.6917423605918884,-0.17629210650920868,-0.5672339797019958,-0.07961730659008026
-0.6828801035881042,-0.7387046813964844,-0.9472787380218506,-1.0535069704055786
-0.5646913647651672,-1.1837971210479736,-0.6722777485847473,-1.1539888381958008
-0.2344222366809845,-0.054025694727897644,-0.8435872197151184,-0.6693100333213806
-0.9651262164115906,-0.8753116130828857,-0.5665251016616821,-0.5866302251815796
0.032046325504779816,-0.6019855737686157,-0.6443561315536499,-0.8361239433288574
-0.18417005240917206,-0.707374095916748,-0.06288795173168182,-1.0110435485839844
-1.0026758909225464,-0.419289767742157,-0.3505278527736664,-0.49040687084198
0.06847281754016876,-0.8717480301856995,,-0.235561341047287
-0.49965283274650574,-0.5209265947341919,-0.00981503538787365,-0.5883285403251648
-0.5683827996253967,-0.6697180867195129,-0.1528276801109314,-0.7156537771224976
-0.3837977349758148,-0.12531620264053345,-0.16575568914413452,-0.7797468900680542
-0.9649835824966431,-0.7762412428855896,-0.11087758839130402,-0.8876211047172546
-0.8808892965316772,-0.8370085954666138,-0.7469127774238586,-0.7444489598274231
-0.6866670846939087,-0.5194163918495178,-1.003942608833313,-0.6219825148582458
0.12230228632688522,-0.31701549887657166,-0.19119596481323242,-0.7767263054847717
-0.4383673369884491,-0.6756046414375305,-0.8842418193817139,-0.5177621245384216
-0.6548159122467041,-0.6330640316009521,-0.6081875562667847,-0.7498877644538879
-0.3444972336292267,-0.584372878074646,-0.19562438130378723,-0.8755702972412109
-0.5937291979789734,-0.6450703144073486,-0.5750107765197754,-0.6477736830711365
-0.9590677618980408,-0.9136408567428589,-0.8921685814857483,-1.0203437805175781
-0.8585428595542908,-0.8371341824531555,-0.2219337373971939,-0.9839783906936646
-0.37511149048805237,-0.5901622772216797,-0.6071759462356567,-0.4027021527290344
-0.03626631572842598,-0.7145972847938538,-0.7603623867034912,-0.3184395730495453
-0.2639525830745697,-0.9522977471351624,-0.6642969250679016,-0.9225110411643982
-0.9978760480880737,0.14433446526527405,-0.11693675071001053,-0.22388391196727753
-0.49857017397880554,-0.47209522128105164,-0.3137020766735077,-0.5731098651885986
-0.3585834503173828,-0.6144059896469116,-0.8810160756111145,-0.4309709966182709
-0.7379645705223083,-0.7457891702651978,-0.6192784309387207,-0.9721583127975464
0.23172511160373688,-0.2948167622089386,-0.6147769093513489,-0.23976875841617584
-0.41971760988235474,-0.36865484714508057,-0.38830864429473877,
-0.33397042751312256,-0.598284900188446,-0.4296465814113617,-0.36684224009513855
0.01875574328005314,-0.3364398181438446,-0.35547494888305664,-0.23038968443870544
-0.7858735918998718,-0.3187222182750702,-0.5475543737411499,-0.0022084154188632965
-0.24943670630455017,-0.4225718677043915,-0.4218221604824066,-0.3592522144317627
-0.1917761266231537,-0.6743136048316956,-0.5403096675872803,-0.7820337414741516
0.25266826152801514,-0.6144298911094666,-0.10715064406394958,-0.21461723744869232
-0.438181072473526,-0.3242674171924591,-0.34304288029670715,-0.3716018795967102
0.0783342495560646,-0.8474690914154053,-0.40607374906539917,-0.7200483679771423
-0.36706775426864624,-0.903583288192749,-0.3709524869918823,-0.39042726159095764
-0.16019226610660553,-0.3869829475879669,-0.12762294709682465,-0.5950955748558044
-0.17406035959720612,-0.6961597800254822,-0.17019428312778473,-0.4618019461631775
-0.6484292149543762,-0.40433722734451294,-0.6043636798858643,-0.6264176964759827
-0.6380714178085327,-0.5799832344055176,-0.6682464480400085,-0.7428607940673828
-0.09883876889944077,-0.4850311279296875,-0.6184044480323792,-0.5540055632591248
-0.16667449474334717,-0.44033634662628174,-0.24405737221240997,-0.889872670173645
-0.7157312631607056,-0.7080034613609314,-0.7145504951477051,-0.04750802367925644
-0.7993624806404114,-0.569567859172821,0.20553123950958252,-0.40395665168762207
