lh_pFus,lh_mFus,rh_pFus,rh_mFus
6.864059239625931,5.249375224113464,6.696423421100694,4.859948580141191
9.277418624271046,6.656393313407898,8.255631138638753,8.074608945077465
6.011779321865602,4.906765557624198,8.109237746699996,5.872891787635653
7.223589329143702,4.7956650884527905,7.853721637474863,4.792518817699782
6.371626732841371,6.975498390641619,4.891239964772785,5.2610054461658
4.184919918378194,2.651787256652659,0.7037347820070055,2.800966299627677
6.321308055271705,5.4370184629674885,5.565284133684345,5.519062180686128
7.101846625254704,3.4668948888512596,9.546985594882178,3.3948164893925643
5.1604083488727435,4.433655829948126,5.209003055095673,6.127980270385742
7.399519607245204,4.333805449728696,6.373274865199108,5.212028422445621
7.794126632478502,6.037930368293416,,7.093822367765285
5.525740358137315,4.455878561747468,7.904553703233307,2.5452616427093746
8.841801639075753,6.343547754973735,7.042822279902392,3.812738201834939
6.257563624396382,5.043243826703822,5.675810590690364,2.4935944647946227
6.7266956500287325,1.9920116242240458,7.0828921179617605,1.578516451936019
4.7042463160667225,5.031809222698212,5.79560126138456,3.3497889137232866
4.861833172499156,3.479125318906477,5.027496145196157,4.44253034079284
4.565663310614499,5.030523498724033,5.442463970610073,3.969841922654046
5.609072138281429,5.014402600357661,5.521044059233232,3.9806065589020196
6.087231402213757,5.364682499567667,6.60360548098882,4.91688158777025
6.591865084388039,5.647250367895417,,5.410029169172049
10.495387437050802,8.078185073445352,4.6390446016663,4.2276808500289915
7.094984575235224,4.742796545081279,7.823063269073581,5.406717525393355
9.874722247322401,7.9161086329098405,8.293864772669853,8.13931761847602
6.169854609554426,5.848274100910533,7.6646559824023335,5.984783147062574
6.805894238974458,5.495938663004023,5.5033572018146515,5.039288473307296
8.797737567321114,6.614112672351656,8.003708714369646,6.613095613112778
8.41516428460946,7.471655925114949,10.826058313250542,4.920413637979448
6.920486330986023,4.627864605850643,7.634613377206466,6.667650487493066
9.185458653313773,7.565977163002139,6.465955090202108,5.66182267665863
5.369406978599727,5.560644610325496,3.3161920295096934,5.9561668411716004
4.710290198202257,3.815489880807765,4.074449902354944,2.918648898601532
8.306139439952616,5.736738317542606,8.79113874695767,6.16298935987125
6.263916408693468,5.542050610197351,6.987402477562427,7.341659239927927
7.555260749510777,3.722198940316836,5.764511736375945,4.251597834130128
6.612435073824599,7.489419414238497,7.551849546675342,4.366370808217943
7.331140562279583,6.281248434654717,5.47074399413406,7.041994571685791
4.045991841484518,2.4220701932907103,4.35547355616965,2.5260914419042435
6.049640134229499,5.266119718551636,7.922734167840746,6.138939210938083
6.639112830162048,4.893546980619431,9.765696839000402,6.605435255802039
10.053394104572053,8.473080549950469,6.887591569851606,8.753105380535125
7.595025800889538,6.228846753862771,10.986631758511066,11.359717464447021
2.346098690616841,1.110350945166179,3.100948237414871,
4.666160476558349,3.99252664273785,6.058298200368881,4.0048868760728
5.2657876968383786,2.4828287940472364,6.06503480275472,3.938603951817467
6.045503922069774,4.971259664744139,8.143501028077292,4.063745950659116
5.765027326972861,0.9272125380543562,5.45240303957677,2.234779734255337
4.25491504313513,1.2883454393129796,5.263325137130561,1.5558879760668634
1.3351752161979675,2.7169179239177277,3.859264029396905,6.350834623972575
7.5987942752553455,5.780310781378495,8.358284685922706,6.001132693945193
5.574808740615845,2.3609936146971746,7.176441378665693,3.6921364285129434
6.993487454635996,5.381360599364357,7.942298388906887,6.289980418469808
6.624037228132549,9.008952930569649,9.662978268265725,6.826029879430478
6.9961956927650855,3.4694222097750753,7.651492301906858,3.62034941823887
5.335703116196853,0.9390337304522594,8.623451252778372,6.6421817512047
6.535319355726242,6.212257722026257,8.456726607874412,7.199847223503249
7.6488759164456965,6.494037259584186,8.20821192616322,5.955707399347394
4.991778797573513,3.3974180221557617,3.353021296508172,4.282372338431222
6.466412908044354,4.047440684946446,8.002942590801805,4.010431885719299
,,,
7.831667153731637,6.5012507530359125,7.526328495304499,4.85474469855025
9.479829916139929,6.747598908565663,9.841053610262664,6.40336083313998
6.228878085003343,3.9222750480044377,7.808806729347755,4.248046688028151
8.000921414983004,5.846215322371421,9.716707555107448,5.947993114254167
9.631088071399265,7.732228462185178,9.09328530384944,5.631159454584122
7.664789300098597,4.696257003356476,8.252642104258904,4.4620069072892266
5.97773969046613,4.549847948200562,4.27883673526616,4.254769013822079
9.64183928381722,2.8244637227975407,9.490750144904768,7.349668723344803
5.164144143462181,3.688031635786358,5.329077359288931,2.9281036576320387
5.139991261371194,3.170337310080887,8.053750872612,6.367666470810262
5.884029386267066,5.434854937582901,6.884151453773181,4.780581418897064
5.8846549437596245,4.568150982008142,6.4374892307424,2.966683479872617
6.656389029129691,5.912222116224227,8.447037240733271,4.8379258207584686
2.365911361639914,0.9694568690347252,2.6542248584862267,2.914087630163592
6.392426975683807,5.951926478799784,4.2691730707883835,6.635391842523539
6.526089760992262,4.34744471218437,6.303417479161356,4.7821450743958085
8.651123946821185,4.096044216972234,7.346152576004586,6.271877689305151
7.074709341806524,3.7683006962761283,7.412674156519083,5.709480216628627
5.512626393333726,2.537004654388036,3.568691707192323,5.081452903747558
4.801598434538945,2.07619447194572,4.945170738734305,2.894450381059538
3.9919169118692137,3.233277305960655,6.64738978818059,5.090562923405415
8.634345816430592,2.801972211764327,10.667737007141113,7.34591803108294
3.430165339793478,2.948947113835751,4.092323648743331,0.3468179452891757
,,,
9.258849331310817,2.544598786603837,7.2115812560573955,5.029158631605761
8.64070521701466,3.6340964292281104,9.260083442642575,6.345932860934251
4.617973820262012,4.477609159424901,5.753932322227005,5.908930343825642
7.113710921743642,4.851576247940892,5.963682198739914,4.930244209257872
8.778223921270932,4.866844842562804,6.555834026680779,4.693291273270105
4.464511542093186,5.910248853542186,7.660569918783088,5.229861623836014
,3.5671217398264923,,5.661056660736601
6.328783408730431,4.619884601006141,8.981920653376086,5.577183383753744
4.374615446105599,3.944918883387262,6.498928630634743,4.088835008354748
5.22139337467085,2.5195530536320976,6.3844163285361395,5.675675396358265
6.654289886697955,5.495344895032025,7.127360334301867,4.181180067423329
7.165443023351522,4.350464950247031,7.655332675203681,5.468019190401134
7.8035127107913675,5.206709972909979,9.276939034461975,6.993712202977326
5.387085455947388,4.9217287711799145,7.587734399839889,5.273278948806581
,6.4435529543998395,4.2787161895207,6.656677909618751
7.285486417658189,7.601238728486575,7.746253030045944,6.179809643898481
6.149460638010943,,7.035808724910021,6.962493129810433
,,,
4.952781285616484,4.064992485651329,6.450877442955971,4.058619376151793
6.135547677894215,2.590140401245749,6.618612271366698,1.9936820818827703
,,,
2.6508812063301983,0.40790868956934323,3.0728645674794555,2.102046622008812
7.192394318228418,6.582443422345973,5.003472969754712,4.415626079968686
7.48930904681866,7.323103595863689,8.148785623220297,3.7182250022888184
8.277332527339459,7.94184095346475,10.60048058158473,6.981168193074892
9.286507958715612,6.445591882372103,9.727157892851993,5.237587769386462
4.806076105464907,2.22150542458985,6.217138783622334,3.260907839645039
6.493163974779956,4.981957759175982,5.2851498784690065,2.965465889622768
8.021915746771771,6.731496104487666,7.221137987715857,6.242985229492188
3.078386807236178,2.73776917208395,0.7322442728357438,1.6541977100208536
1.7855671755969524,1.8982682527353367,2.6161092875095515,4.237442396142903
5.724018511653412,6.52005760371685,5.990618021399887,5.720375130077203
6.9992649040438915,5.662926322884029,6.377307999363312,1.9336829106422497
6.698562954292923,5.077101785962174,8.195544060358067,3.007838502124536
8.44411883354187,6.758415529743219,10.604174904823303,3.507293144479776
8.287195911010107,6.663347085826417,5.579438803036038,4.660983338747939
5.248284767974507,4.331410988292715,5.922013551755636,4.5446756115603835
5.584480829929051,5.020910269328367,5.924603273662237,5.339589765641541
4.780816450715065,3.9345614111889864,,6.599929134760584
7.411284882372076,3.7441426600728716,5.680843833721045,4.385824789416115
5.817364933642935,4.231886160928149,4.122330012528793,1.9640555146714331
4.856840889794486,4.795354141005829,7.549951276293507,5.422606902463095
7.945710139060524,9.263691319359673,7.778617286524236,3.973457407492858
7.0363872986836515,3.487190547088782,6.015239889777842,4.811123434086575
1.352295990784963,3.4641612955392938,5.407060241699218,5.758171358975497
6.241881776363291,4.453422840564482,6.935493751256554,6.44258713529956
8.416922003572637,6.978796844358568,8.733657520750295,6.6777042512800175
7.449355490696736,5.509930929267092,7.672757090354453,7.45894281296122
,,,
,6.930376413303453,,4.496594429947436
4.929008372321531,2.417258615581653,3.836903071985012,2.617411358462226
7.694811983542009,6.296855529149373,6.377155382843578,7.408628280810786
4.987165728075937,4.132341899655082,4.428572921778844,2.711400934184591
5.21482212903599,5.5718946628498305,6.998960325592442,7.140474718809128
4.445664194424947,4.159808474557044,7.612748456723763,
4.75225831681894,7.916838734117273,7.967982986488858,5.079326748049685
6.333425441095906,4.201099935173988,6.793082553810543,3.4087792376521975
5.293754439834239,2.7596491647618158,7.630928156119358,4.717959293315554
5.828233876398632,0.699257105588913,7.119736633621729,5.353652922419023
5.322625844539808,3.398686339241871,4.579731691967357,4.695392507946853
9.033741361954633,6.402773147629153,8.758850394595752,6.124044513400597
6.919159431083529,4.089861008950642,6.088151037693024,3.2035935192058482
