"","sub","sulci","dice","method","type"
"452",104820,"mcgs",0.882189239,"CNN","prominent sulci"
"453",105014,"mcgs",0.8114847,"CNN","prominent sulci"
"454",105115,"mcgs",0.940549405,"CNN","prominent sulci"
"455",105216,"mcgs",0.88527017,"CNN","prominent sulci"
"456",105620,"mcgs",0.947368421,"CNN","prominent sulci"
"457",105923,"mcgs",0.724952741,"CNN","prominent sulci"
"458",106016,"mcgs",0.939356939,"CNN","prominent sulci"
"459",106319,"mcgs",0.832136445,"CNN","prominent sulci"
"460",106521,"mcgs",0.920426579,"CNN","prominent sulci"
"461",107018,"mcgs",0.96700275,"CNN","prominent sulci"
"462",107220,"mcgs",0.928446771,"CNN","prominent sulci"
"463",107321,"mcgs",0.870933893,"CNN","prominent sulci"
"464",107422,"mcgs",0.847742923,"CNN","prominent sulci"
"465",107725,"mcgs",0.82124455,"CNN","prominent sulci"
"466",108121,"mcgs",0.920277296,"CNN","prominent sulci"
"467",108222,"mcgs",0.920827389,"CNN","prominent sulci"
"468",108323,"mcgs",0.84822695,"CNN","prominent sulci"
"469",108525,"mcgs",0.941964286,"CNN","prominent sulci"
"470",108828,"mcgs",0.743774211,"CNN","prominent sulci"
"471",109123,"mcgs",0.655445545,"CNN","prominent sulci"
"472",109325,"mcgs",0.895940271,"CNN","prominent sulci"
"473",109830,"mcgs",0.938092582,"CNN","prominent sulci"
"474",110007,"mcgs",0.817477876,"CNN","prominent sulci"
"475",110411,"mcgs",0.914007092,"CNN","prominent sulci"
"476",110613,"mcgs",0.79273042,"CNN","prominent sulci"
"477",112920,"mcgs",0.84272997,"CNN","prominent sulci"
"478",114924,"mcgs",0.882497946,"CNN","prominent sulci"
"479",128127,"mcgs",0.760701182,"CNN","prominent sulci"
"480",133928,"mcgs",0.029568303,"CNN","prominent sulci"
"481",144125,"mcgs",0.008123477,"CNN","prominent sulci"
"482",146937,"mcgs",0.834868017,"CNN","prominent sulci"
"483",151425,"mcgs",0.625273923,"CNN","prominent sulci"
"484",151829,"mcgs",0.835196889,"CNN","prominent sulci"
"485",164939,"mcgs",0.865721435,"CNN","prominent sulci"
"486",176744,"mcgs",0.76264881,"CNN","prominent sulci"
"487",180937,"mcgs",0.862416107,"CNN","prominent sulci"
"488",185947,"mcgs",0.878640777,"CNN","prominent sulci"
"489",214019,"mcgs",0.824324324,"CNN","prominent sulci"
"490",268749,"mcgs",0.613901573,"CNN","prominent sulci"
"491",365343,"mcgs",0.867285196,"CNN","prominent sulci"
"492",380036,"mcgs",0.918599363,"CNN","prominent sulci"
"493",517239,"mcgs",0.840824603,"CNN","prominent sulci"
"494",522434,"mcgs",0.788577154,"CNN","prominent sulci"
"495",531536,"mcgs",0.895721925,"CNN","prominent sulci"
"496",566454,"mcgs",0.828460039,"CNN","prominent sulci"
"497",585256,"mcgs",0.91119334,"CNN","prominent sulci"
"498",622236,"mcgs",0.185093168,"CNN","prominent sulci"
"499",644044,"mcgs",0.921668362,"CNN","prominent sulci"
"500",679770,"mcgs",0.829917296,"CNN","prominent sulci"
"501",687163,"mcgs",0.8867745,"CNN","prominent sulci"
"502",867468,"mcgs",0.942340792,"CNN","prominent sulci"
"503",910241,"mcgs",0.937147811,"CNN","prominent sulci"
"504",959574,"mcgs",0.83426823,"CNN","prominent sulci"
"505",100206,"ifrms",0.559241706,"CNN","less prominent sulci"
"506",100307,"ifrms",0.752293578,"CNN","less prominent sulci"
"507",100408,"ifrms",0.762295082,"CNN","less prominent sulci"
"508",100610,"ifrms",0.759259259,"CNN","less prominent sulci"
"509",101006,"ifrms",0.582278481,"CNN","less prominent sulci"
"510",101107,"ifrms",0.897058824,"CNN","less prominent sulci"
"511",101309,"ifrms",0.626666667,"CNN","less prominent sulci"
"512",101410,"ifrms",0.820512821,"CNN","less prominent sulci"
"513",101915,"ifrms",0.863636364,"CNN","less prominent sulci"
"514",102008,"ifrms",0.565400844,"CNN","less prominent sulci"
"515",102311,"ifrms",0.733333333,"CNN","less prominent sulci"
"516",102513,"ifrms",0.882129278,"CNN","less prominent sulci"
"517",102816,"ifrms",0.893203883,"CNN","less prominent sulci"
"518",103111,"ifrms",0.864628821,"CNN","less prominent sulci"
"519",103414,"ifrms",0.590277778,"CNN","less prominent sulci"
"520",103515,"ifrms",0.042918455,"CNN","less prominent sulci"
"521",103818,"ifrms",0,"CNN","less prominent sulci"
"522",104012,"ifrms",0.619047619,"CNN","less prominent sulci"
"523",104416,"ifrms",0.634920635,"CNN","less prominent sulci"
"524",104820,"ifrms",0.656126482,"CNN","less prominent sulci"
"525",105014,"ifrms",0.476683938,"CNN","less prominent sulci"
"526",105115,"ifrms",0.556962025,"CNN","less prominent sulci"
"527",105216,"ifrms",0.596491228,"CNN","less prominent sulci"
"528",105620,"ifrms",0.855967078,"CNN","less prominent sulci"
"529",105923,"ifrms",0.898876404,"CNN","less prominent sulci"
"530",106016,"ifrms",0.56,"CNN","less prominent sulci"
"531",106319,"ifrms",0.352517986,"CNN","less prominent sulci"
"532",106521,"ifrms",0.786127168,"CNN","less prominent sulci"
"533",107018,"ifrms",0.736842105,"CNN","less prominent sulci"
"534",107220,"ifrms",0.398190045,"CNN","less prominent sulci"
"535",107321,"ifrms",0.729411765,"CNN","less prominent sulci"
"536",107422,"ifrms",0.705394191,"CNN","less prominent sulci"
"537",107725,"ifrms",0.873096447,"CNN","less prominent sulci"
"538",108121,"ifrms",0.727272727,"CNN","less prominent sulci"
"539",108222,"ifrms",0,"CNN","less prominent sulci"
"540",108323,"ifrms",0.876847291,"CNN","less prominent sulci"
"541",108525,"ifrms",0.714285714,"CNN","less prominent sulci"
"542",108828,"ifrms",0.768729642,"CNN","less prominent sulci"
"543",109123,"ifrms",0.787330317,"CNN","less prominent sulci"
"544",109325,"ifrms",0.585365854,"CNN","less prominent sulci"
"545",109830,"ifrms",0.86746988,"CNN","less prominent sulci"
"546",110007,"ifrms",0.684210526,"CNN","less prominent sulci"
"547",110411,"ifrms",0.839590444,"CNN","less prominent sulci"
"548",110613,"ifrms",0,"CNN","less prominent sulci"
"549",112920,"ifrms",0.394202899,"CNN","less prominent sulci"
"550",114924,"ifrms",0.842105263,"CNN","less prominent sulci"
"551",128127,"ifrms",0.842105263,"CNN","less prominent sulci"
"552",133928,"ifrms",0.326693227,"CNN","less prominent sulci"
"553",144125,"ifrms",0.89539749,"CNN","less prominent sulci"
"554",146937,"ifrms",0,"CNN","less prominent sulci"
"555",151425,"ifrms",0.77170418,"CNN","less prominent sulci"
"556",151829,"ifrms",0.78125,"CNN","less prominent sulci"
"557",164939,"ifrms",0.742857143,"CNN","less prominent sulci"
"558",176744,"ifrms",0.630136986,"CNN","less prominent sulci"
"559",180937,"ifrms",0.153846154,"CNN","less prominent sulci"
"560",185947,"ifrms",0.306010929,"CNN","less prominent sulci"
"561",214019,"ifrms",0.289473684,"CNN","less prominent sulci"
"562",268749,"ifrms",0.670050761,"CNN","less prominent sulci"
"563",365343,"ifrms",0.874074074,"CNN","less prominent sulci"
"564",380036,"ifrms",0.75,"CNN","less prominent sulci"
"565",517239,"ifrms",0.797385621,"CNN","less prominent sulci"
"566",522434,"ifrms",0.49382716,"CNN","less prominent sulci"
"567",531536,"ifrms",0.873096447,"CNN","less prominent sulci"
"568",566454,"ifrms",0.371134021,"CNN","less prominent sulci"
"569",585256,"ifrms",0.154761905,"CNN","less prominent sulci"
"570",622236,"ifrms",0.682080925,"CNN","less prominent sulci"
"571",644044,"ifrms",0.680272109,"CNN","less prominent sulci"
"572",679770,"ifrms",0.643776824,"CNN","less prominent sulci"
"573",687163,"ifrms",0,"CNN","less prominent sulci"
"574",867468,"ifrms",0.089108911,"CNN","less prominent sulci"
"575",910241,"ifrms",0.714285714,"CNN","less prominent sulci"
"576",959574,"ifrms",0.738255034,"CNN","less prominent sulci"
