"","sub","sulci","dice","method","type"
"93",105014,"prcus-p",0.332288401,"CNN","less prominent sulci"
"94",105115,"prcus-p",0.751445087,"CNN","less prominent sulci"
"95",105216,"prcus-p",0.422740525,"CNN","less prominent sulci"
"96",105620,"prcus-p",0.023681378,"CNN","less prominent sulci"
"97",105923,"prcus-p",0.680497925,"CNN","less prominent sulci"
"98",106016,"prcus-p",0.537428023,"CNN","less prominent sulci"
"99",106319,"prcus-p",0.890995261,"CNN","less prominent sulci"
"100",106521,"prcus-p",0.659259259,"CNN","less prominent sulci"
"101",107018,"prcus-p",0.92,"CNN","less prominent sulci"
"102",107220,"prcus-p",0.714285714,"CNN","less prominent sulci"
"103",107321,"prcus-p",0.769230769,"CNN","less prominent sulci"
"104",107422,"prcus-p",0.764346764,"CNN","less prominent sulci"
"105",107725,"prcus-p",0.714031972,"CNN","less prominent sulci"
"106",108121,"prcus-p",0.623376623,"CNN","less prominent sulci"
"107",108222,"prcus-p",0.763092269,"CNN","less prominent sulci"
"108",108323,"prcus-p",0.925696594,"CNN","less prominent sulci"
"109",108525,"prcus-p",0.212523719,"CNN","less prominent sulci"
"110",108828,"prcus-p",0.948130277,"CNN","less prominent sulci"
"111",109123,"prcus-p",0.5,"CNN","less prominent sulci"
"112",109325,"prcus-p",0.194008559,"CNN","less prominent sulci"
"113",109830,"prcus-p",0.60665362,"CNN","less prominent sulci"
"114",110007,"prcus-p",0.598984772,"CNN","less prominent sulci"
"115",110411,"prcus-p",0.205128205,"CNN","less prominent sulci"
"116",110613,"prcus-p",0,"CNN","less prominent sulci"
"117",112920,"prcus-p",0.75,"CNN","less prominent sulci"
"118",114924,"prcus-p",0.566666667,"CNN","less prominent sulci"
"119",128127,"prcus-p",0,"CNN","less prominent sulci"
"120",133928,"prcus-p",0,"CNN","less prominent sulci"
"121",144125,"prcus-p",0,"CNN","less prominent sulci"
"122",146937,"prcus-p",0.791018998,"CNN","less prominent sulci"
"123",151425,"prcus-p",0.124076809,"CNN","less prominent sulci"
"124",151829,"prcus-p",0.678362573,"CNN","less prominent sulci"
"125",164939,"prcus-p",0.581132075,"CNN","less prominent sulci"
"126",176744,"prcus-p",0.492179353,"CNN","less prominent sulci"
"127",180937,"prcus-p",0.250832408,"CNN","less prominent sulci"
"128",185947,"prcus-p",0,"CNN","less prominent sulci"
"129",214019,"prcus-p",0.804232804,"CNN","less prominent sulci"
"130",268749,"prcus-p",0.673758865,"CNN","less prominent sulci"
"131",365343,"prcus-p",0.783505155,"CNN","less prominent sulci"
"132",380036,"prcus-p",0.739454094,"CNN","less prominent sulci"
"133",517239,"prcus-p",0.504545455,"CNN","less prominent sulci"
"134",522434,"prcus-p",0.284671533,"CNN","less prominent sulci"
"135",531536,"prcus-p",0.740203193,"CNN","less prominent sulci"
"136",566454,"prcus-p",0,"CNN","less prominent sulci"
"137",585256,"prcus-p",0.547945205,"CNN","less prominent sulci"
"138",622236,"prcus-p",0.781563126,"CNN","less prominent sulci"
"139",644044,"prcus-p",0.335329341,"CNN","less prominent sulci"
"140",679770,"prcus-p",0.271565495,"CNN","less prominent sulci"
"141",687163,"prcus-p",0.847100176,"CNN","less prominent sulci"
"142",867468,"prcus-p",0.87032419,"CNN","less prominent sulci"
"143",910241,"prcus-p",0.846153846,"CNN","less prominent sulci"
"144",959574,"prcus-p",0.453961456,"CNN","less prominent sulci"
"145",100206,"prcus-i",0.84698609,"CNN","less prominent sulci"
"146",100307,"prcus-i",0.21559633,"CNN","less prominent sulci"
"147",100408,"prcus-i",0,"CNN","less prominent sulci"
"148",100610,"prcus-i",0,"CNN","less prominent sulci"
