"","sub","hemi","tert_group","R_coord","A_coord","S_coord","tert_group3","ControlB_R_coord","ControlB_A_coord","ControlB_S_coord","ControlC_R_coord","ControlC_A_coord","ControlC_S_coord","dataset"
"1",100206,"lh","lh_12",-3.65840277777778,-15.1901736111111,9.30624305555556,"without_3",-2.81094565217391,-20.7257554347826,10.0121195652174,-3.04640520446097,-10.9795724907063,5.13518215613383,"HCP_discovery"
"2",100206,"rh","rh_123",8.22231868131868,-5.71957142857143,10.3197802197802,"with_3",8.89719163763066,-10.4736411149826,10.6361289198606,8.49881616481775,-7.95852297939778,8.65528684627575,"HCP_discovery"
"3",100307,"lh","lh_123",-3.72373684210526,-13.6304060150376,9.8125037593985,"with_3",-3.75089024390244,-14.5830365853659,10.7729146341463,-3.18236842105263,-12.7497707979626,10.3458624787776,"HCP_discovery"
"4",100307,"rh","rh_2",7.7055145631068,-10.7120291262136,9.38638834951456,"without_3",7.71303389830508,-16.0337796610169,7.28479661016949,7.29905714285714,-9.06021558441558,7.41671428571429,"HCP_discovery"
"5",100408,"lh","lh_123",-6.00776041666667,-14.79365625,10.4257916666667,"with_3",-5.0370597826087,-19.1163152173913,7.18671739130435,-6.2933903654485,-12.5174817275748,9.60335548172757,"HCP_discovery"
"6",100408,"rh","rh_23",5.62829473684211,-16.1228105263158,12.5194315789474,"with_3",4.75064285714286,-18.6385,12.2672678571429,5.51708867667121,-8.9308485675307,10.8407789904502,"HCP_discovery"
"7",100610,"lh","lh_12",-4.65612941176471,-14.4798470588235,17.3622235294118,"without_3",-4.5886157635468,-17.7911527093596,18.415,-4.88605152671756,-12.3801622137405,14.4898435114504,"HCP_discovery"
"8",100610,"rh","rh_23",6.24659821428571,-16.4805089285714,18.2864017857143,"with_3",8.06369565217391,-21.6274949832776,16.2872240802676,5.89248011782032,-12.8327555228277,14.7099145802651,"HCP_discovery"
"9",101006,"lh","lh_12",-2.27155555555556,-8.39388888888889,10.4004074074074,"without_3",-2.72569613259668,-14.5016906077348,13.7341049723757,-2.08684179104478,-8.06530149253731,8.10236119402985,"HCP_discovery"
"10",101006,"rh","rh_23",7.84887425149701,-16.3586886227545,14.4539580838323,"with_3",6.80270351758794,-14.9929346733668,15.0037537688442,6.88765595463138,-9.19052173913044,9.25834782608696,"HCP_discovery"
