sub,hemi,label,total_surface_area_.mm.2.,cortical_thickness_mean,dataset,group,group_hemi,sulcal_depth_mm
002_S_0685,lh,prcus-i,99,2.947,ADNI,older adult,oa lh,3.28731626876354
002_S_0685,lh,prcus-p,93,1.965,ADNI,older adult,oa lh,7.66028846809395
002_S_0685,lh,spls,409,2.489,ADNI,older adult,oa lh,9.24195613628777
002_S_0685,lh,sps,696,1.942,ADNI,older adult,oa lh,12.9414933130881
002_S_0685,rh,ifrms,33,3.367,ADNI,older adult,oa rh,0.958240135132074
002_S_0685,rh,mcgs,932,1.881,ADNI,older adult,oa rh,13.919453016307
002_S_0685,rh,pos,612,2.416,ADNI,older adult,oa rh,18.8398615012095
002_S_0685,rh,prculs,433,1.751,ADNI,older adult,oa rh,13.6505104677105
002_S_0685,rh,prcus-a,70,2.135,ADNI,older adult,oa rh,5.40054957086516
002_S_0685,rh,prcus-i,136,2.266,ADNI,older adult,oa rh,6.23276085304992
002_S_0685,rh,prcus-p,113,2.301,ADNI,older adult,oa rh,4.25237077542886
002_S_0685,rh,spls,227,3.017,ADNI,older adult,oa rh,5.59962989359908
002_S_0685,rh,sps,667,1.886,ADNI,older adult,oa rh,12.067137020169
002_S_1261,lh,icgs-p,31,2.908,ADNI,older adult,oa lh,2.27839302019573
002_S_1261,lh,ifrms,32,2.823,ADNI,older adult,oa lh,2.51590274230574
002_S_1261,lh,mcgs,959,1.766,ADNI,older adult,oa lh,15.8423402899653
002_S_1261,lh,pos,766,1.936,ADNI,older adult,oa lh,20.4791233619274
002_S_1261,lh,prculs,489,1.837,ADNI,older adult,oa lh,15.7436209112736
002_S_1261,lh,prcus-a,40,2.581,ADNI,older adult,oa lh,6.86551346835575
002_S_1261,lh,prcus-i,246,2.446,ADNI,older adult,oa lh,6.90752947034313
002_S_1261,lh,prcus-p,105,2.081,ADNI,older adult,oa lh,5.93685287625783
002_S_1261,lh,spls,314,2.609,ADNI,older adult,oa lh,10.4643627937531
002_S_1261,lh,sps,511,1.479,ADNI,older adult,oa lh,10.6525056595043
002_S_1261,lh,sspls,62,3.034,ADNI,older adult,oa lh,2.84867783750877
002_S_1261,rh,ifrms,68,3.209,ADNI,older adult,oa rh,1.83103604429774
002_S_1261,rh,mcgs,849,1.717,ADNI,older adult,oa rh,14.0367140484255
002_S_1261,rh,pos,1131,1.877,ADNI,older adult,oa rh,19.3521179674719
002_S_1261,rh,prculs,227,1.748,ADNI,older adult,oa rh,10.3465869698404
002_S_1261,rh,prcus-a,345,1.818,ADNI,older adult,oa rh,8.25735236918041
002_S_1261,rh,prcus-i,137,2.367,ADNI,older adult,oa rh,2.36281066217378
002_S_1261,rh,prcus-p,65,3.011,ADNI,older adult,oa rh,1.17554380397191
002_S_1261,rh,spls,458,2.427,ADNI,older adult,oa rh,11.2470812747141
002_S_1261,rh,sps,304,1.486,ADNI,older adult,oa rh,8.85605227276759
002_S_1261,rh,sspls,29,2.753,ADNI,older adult,oa rh,1.56493351467161
002_S_1280,lh,ifrms,39,2.907,ADNI,older adult,oa lh,2.65871963176578
002_S_1280,lh,mcgs,687,2.022,ADNI,older adult,oa lh,15.2727238547293
002_S_1280,lh,pos,759,2.093,ADNI,older adult,oa lh,19.8266781918027
002_S_1280,lh,prculs,113,2.464,ADNI,older adult,oa lh,12.1746832024449
002_S_1280,lh,prcus-a,98,1.659,ADNI,older adult,oa lh,9.60264230235563
