"","sub","label","sulcal_depth_mm","hemi"
"117",234,"PCGS",13.9218947475806,"rh"
"118",236,"PCGS",8.51798401721309,"rh"
"119",237,"PCGS",11.1550245103938,"rh"
"120",244,"PCGS",7.73143407006572,"rh"
"121",246,"PCGS",10.7831627495853,"rh"
"122",248,"PCGS",4.59431505199004,"rh"
"123",249,"PCGS",9.1904911176336,"rh"
"124",251,"PCGS",11.2918438225276,"rh"
"125",252,"PCGS",5.88402610068713,"rh"
"126",253,"PCGS",10.0820342181805,"rh"
"127",254,"PCGS",10.526026967001,"rh"
"128",255,"PCGS",14.590807428287,"rh"
"129",256,"PCGS",6.87620180071207,"rh"
"130",263,"PCGS",9.86218992333613,"rh"
"131",268,"PCGS",14.9618487187191,"rh"
"132",270,"PCGS",8.8148974543828,"rh"
"133",273,"PCGS",8.83766008641662,"rh"
"134",275,"PCGS",7.04394134482301,"rh"
"135",277,"PCGS",11.569479265689,"rh"
"136",280,"PCGS",6.70525482226896,"rh"
"137",281,"PCGS",9.93535250952407,"rh"
"138",282,"PCGS",10.4446430800885,"rh"
"139",285,"PCGS",12.2191085783644,"rh"
"140",286,"PCGS",13.10191810243,"rh"
"141",291,"PCGS",8.18724606919899,"rh"
"142",292,"PCGS",12.4922762014028,"rh"
"143",293,"PCGS",5.26159032915174,"rh"
"144",296,"PCGS",10.1806456453536,"rh"
"145",299,"PCGS",7.4735108153083,"rh"
"146",301,"PCGS",12.110272053031,"rh"
"147",303,"PCGS",12.1173441711785,"rh"
"148",304,"PCGS",6.65833111070345,"rh"
"149",310,"PCGS",11.1315138447618,"rh"
"150",312,"PCGS",9.85768284789899,"rh"
"151",314,"PCGS",7.87138221414389,"rh"
"152",317,"PCGS",4.84265998669795,"rh"
"153",318,"PCGS",9.47240454562351,"rh"
"154",325,"PCGS",11.1294198462256,"rh"
"155",332,"PCGS",4.27985210128489,"rh"
"156",333,"PCGS",11.1745035359472,"rh"
"157",336,"PCGS",4.37463789558676,"rh"
"158",345,"PCGS",9.22648876854941,"rh"
