,Measured,Predicted
0,22,11.238208234151335
1,18,11.934816966435633
2,12,10.579645984486957
3,12,11.757535581776583
4,13,16.646460039730073
5,5,8.023481286357741
6,18,14.89325379927053
7,9,15.663164325368486
8,12,10.579645984486957
9,13,17.542343369425097
10,21,18.39630433206718
11,13,16.20724599916919
12,15,21.785929990141973
13,12,10.579645984486966
14,18,14.893253799270523
15,20,13.623614926120311
16,15,10.765290199222093
17,14,14.708668318079704
18,15,10.76529019922209
19,14,13.149290794970176
20,15,14.35520110237595
21,13,16.20724599916919
22,9,16.21150401532912
23,10,10.135914868563995
24,18,23.30978454997482
25,16,12.092789758394108
26,8,11.135920041388797
27,24,14.497162083641765
28,17,13.062713853107143
29,10,11.908433938679744
30,10,10.135914868564011
31,18,11.934816966435635
32,16,16.120268014174947
33,16,15.701397316900355
34,15,14.355201102375943
35,18,20.395321224783636
36,9,16.211504015329112
37,13,17.54234336942511
38,14,17.101510961456967
39,20,13.623614926120318
40,14,11.314341738625197
41,21,18.39630433206719
42,16,14.435072449745512
43,12,11.757535581776587
44,2,11.499594611771858
45,18,20.395321224783636
46,13,16.20724599916919
47,5,8.02348128635774
48,17,13.062713853107143
49,26,22.803223328192992
50,3,19.977528184856865
51,2,11.499594611771869
52,6,8.756387635095635
53,14,17.10151096145696
54,18,14.893253799270527
55,18,12.412141963839131
56,9,13.094113850473915
57,19,13.414859038457916
58,22,11.238208234151339
59,26,22.803223328193003
60,15,14.35520110237595
61,14,11.314341738625185
62,18,23.49594451578674
63,5,8.023481286357741
64,8,11.135920041388788
65,14,14.708668318079708
66,21,18.39630433206719
67,13,16.646460039730073
68,24,14.497162083641769
