,Measured,Predicted
0,12,12.027591532347465
1,9,14.699568668800097
2,17,15.327150274673961
3,18,14.313257055397925
4,20,13.214210955474929
5,16,14.93835709473833
6,10,12.68046199595973
7,14,16.290394398099664
8,14,14.273311752518417
9,13,16.735823784788494
10,13,14.303720425382508
11,18,15.460310321542753
12,11,17.38745434160252
13,13,19.04072840925845
14,9,13.550336672079286
15,2,14.269074530573134
16,8,13.6205166538309
17,19,17.14115557358208
18,14,11.537400730731916
19,13,16.460234686817948
20,16,15.137206368937619
21,24,15.550776387523625
22,18,20.19014520709545
23,18,16.31802983481001
24,18,13.586508359052257
25,23,15.642540581134378
26,15,13.401384673437938
27,17,15.749637894160957
28,18,17.9888939363091
29,13,9.132701470857388
30,16,15.20145621225521
31,12,14.277210575136174
32,26,15.028741665071239
33,14,17.16992262465041
34,10,16.05520532510326
35,16,14.192431225912364
36,22,20.912612230049128
37,21,12.680036247719027
38,9,16.048462768573728
39,16,13.376015939479199
40,15,12.864595841724796
41,13,16.97231214711755
42,3,15.010647309780854
43,5,14.328194057387199
44,22,18.087132918878414
45,6,14.01058188650491
46,22,14.12354353870229
47,20,14.303128393571177
48,16,19.4730564934973
49,9,11.445946881271064
50,22,19.283560152075268
51,18,10.834575988084673
52,21,15.760455250635745
53,18,20.785406905967108
54,16,16.5660531010827
55,19,14.872919133649372
56,15,15.15661317424405
57,22,13.00345904750262
58,17,15.703071155788459
59,18,16.757923122179996
60,16,15.030894861525292
61,10,14.033261032743166
62,9,8.971368734404578
63,8,15.419925298766785
64,13,17.004760472219335
65,14,13.972774013942061
66,16,15.72478568536621
67,12,9.988855714587448
68,24,19.9535426629751
