,Measured,Predicted
0,12,10.187750929843185
1,9,16.196061029544467
2,17,12.43753375964823
3,18,16.727352534224778
4,20,12.105481692316378
5,16,12.362052759221392
6,10,9.92600694269594
7,14,15.730084560361275
8,14,16.4600886282006
9,13,16.694916589267613
10,13,13.754750516344496
11,18,14.823686630078138
12,11,15.221422751640613
13,13,22.045525822481054
14,9,16.744142753221716
15,2,14.66601327442745
16,8,15.076154270194483
17,19,17.308911109234796
18,14,9.867516254114197
19,13,15.469499331470585
20,16,16.5724236671048
21,24,13.320671412736438
22,18,22.370684074406952
23,18,17.300386545030598
24,18,15.082378897446128
25,23,17.203531480204298
26,15,13.862434413037786
27,17,18.184764286600576
28,18,18.16467727401853
29,13,10.181113481889858
30,16,16.737237482053747
31,12,10.790999383313636
32,26,13.732221110895827
33,14,16.3554192835637
34,10,12.609035893797488
35,16,14.986143206043653
36,22,20.312827554899037
37,21,14.925058458488122
38,9,16.655883553803
39,16,13.61225687826245
40,15,13.533182042686917
41,13,15.437254780008884
42,3,17.91477776988492
43,5,8.076119489742691
44,22,16.170169089661535
45,6,13.622032130834754
46,22,11.53641400778225
47,20,16.42916645766211
48,16,17.960316049479395
49,9,11.536666050364268
50,22,19.595658377134022
51,18,11.026229253049484
52,21,16.208504114689603
53,18,23.088838293520887
54,16,15.720762631411652
55,19,14.368606560733078
56,15,13.397420859322438
57,22,12.386176150306143
58,17,14.06116369822332
59,18,17.226399562408893
60,16,15.548710678679473
61,10,13.903185646683907
62,9,12.029644223317922
63,8,15.939263866956434
64,13,17.333842140518776
65,14,14.892647814052301
66,16,12.381179747330712
67,12,9.912728144266929
68,24,20.27334132359451
