alpha,MSE,,,,
0.005,40.9804554845969,,,,
0.01,35.7809983319641,,,,
0.03,28.1871585099778,,,,
0.05,25.3179563223435,,,,
0.07,24.2839690265263,,,,
0.09,24.5607395223222,,,,
0.1,24.9314560729267,,,,
0.3,26.7562358276644,,,,
0.5,26.7562358276644,,,,
0.7,26.7562358276644,,,,
1,26.7562358276644,,,,
