,Measured,Predicted
0,7,8.17546426237177
1,0,-1.2914286027525748
2,3,-0.08153963815325227
3,23,6.763292954627633
4,3,0.35341288701000906
5,5,10.673773842411386
6,-1,1.9461933508160012
7,0,0.00964547111223979
8,2,7.059027814671331
9,1,9.217786551975722
10,2,5.5123627992065645
11,10,2.98755443885511
12,-2,9.501369937017197
13,4,-0.7043122906987058
14,13,0.8341092559062364
15,8,10.303056533370896
16,8,-7.180046725489511
17,0,6.5222639446066735
18,2,1.9789387512199124
19,4,0.46283709298680975
20,-2,7.483570913967055
21,1,1.0768058374449652
22,15,9.986239294588835
23,7,6.958489449056033
24,1,4.235923096353026
25,0,-6.234636735961269
26,2,-0.4116081046288933
27,12,3.740708585878151
28,2,5.576751463443935
29,3,9.545310097878428
30,-1,7.390106407309952
31,1,-5.47365732822737
32,8,-1.5893965206527927
33,-1,8.546775912798974
34,4,3.213488461415034
35,2,-1.432508067204342
36,1,0.4746938738288975
37,9,9.363227617692546
38,5,-1.3314659470652863
39,-1,1.8601905572399318
40,1,-4.712293451492657
41,0,6.12047176009944
42,7,7.055521010206059
