,Measured,Predicted
0,7,4.8062899757677675
1,0,1.3532615799564045
2,3,0.9024834053051585
3,23,5.749166359905156
4,3,0.06445505491748804
5,5,6.039867609681138
6,-1,2.975158555888296
7,0,1.6707336445855674
8,2,6.2875320522518985
9,1,6.013313730448131
10,2,4.707833050518471
11,10,5.5520056467547425
12,-2,2.16013572084786
13,4,7.059412908441607
14,13,1.8513353296342725
15,8,5.5765180426761605
16,8,4.408254137613866
17,0,4.814983131693505
18,2,3.671536408887224
19,4,6.500730174763868
20,-2,6.655857961668006
21,1,1.96022138786042
22,15,6.372606081409861
23,7,3.563733617312465
24,1,1.2999335504880722
25,0,6.070505666595664
26,2,1.308725866048844
27,12,6.592373693115882
28,2,2.1612786470679346
29,3,4.582271236534444
30,-1,2.467505621648593
31,1,-0.45338828874422177
32,8,6.622731256239835
33,-1,1.9984887680814776
34,4,0.5134699893304493
35,2,0.515782449183023
36,1,3.572879187368173
37,9,5.393471470749744
38,5,6.662153228280167
39,-1,3.628492328593797
40,1,2.684975235807565
41,0,7.167319069991357
42,7,3.504480060568416
