,Measured,Predicted
0,7,10.102237596518904
1,0,2.981111767939292
2,3,3.4637128063178544
3,23,10.405523199843563
4,3,-1.1756508014703524
5,5,6.610541705133699
6,-1,1.6593306445787137
7,0,2.0305973443141134
8,2,5.784261916560986
9,1,9.16409250250007
10,2,4.1853759299985045
11,10,1.5620526609590932
12,-2,0.6764752957632938
13,4,4.8690256497305215
14,13,0.6431693953264634
15,8,7.022737411202026
16,8,2.438684153906202
17,0,5.806843179430104
18,2,2.1192834311743196
19,4,4.4091704314343705
20,-2,5.363618860542871
21,1,0.12128300234888023
22,15,7.5406560486015275
23,7,6.908370191888207
24,1,3.1751025872877285
25,0,0.4174045462145717
26,2,0.8845813150544188
27,12,6.705167641313869
28,2,4.37914172956271
29,3,6.623298433613702
30,-1,5.088550313014109
31,1,-2.3013853476535786
32,8,5.453657002493336
33,-1,1.3400465185795678
34,4,3.196347166204001
35,2,-0.8801458843856693
36,1,1.6781778471566966
37,9,8.834428378225567
38,5,5.340577433488556
39,-1,0.6735834926327033
40,1,-2.16318487925081
41,0,4.2369530848444175
42,7,8.303715732597926
