,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct,myelin,ct_my_ratio
0,100206,lh,STS,3650.0,2580.0,6534.0,2.804,0.448,0.098,0.017,15.0,2.9,0.4603438079357147,1.4809362888336182,0.2469279021024704,1.263649344444275,2.2326531410217285
0,100206,lh,cSTS1,1059.0,751.0,1791.0,2.622,0.323,0.09,0.013,5.0,0.6,0.17516204714775085,1.0390923023223877,0.09395673871040344,1.2859344482421875,2.0402941703796387
0,100206,lh,cSTS2,1185.0,849.0,1950.0,2.53,0.361,0.093,0.013,5.0,0.6,0.571216881275177,1.4981086254119873,0.3064001202583313,1.3321019411087036,1.9057954549789429
0,100206,lh,cSTS3,633.0,456.0,1032.0,2.355,0.354,0.106,0.024,3.0,0.6,0.5735555291175842,1.4787296056747437,0.30765455961227417,1.3309603929519653,1.7749301195144653
0,100206,lh,SLOS,258.0,195.0,385.0,2.041,0.352,0.121,0.018,1.0,0.2,0.37512102723121643,0.8779081702232361,0.2012145221233368,1.3672062158584595,1.4925792217254639
0,100206,lh,SLOS2,196.0,146.0,368.0,2.638,0.415,0.135,0.025,2.0,0.2,-0.4871461093425751,-0.11426989734172821,-0.2613046169281006,1.2670587301254272,2.0819244384765625
0,100206,lh,SLOS3,42.0,38.0,120.0,2.512,0.349,0.142,0.025,0.0,0.1,-0.5026359558105469,-0.3539535403251648,-0.2696134150028229,1.264952540397644,1.9906643629074097
0,100206,lh,SLOS4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,lh,mTOS,234.0,176.0,313.0,1.86,0.288,0.138,0.032,2.0,0.3,0.04791702330112457,0.6163849234580994,0.02570263482630253,1.4457592964172363,1.2869651317596436
0,100206,lh,iTOS,193.0,142.0,266.0,2.06,0.278,0.116,0.024,1.0,0.2,0.281450480222702,0.6528804898262024,0.1509697437286377,1.5241411924362183,1.3519220352172852
0,100206,lh,IPS-PO,638.0,447.0,850.0,2.288,0.306,0.123,0.025,4.0,0.7,0.6068137884140015,1.161695957183838,0.32549425959587097,1.3911854028701782,1.6550178527832031
0,100206,lh,sB,154.0,117.0,255.0,2.116,0.244,0.099,0.01,1.0,0.1,0.08916506171226501,0.5743155479431152,0.04782803729176521,1.4082551002502441,1.5033868551254272
0,100206,lh,pips,110.0,84.0,210.0,2.43,0.177,0.098,0.01,0.0,0.1,-0.04052980989217758,0.4340016543865204,-0.02174014039337635,1.2747513055801392,1.9082790613174438
0,100206,lh,IPS,4577.0,3260.0,6727.0,2.338,0.405,0.101,0.016,22.0,3.3,0.564607560634613,1.6982840299606323,0.30285483598709106,1.335595726966858,1.7587248086929321
0,100206,lh,SPS,382.0,265.0,537.0,2.332,0.334,0.111,0.021,2.0,0.4,0.1167212501168251,0.6952223777770996,0.06260915100574493,1.3653948307037354,1.7090290784835815
0,100206,lh,aipsJ,852.0,628.0,1320.0,2.428,0.347,0.116,0.02,5.0,0.7,0.2349504679441452,0.998954713344574,0.1260271519422531,1.2866321802139282,1.8917115926742554
0,100206,lh,SmgS,469.0,327.0,691.0,2.291,0.439,0.087,0.012,2.0,0.3,0.267274409532547,0.9878309369087219,0.14336571097373962,1.258364200592041,1.8275376558303833
0,100206,rh,STS,3321.0,2390.0,5895.0,2.73,0.495,0.097,0.021,28.0,3.9,0.5062084197998047,1.4428300857543945,0.22284701466560364,1.289769172668457,2.1263208389282227
0,100206,rh,cSTS1,1539.0,1099.0,2315.0,2.439,0.374,0.099,0.018,7.0,1.2,0.5555229783058167,1.5218342542648315,0.24455668032169342,1.322351098060608,1.847888708114624
0,100206,rh,cSTS2,817.0,593.0,1353.0,2.556,0.362,0.109,0.016,5.0,0.6,0.06195466220378876,0.9386704564094543,0.02727416343986988,1.2827460765838623,1.9979561567306519
0,100206,rh,cSTS3,706.0,506.0,1098.0,2.414,0.383,0.113,0.021,3.0,0.7,0.4718122184276581,1.15903639793396,0.20770488679409027,1.3656730651855469,1.7713671922683716
0,100206,rh,SLOS,259.0,191.0,463.0,2.531,0.496,0.146,0.035,3.0,0.3,0.13830021023750305,0.6410379409790039,0.060883596539497375,1.3055925369262695,1.9422110319137573
0,100206,rh,SLOS2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,rh,SLOS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,rh,SLOS4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100206,rh,mTOS,498.0,342.0,602.0,2.09,0.252,0.115,0.019,3.0,0.4,0.7008512616157532,1.3178790807724,0.3085342049598694,1.4459705352783203,1.4487464427947998
0,100206,rh,iTOS,362.0,263.0,550.0,2.417,0.328,0.114,0.022,2.0,0.3,0.558864951133728,1.4078962802886963,0.24602791666984558,1.4139034748077393,1.7098459005355835
0,100206,rh,IPS-PO,853.0,628.0,1204.0,2.173,0.262,0.11,0.018,4.0,0.7,0.574668824672699,1.3616951704025269,0.2529852092266083,1.3977328538894653,1.5594497919082642
0,100206,rh,sB,386.0,281.0,584.0,2.125,0.299,0.095,0.017,2.0,0.3,-0.16149313747882843,0.6051080226898193,-0.07109377533197403,1.360994815826416,1.565678596496582
0,100206,rh,pips,175.0,121.0,296.0,2.432,0.307,0.104,0.019,1.0,0.1,0.12380074709653854,0.7036706209182739,0.054500531405210495,1.3209078311920166,1.842646837234497
0,100206,rh,IPS,1306.0,908.0,1758.0,2.207,0.308,0.1,0.013,6.0,0.8,0.5184391736984253,1.578352689743042,0.2282312959432602,1.34937584400177,1.6378631591796875
0,100206,rh,SPS,451.0,337.0,649.0,2.145,0.265,0.115,0.023,2.0,0.5,0.3057825267314911,0.9978666305541992,0.1346139758825302,1.4214810132980347,1.5118670463562012
0,100206,rh,aipsJ,438.0,335.0,724.0,2.395,0.294,0.128,0.022,3.0,0.5,0.5506120324134827,1.3288880586624146,0.24239474534988403,1.3110156059265137,1.8304229974746704
0,100206,rh,SmgS,1489.0,1049.0,2233.0,2.435,0.305,0.089,0.01,6.0,0.7,0.4288111925125122,1.2827399969100952,0.18877463042736053,1.2813273668289185,1.905237078666687
0,100307,lh,STS,1870.0,1319.0,3168.0,2.625,0.368,0.087,0.012,6.0,1.1,0.5312996506690979,1.3692541122436523,0.29172956943511963,1.3237864971160889,1.9898006916046143
0,100307,lh,cSTS1,326.0,233.0,503.0,2.45,0.365,0.105,0.014,1.0,0.3,0.3140765130519867,0.8971545696258545,0.17245523631572723,1.2404062747955322,1.9796074628829956
0,100307,lh,cSTS2,539.0,367.0,901.0,2.702,0.39,0.088,0.012,2.0,0.3,0.5107138752937317,1.0422872304916382,0.28042617440223694,1.3278061151504517,2.0392277240753174
0,100307,lh,cSTS3,645.0,441.0,919.0,2.397,0.296,0.103,0.018,3.0,0.5,0.5786024928092957,1.4674720764160156,0.31770291924476624,1.3026951551437378,1.8444243669509888
0,100307,lh,SLOS,42.0,29.0,84.0,2.335,0.179,0.122,0.028,0.0,0.1,-0.39646467566490173,-0.21107302606105804,-0.21769344806671143,1.3497923612594604,1.7331761121749878
0,100307,lh,SLOS2,129.0,102.0,261.0,2.671,0.308,0.12,0.03,1.0,0.1,-0.012912498787045479,0.392555296421051,-0.00709008052945137,1.2971972227096558,2.0606560707092285
0,100307,lh,SLOS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,lh,SLOS4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,lh,mTOS,582.0,405.0,687.0,1.889,0.347,0.097,0.011,3.0,0.3,0.3436211347579956,1.1195520162582397,0.18867778778076172,1.5451334714889526,1.2343004941940308
0,100307,lh,iTOS,126.0,94.0,214.0,2.41,0.341,0.113,0.022,1.0,0.1,0.4343591034412384,1.0022467374801636,0.23850075900554657,1.4055626392364502,1.7143758535385132
0,100307,lh,IPS-PO,576.0,402.0,826.0,2.373,0.25,0.097,0.015,3.0,0.4,0.6069300770759583,1.1975927352905273,0.3332572281360626,1.399849534034729,1.6991705894470215
0,100307,lh,sB,212.0,146.0,276.0,2.007,0.277,0.12,0.012,1.0,0.1,0.33922338485717773,1.016073226928711,0.18626299500465393,1.3226298093795776,1.5180463790893555
0,100307,lh,pips,317.0,225.0,450.0,2.3,0.326,0.108,0.021,2.0,0.3,0.06857530772686005,1.0401767492294312,0.03765379264950752,1.3253834247589111,1.7384957075119019
0,100307,lh,IPS,1279.0,932.0,1957.0,2.395,0.319,0.11,0.018,6.0,1.1,0.5007476210594177,1.4829567670822144,0.27495384216308594,1.326949954032898,1.8101259469985962
0,100307,lh,SPS,671.0,477.0,935.0,2.164,0.314,0.109,0.02,4.0,0.6,0.3369782269001007,1.0957945585250854,0.1850302666425705,1.391677975654602,1.5621728897094727
0,100307,lh,aipsJ,496.0,347.0,773.0,2.42,0.33,0.1,0.015,2.0,0.4,0.29713526368141174,0.9678002595901489,0.1631530076265335,1.2820451259613037,1.8937525749206543
0,100307,lh,SmgS,461.0,356.0,810.0,2.494,0.417,0.115,0.017,3.0,0.4,-0.14204861223697662,0.23301133513450623,-0.07799699902534485,1.2467044591903687,2.004481315612793
0,100307,rh,STS,2509.0,1779.0,4627.0,2.933,0.422,0.098,0.015,10.0,1.8,0.5250105857849121,1.4530940055847168,0.28659263253211975,1.2939062118530273,2.281545400619507
0,100307,rh,cSTS1,819.0,608.0,1467.0,2.573,0.294,0.104,0.02,4.0,0.6,-0.05740191414952278,0.5780345797538757,-0.031334541738033295,1.3163105249404907,1.9625911712646484
0,100307,rh,cSTS2,601.0,437.0,965.0,2.471,0.337,0.104,0.017,3.0,0.5,0.31804603338241577,0.9946476221084595,0.17361488938331604,1.3119075298309326,1.8855087757110596
0,100307,rh,cSTS3,1543.0,1077.0,2563.0,2.62,0.339,0.09,0.013,6.0,0.9,0.5737427473068237,1.3766671419143677,0.31319454312324524,1.3336907625198364,1.9711719751358032
0,100307,rh,SLOS,324.0,221.0,512.0,2.328,0.27,0.094,0.01,1.0,0.1,0.26088225841522217,0.9793561697006226,0.14241033792495728,1.3008837699890137,1.7956162691116333
0,100307,rh,SLOS2,129.0,102.0,284.0,2.666,0.341,0.12,0.02,1.0,0.1,-0.3068130910396576,-0.029126154258847237,-0.16748307645320892,1.340698003768921,1.9910569190979004
0,100307,rh,SLOS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,rh,SLOS4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100307,rh,mTOS,421.0,302.0,538.0,2.003,0.256,0.103,0.016,2.0,0.3,0.39385786652565,1.004205346107483,0.21499904990196228,1.564596176147461,1.2851940393447876
0,100307,rh,iTOS,203.0,140.0,343.0,2.552,0.303,0.114,0.019,1.0,0.1,0.5015285015106201,0.9798715710639954,0.27377426624298096,1.4380244016647339,1.7792950868606567
0,100307,rh,IPS-PO,728.0,524.0,1091.0,2.36,0.311,0.097,0.018,3.0,0.5,0.23702502250671387,0.9713879227638245,0.12938715517520905,1.4240942001342773,1.6656019687652588
0,100307,rh,sB,846.0,588.0,1112.0,2.153,0.325,0.089,0.014,3.0,0.4,0.47422081232070923,1.613455057144165,0.2588675320148468,1.4023287296295166,1.540582299232483
0,100307,rh,pips,543.0,389.0,808.0,2.277,0.359,0.098,0.017,2.0,0.4,0.5642921924591064,1.5976009368896484,0.308035671710968,1.3721204996109009,1.6731855869293213
0,100307,rh,IPS,1844.0,1260.0,2480.0,2.344,0.399,0.111,0.017,11.0,1.5,0.6733207106590271,1.5124858617782593,0.36755213141441345,1.3693230152130127,1.7225780487060547
0,100307,rh,SPS,398.0,273.0,486.0,1.996,0.316,0.084,0.01,2.0,0.2,-0.08328535407781601,0.4413720369338989,-0.045463792979717255,1.3151379823684692,1.5177929401397705
0,100307,rh,aipsJ,259.0,161.0,346.0,2.274,0.323,0.087,0.028,3.0,0.2,0.2131747454404831,0.7151663303375244,0.11636777222156525,1.3044764995574951,1.7431812286376953
0,100307,rh,SmgS,576.0,425.0,1005.0,2.592,0.386,0.108,0.015,3.0,0.4,0.3447791039943695,1.0229886770248413,0.18820792436599731,1.2778407335281372,2.0343167781829834
0,100408,lh,STS,1862.0,1318.0,3030.0,2.526,0.351,0.096,0.016,7.0,1.4,0.5650102496147156,1.5110013484954834,0.2896369397640228,1.3100461959838867,1.9336436986923218
0,100408,lh,cSTS1,1318.0,963.0,2109.0,2.402,0.288,0.101,0.015,6.0,0.8,0.20659543573856354,0.962968647480011,0.1059054583311081,1.282163381576538,1.8810012340545654
0,100408,lh,cSTS2,371.0,275.0,651.0,2.488,0.267,0.126,0.018,3.0,0.3,-0.2208298295736313,0.06121281534433365,-0.113202303647995,1.2585453987121582,1.9795953035354614
0,100408,lh,cSTS3,1321.0,938.0,1935.0,2.324,0.364,0.106,0.018,6.0,1.1,0.5896050333976746,1.3939636945724487,0.3022446930408478,1.336086392402649,1.7456982135772705
0,100408,lh,SLOS,127.0,101.0,294.0,2.549,0.338,0.094,0.016,0.0,0.1,-0.3712123930454254,-0.1610717624425888,-0.19029176235198975,1.2686498165130615,2.0176966190338135
0,100408,lh,SLOS2,152.0,135.0,311.0,2.266,0.235,0.149,0.018,1.0,0.1,-0.3748110234737396,-0.017378047108650208,-0.1921365112066269,1.3126792907714844,1.730800986289978
0,100408,lh,SLOS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,lh,SLOS4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,lh,mTOS,157.0,122.0,238.0,2.077,0.209,0.111,0.028,1.0,0.1,0.22350607812404633,0.6470323801040649,0.11457420140504837,1.6023945808410645,1.3073722124099731
0,100408,lh,iTOS,203.0,145.0,246.0,2.061,0.242,0.131,0.021,1.0,0.2,0.4069579839706421,0.7742789387702942,0.20861577987670898,1.4184435606002808,1.4566540718078613
0,100408,lh,IPS-PO,789.0,573.0,1164.0,2.274,0.321,0.115,0.021,4.0,0.7,0.21405833959579468,1.1579205989837646,0.10973108559846878,1.3890665769577026,1.6489931344985962
0,100408,lh,sB,372.0,261.0,537.0,2.089,0.353,0.115,0.021,2.0,0.3,0.1904667615890503,0.8615227937698364,0.09763753414154053,1.3350346088409424,1.5698374509811401
0,100408,lh,pips,226.0,165.0,346.0,2.284,0.261,0.1,0.015,1.0,0.2,0.38811737298965454,1.2557916641235352,0.19895760715007782,1.3462456464767456,1.6987857818603516
0,100408,lh,IPS,2331.0,1660.0,3386.0,2.317,0.331,0.107,0.018,11.0,1.9,0.7270839810371399,1.8003770112991333,0.37271952629089355,1.351230263710022,1.7261343002319336
0,100408,lh,SPS,606.0,439.0,857.0,2.131,0.28,0.109,0.02,3.0,0.5,0.06550401449203491,0.5166676640510559,0.033578816801309586,1.3818655014038086,1.553236484527588
0,100408,lh,aipsJ,461.0,327.0,671.0,2.292,0.22,0.101,0.013,2.0,0.3,0.5424271821975708,1.5991449356079102,0.27806028723716736,1.2975293397903442,1.771926999092102
0,100408,lh,SmgS,471.0,341.0,738.0,2.309,0.254,0.081,0.011,2.0,0.2,0.3221777081489563,1.218977451324463,0.16515551507472992,1.370691180229187,1.7011202573776245
0,100408,rh,STS,3957.0,2827.0,6743.0,2.635,0.424,0.096,0.015,15.0,2.8,0.48716336488723755,1.555116057395935,0.25336942076683044,1.2812656164169312,2.0698087215423584
0,100408,rh,cSTS1,1089.0,798.0,1750.0,2.429,0.282,0.089,0.013,4.0,0.6,0.36058109998703003,1.3435226678848267,0.1875351071357727,1.3032864332199097,1.8675249814987183
0,100408,rh,cSTS2,293.0,215.0,519.0,2.602,0.319,0.119,0.025,2.0,0.3,-0.1689714789390564,0.23635394871234894,-0.08788060396909714,1.3098857402801514,1.9917221069335938
0,100408,rh,cSTS3,454.0,342.0,738.0,2.324,0.356,0.121,0.023,3.0,0.4,0.3203454315662384,0.9118239283561707,0.16660887002944946,1.288398027420044,1.8116388320922852
0,100408,rh,SLOS,101.0,73.0,210.0,2.843,0.441,0.152,0.034,1.0,0.2,-0.11156236380338669,0.12098650634288788,-0.05802260339260101,1.3080953359603882,2.174403667449951
0,100408,rh,SLOS2,129.0,99.0,274.0,2.797,0.313,0.167,0.032,2.0,0.2,-0.30120134353637695,-0.028023753315210342,-0.15665221214294434,1.2907742261886597,2.1701438426971436
0,100408,rh,SLOS3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,rh,SLOS4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,100408,rh,mTOS,478.0,341.0,611.0,1.999,0.25,0.116,0.024,3.0,0.5,0.45392757654190063,1.0021271705627441,0.23608379065990448,1.5577611923217773,1.2930570840835571
0,100408,rh,iTOS,226.0,163.0,347.0,2.361,0.387,0.118,0.025,1.0,0.2,0.5985133647918701,1.0765608549118042,0.31128159165382385,1.4126250743865967,1.6821439266204834
0,100408,rh,IPS-PO,1031.0,745.0,1479.0,2.331,0.273,0.117,0.021,6.0,1.0,0.6776924133300781,1.78125,0.35246193408966064,1.3899623155593872,1.6829835176467896
0,100408,rh,sB,433.0,311.0,586.0,2.239,0.21,0.085,0.01,2.0,0.2,0.6117796301841736,1.618874430656433,0.31818127632141113,1.4277665615081787,1.5718938112258911
0,100408,rh,pips,326.0,233.0,532.0,2.415,0.27,0.112,0.021,2.0,0.3,0.3888576626777649,1.35647451877594,0.20224149525165558,1.3330975770950317,1.8134889602661133
0,100408,rh,IPS,1920.0,1410.0,3017.0,2.374,0.306,0.109,0.017,10.0,1.5,0.288981556892395,1.7998610734939575,0.15029679238796234,1.3021305799484253,1.8281391859054565
0,100408,rh,SPS,674.0,496.0,928.0,2.06,0.205,0.105,0.014,3.0,0.5,0.1591111570596695,0.7593374848365784,0.08275233209133148,1.3650604486465454,1.5157160758972168
0,100408,rh,aipsJ,359.0,271.0,589.0,2.385,0.349,0.128,0.023,2.0,0.4,-0.004206808749586344,0.4236632287502289,-0.0021879253908991814,1.289849877357483,1.8518879413604736
0,100408,rh,SmgS,793.0,553.0,1188.0,2.458,0.259,0.086,0.01,3.0,0.4,0.16121616959571838,0.688023030757904,0.08384713530540466,1.3169379234313965,1.8739796876907349
0,100610,lh,STS,3015.0,2099.0,5001.0,2.597,0.396,0.091,0.013,12.0,1.8,0.5087714195251465,1.590571403503418,0.2951454222202301,1.295632004737854,2.022024393081665
0,100610,lh,cSTS1,1127.0,809.0,1851.0,2.394,0.367,0.102,0.015,5.0,0.8,0.2555195987224579,1.0098170042037964,0.14823049306869507,1.2926723957061768,1.8572845458984375
