Sulci,beta
sspls-v,0.4196704766291294
mcgs,-0.3593929608588065
pos,-0.41107371562523753
sbps,-0.41568345927830375
prculs-d,-1.6197481755734413
prcus-p,-1.747149333586757
prcus-i,-3.782256991899713
prcus-a,-2.2471292651580255
ifrms,-3.1232947652666025
sspls-v,0.589713673972206
mcgs,-0.9239435789917495
pos,0.0
sbps,-0.0
prculs-d,-1.7303318929435267
prcus-p,-2.2480353973836675
prcus-i,-3.5427375379738573
prcus-a,-1.6957122733745542
ifrms,-3.0962485361916987
sspls-v,0.6082699207310018
mcgs,-1.2508127636060056
pos,-0.05290004412449648
sbps,-0.22526757345553114
prculs-d,-1.9964670952357872
prcus-p,-2.144586532212578
prcus-i,-3.4801989561534556
prcus-a,-0.4459003545259427
ifrms,-2.7145827933732147
sspls-v,0.8175256407816262
mcgs,-0.8083863685822968
pos,-0.0
sbps,-0.0
prculs-d,-1.6289962063863912
prcus-p,-2.453205387382261
prcus-i,-3.568900851692945
prcus-a,-1.7318626959940628
ifrms,-2.9051946353225206
sspls-v,0.5542699752079457
mcgs,-0.6571059922495244
pos,-0.08572147104347193
sbps,-0.8484795421563219
prculs-d,-2.0594554761829
prcus-p,-1.9555326919180094
prcus-i,-2.941132285864728
prcus-a,-1.1983074863101022
ifrms,-2.530080749535336
sspls-v,0.4191538521016204
mcgs,-1.3132443770845845
pos,-0.011235328524256415
sbps,0.1688046212250909
prculs-d,-1.6053294985005806
prcus-p,-2.4213706565988984
prcus-i,-3.8579722815756767
prcus-a,-1.8231374846339008
ifrms,-3.1356044174888864
sspls-v,0.8654231781465318
mcgs,-0.8350389253713234
pos,0.0
sbps,-0.0
prculs-d,-1.5866879035567527
prcus-p,-2.3336582341486465
prcus-i,-3.576617112142853
prcus-a,-1.7011206167245212
ifrms,-2.692488177837192
sspls-v,0.5894245423289198
mcgs,-1.19968867112841
pos,0.32797584769977783
sbps,0.1445356752492446
prculs-d,-2.1212222927542568
prcus-p,-2.9380686447477147
prcus-i,-4.644146267969797
prcus-a,-2.596072684463184
ifrms,-2.81125086312699
sspls-v,0.783546233379964
mcgs,-0.0
pos,0.0010472545930079052
sbps,-0.0
prculs-d,-1.827652071324895
prcus-p,-2.1874447041847227
prcus-i,-3.2748301884129654
prcus-a,-1.8578118980298048
ifrms,-2.206097391005281
sspls-v,0.12699400093233676
mcgs,-0.5478575745067313
pos,0.0
sbps,0.0
prculs-d,-1.71678961156247
prcus-p,-1.9259254315487486
prcus-i,-3.466280525816113
prcus-a,-1.3775588682497455
ifrms,-2.9626927223526045
sspls-v,0.8303061651795683
mcgs,-0.7401982505467884
pos,0.0
sbps,-0.0
prculs-d,-1.595138803078548
prcus-p,-2.384074252092832
prcus-i,-3.529543463217571
prcus-a,-1.6637740613294614
ifrms,-2.861173604854723
sspls-v,0.59418485865621
mcgs,-0.16596840257322404
pos,-0.1826656123128523
sbps,-0.04679119210946403
prculs-d,-0.2656578343264732
prcus-p,-1.9892346045025677
prcus-i,-3.0061822517383123
prcus-a,-1.711654099148672
ifrms,-2.312902233214793
sspls-v,0.46594939320123063
mcgs,-0.9967622345810669
pos,0.549886319980008
sbps,0.30422267429828614
prculs-d,-1.2062662660985894
prcus-p,-2.450253717818116
prcus-i,-3.104389171010252
prcus-a,-1.073760504236692
ifrms,-2.8557280928934508
sspls-v,0.22599847079229726
mcgs,-0.9539451194646053
pos,-0.0
sbps,0.0
prculs-d,-0.7528719144687707
prcus-p,-2.2294511971176387
prcus-i,-3.5366789717887537
prcus-a,-1.6214089161693996
ifrms,-3.179134167539309
sspls-v,0.10546073054184414
mcgs,-0.7364169436745474
pos,0.0657154044579514
sbps,-0.0
prculs-d,-1.5002568229047113
prcus-p,-1.8494104703950927
prcus-i,-2.855550818040057
prcus-a,-1.2563017413925577
ifrms,-2.7671447876130624
sspls-v,0.26940365960805157
mcgs,-0.7679971136407295
pos,-0.0
sbps,-0.0
prculs-d,-1.5123112285802014
prcus-p,-1.7749974539405782
prcus-i,-3.523669290903521
prcus-a,-1.174245641564323
ifrms,-3.2910679096543722
sspls-v,0.1640742502771968
mcgs,-0.581604475039834
pos,-0.05540120611346593
sbps,-0.5042549214833966
prculs-d,-1.6849971647413753
prcus-p,-1.8393974345023625
prcus-i,-3.1865811034152816
prcus-a,-1.4738480081128644
ifrms,-2.535204308520767
sspls-v,0.7633744971786129
mcgs,-0.8316788873614417
pos,0.0
sbps,-0.0
prculs-d,-1.5379836774784446
prcus-p,-2.244515767691464
prcus-i,-3.4446381601533775
prcus-a,-1.5926283529676517
ifrms,-2.8020467865873075
sspls-v,0.5588479913791619
mcgs,-0.9608080681587685
pos,0.0
sbps,-0.0
prculs-d,-1.5140550778906652
prcus-p,-2.297463547008905
prcus-i,-3.4603646251494413
prcus-a,-1.6462152431705785
ifrms,-2.7774873267316385
sspls-v,0.44822965630124795
mcgs,-0.7584287684723877
pos,-0.0
sbps,-0.0
prculs-d,-1.5502150396477283
prcus-p,-2.429436420350645
prcus-i,-3.533433086973707
prcus-a,-1.6787317890471962
ifrms,-2.832492974488249
sspls-v,0.41962444922820874
mcgs,-0.6954450514868725
pos,-1.0538843988917888
sbps,0.8501880184955086
prculs-d,-0.7885913514562541
prcus-p,-2.8089810338885792
prcus-i,-2.123570170023682
prcus-a,-1.483895434852095
ifrms,-2.511421768962799
sspls-v,0.12367302067750358
mcgs,-1.15990673672453
pos,0.19347404814858424
sbps,-0.0
prculs-d,-1.4981380104560398
prcus-p,-2.6145773040736535
prcus-i,-3.335420286799075
prcus-a,-1.8426202847844404
ifrms,-3.0725007336425403
sspls-v,0.2821603013076896
mcgs,-0.8949985083895655
pos,0.0
sbps,-0.03649918723613577
prculs-d,-1.5732657296104875
prcus-p,-2.3828564498560363
prcus-i,-3.3314389797047035
prcus-a,-1.7025232178150362
ifrms,-2.7826938800293513
sspls-v,0.5893177489254271
mcgs,-1.0821421160325522
pos,0.0
sbps,-0.0
prculs-d,-1.6600166573572201
prcus-p,-2.3061233950819777
prcus-i,-3.5077583390246674
prcus-a,-1.3083640611606613
ifrms,-2.9437579998527283
sspls-v,0.4070710824688363
mcgs,-0.7789488936331476
pos,-0.0
sbps,0.0495780212578861
prculs-d,-1.7122017332799209
prcus-p,-2.5634964477810818
prcus-i,-3.3767389907172656
prcus-a,-1.5424083315347514
ifrms,-2.656216187861102
sspls-v,0.6427525211988757
mcgs,-0.5175861759105667
pos,0.0
sbps,0.0
prculs-d,-1.580900604773852
prcus-p,-2.0390550903771025
prcus-i,-3.2287735818393566
prcus-a,-1.510604998756784
ifrms,-2.849002913107186
sspls-v,0.5256149784754892
mcgs,-0.8371346394734412
pos,0.21013059000420928
sbps,-0.013254236134059296
prculs-d,-1.4364165333682786
prcus-p,-3.16886444718882
prcus-i,-3.3706969661114363
prcus-a,-2.070185821115537
ifrms,-2.8446318671957718
sspls-v,1.514038462956191
mcgs,-0.8027536265697686
pos,0.5243849308473787
sbps,-0.275298679434843
prculs-d,-1.5189968860362955
prcus-p,-2.2766780267624527
prcus-i,-3.4116021575956434
prcus-a,-1.3365421944492364
ifrms,-2.979536880315999
sspls-v,0.3985199922208164
mcgs,-0.32869861220291835
pos,-0.40555513582064306
sbps,-0.4125252316730244
prculs-d,-1.599915969030263
prcus-p,-1.7032894650276558
prcus-i,-3.728474359376815
prcus-a,-2.203178763730588
ifrms,-3.103860322748305
sspls-v,0.566924015003582
mcgs,-0.8909889161516286
pos,0.0
sbps,-0.0
prculs-d,-1.7099792303715267
prcus-p,-2.202639524140228
prcus-i,-3.489946860999811
prcus-a,-1.6521368450497946
ifrms,-3.074629676016229
sspls-v,0.5858871060072682
mcgs,-1.2200066383346864
pos,-0.04845590048945324
sbps,-0.2230104285872756
prculs-d,-1.977080064554352
prcus-p,-2.099782373233054
prcus-i,-3.4297987711109568
prcus-a,-0.40840187295102914
ifrms,-2.6958740844893847
sspls-v,0.7953648256563246
mcgs,-0.7765296776156104
pos,-0.0
sbps,-0.0
prculs-d,-1.6071552879149087
prcus-p,-2.4041049671400336
prcus-i,-3.5126022885299126
prcus-a,-1.6858270311627082
ifrms,-2.8843127993473887
sspls-v,0.5323132964431743
mcgs,-0.6251951274357068
pos,-0.08136983800763765
sbps,-0.8482672942719169
prculs-d,-2.0420907622539515
prcus-p,-1.9092759393855274
prcus-i,-2.888262873466428
prcus-a,-1.1533611382419326
ifrms,-2.5104823519096082
sspls-v,0.39675405667093216
mcgs,-1.2761223619133124
pos,-0.0057389630720538634
sbps,0.1475265349866154
prculs-d,-1.5881872881270893
prcus-p,-2.364110156201906
prcus-i,-3.7970699387024744
prcus-a,-1.7730205556143759
ifrms,-3.1123502783618973
sspls-v,0.838831455825699
mcgs,-0.8006003133539168
pos,0.0
sbps,-0.0
prculs-d,-1.563750394287412
prcus-p,-2.280731882670623
prcus-i,-3.514414837904178
prcus-a,-1.6507190221522041
ifrms,-2.666156461757325
sspls-v,0.5628250466739382
mcgs,-1.1535109431919355
pos,0.3048431312258278
sbps,0.11635682504184496
prculs-d,-2.0877487783860027
prcus-p,-2.8621874390987805
prcus-i,-4.558334637079618
prcus-a,-2.526368141111433
ifrms,-2.7871331071509453
sspls-v,0.7569496598602973
mcgs,-0.0
pos,0.0
sbps,-0.0
prculs-d,-1.8090349671275159
prcus-p,-2.1588032852667123
prcus-i,-3.2345289126434134
prcus-a,-1.8200969994917517
ifrms,-2.1952539483675113
sspls-v,0.10597284177470703
mcgs,-0.5132791727286916
pos,0.0
sbps,0.0
prculs-d,-1.6979397943287269
prcus-p,-1.8775127234692517
prcus-i,-3.4129842060552478
prcus-a,-1.3321484301483861
ifrms,-2.9428632766254164
sspls-v,0.8130304230591685
mcgs,-0.7094454907198785
pos,0.0
sbps,-0.0
prculs-d,-1.5746662198077856
prcus-p,-2.337947753308422
prcus-i,-3.4757392106795773
prcus-a,-1.6197975519419654
ifrms,-2.841058967730389
sspls-v,0.5714932275080674
mcgs,-0.12689130619688355
pos,-0.18156300818986754
sbps,-0.046109222314044976
prculs-d,-0.23958074582732627
prcus-p,-1.938933537069214
prcus-i,-2.9485020931507764
prcus-a,-1.6681567628680085
ifrms,-2.28805024203515
sspls-v,0.44317509419158313
mcgs,-0.960210247057458
pos,0.5375782676198629
sbps,0.28515165966324935
prculs-d,-1.1868941526551997
prcus-p,-2.391407008656447
prcus-i,-3.048344115974948
prcus-a,-1.028494242285372
ifrms,-2.831491974978998
sspls-v,0.20484893187966205
mcgs,-0.921617286245909
pos,-0.0
sbps,0.0
prculs-d,-0.733673385648575
prcus-p,-2.1820413607565037
prcus-i,-3.4859240006606833
prcus-a,-1.5780272788038954
ifrms,-3.159785686479938
sspls-v,0.0827332933769253
mcgs,-0.7008515399554326
pos,0.0587299275390459
sbps,-0.0
prculs-d,-1.4777373471417463
prcus-p,-1.7913578493413325
prcus-i,-2.7902363150256426
prcus-a,-1.203384407310142
ifrms,-2.741962746100489
sspls-v,0.24050761436712503
mcgs,-0.736561796423436
pos,-0.0
sbps,-0.0
prculs-d,-1.4924462995031844
prcus-p,-1.7255142238434822
prcus-i,-3.476205963364339
prcus-a,-1.132458502313517
ifrms,-3.2766636190963077
sspls-v,0.1413476067553448
mcgs,-0.5494990562231334
pos,-0.05109788294777858
sbps,-0.5033929413063805
prculs-d,-1.665555926260653
prcus-p,-1.792822265822244
prcus-i,-3.1327803207017038
prcus-a,-1.4294995495396363
ifrms,-2.5157900049381006
sspls-v,0.7416113473986035
mcgs,-0.7999575137931476
pos,0.0
sbps,-0.0
prculs-d,-1.5179529839272052
prcus-p,-2.2025353463306923
prcus-i,-3.392309266307174
prcus-a,-1.5507737289622818
ifrms,-2.7828016466102694
sspls-v,0.5377389176944538
mcgs,-0.9332668363161587
pos,0.0
sbps,-0.0
