alpha_level,Sulci,beta,RMSE
0.238,prcus-p,-1.4536930820943559,5.953454517819086
0.238,sbps,0.0,5.953454517819086
0.238,sspls-v,0.08915989004830499,5.953454517819086
0.255,ifrms,-2.3849079714214496,5.9136137133295374
0.255,mcgs,-0.10664882618566496,5.9136137133295374
0.255,pos,0.0,5.9136137133295374
0.255,prculs-d,-1.16470252259819,5.9136137133295374
0.255,prcus-a,-0.7182619544382381,5.9136137133295374
0.255,prcus-i,-2.3507738959079685,5.9136137133295374
0.255,prcus-p,-1.3658608049160885,5.9136137133295374
0.255,sbps,0.0,5.9136137133295374
0.255,sspls-v,0.029514426493040702,5.9136137133295374
0.272,ifrms,-2.3397830856526123,5.878150003077077
0.272,mcgs,-0.026937569504616447,5.878150003077077
0.272,pos,0.0,5.878150003077077
0.272,prculs-d,-1.1199139260041173,5.878150003077077
0.272,prcus-a,-0.6113794161198418,5.878150003077077
0.272,prcus-i,-2.226288566625427,5.878150003077077
0.272,prcus-p,-1.2664645654216835,5.878150003077077
0.272,sbps,-0.0,5.878150003077077
0.272,sspls-v,0.0,5.878150003077077
0.291,ifrms,-2.290297473278609,5.844125226894194
0.291,mcgs,-0.0,5.844125226894194
0.291,pos,0.0,5.844125226894194
0.291,prculs-d,-1.0786495799385647,5.844125226894194
0.291,prcus-a,-0.49984996397557396,5.844125226894194
0.291,prcus-i,-2.106621178910296,5.844125226894194
0.291,prcus-p,-1.1778060951249563,5.844125226894194
0.291,sbps,-0.0,5.844125226894194
0.291,sspls-v,0.0,5.844125226894194
0.311,ifrms,-2.2613111130062666,5.811270417093138
0.311,mcgs,0.0,5.811270417093138
0.311,pos,0.0,5.811270417093138
0.311,prculs-d,-1.0324577211233161,5.811270417093138
0.311,prcus-a,-0.40261464315825,5.811270417093138
0.311,prcus-i,-2.0095034624860126,5.811270417093138
0.311,prcus-p,-1.1072939377730333,5.811270417093138
0.311,sbps,-0.0,5.811270417093138
0.311,sspls-v,0.0,5.811270417093138
0.332,ifrms,-2.2309718532050518,5.766590009074543
0.332,mcgs,-0.0,5.766590009074543
0.332,pos,0.0,5.766590009074543
0.332,prculs-d,-0.9966598656481782,5.766590009074543
0.332,prcus-a,-0.3031230073934902,5.766590009074543
0.332,prcus-i,-1.900015844722481,5.766590009074543
0.332,prcus-p,-1.0522047490298783,5.766590009074543
0.332,sbps,-0.0,5.766590009074543
0.332,sspls-v,0.0,5.766590009074543
0.355,ifrms,-2.1977450215634526,5.715848094817829
0.355,mcgs,0.0,5.715848094817829
0.355,pos,0.0,5.715848094817829
0.355,prculs-d,-0.9581411837709192,5.715848094817829
0.355,prcus-a,-0.1923054581197841,5.715848094817829
0.355,prcus-i,-1.797381723505001,5.715848094817829
0.355,prcus-p,-0.9893261594475333,5.715848094817829
0.355,sbps,-0.0,5.715848094817829
0.355,sspls-v,0.0,5.715848094817829
0.38,ifrms,-2.161626555440032,5.645027768613563
0.38,mcgs,-0.0,5.645027768613563
0.38,pos,0.0,5.645027768613563
0.38,prculs-d,-0.9171882956025901,5.645027768613563
0.38,prcus-a,-0.0660247605661679,5.645027768613563
0.38,prcus-i,-1.6807914546160447,5.645027768613563
0.38,prcus-p,-0.9182359601852463,5.645027768613563
0.38,sbps,-0.0,5.645027768613563
0.38,sspls-v,0.0,5.645027768613563
0.406,ifrms,-2.1271555380806015,5.582721333966541
0.406,mcgs,-0.0,5.582721333966541
0.406,pos,0.0,5.582721333966541
0.406,prculs-d,-0.8747525008519699,5.582721333966541
0.406,prcus-a,-0.0,5.582721333966541
0.406,prcus-i,-1.581765701740902,5.582721333966541
0.406,prcus-p,-0.8536014663008331,5.582721333966541
0.406,sbps,-0.0,5.582721333966541
0.406,sspls-v,0.0,5.582721333966541
0.434,ifrms,-2.0970333485587616,5.54028765749959
0.434,mcgs,-0.0,5.54028765749959
0.434,pos,-0.0,5.54028765749959
0.434,prculs-d,-0.8280138602824199,5.54028765749959
0.434,prcus-a,-0.0,5.54028765749959
0.434,prcus-i,-1.530050436978616,5.54028765749959
0.434,prcus-p,-0.8285977870331631,5.54028765749959
0.434,sbps,-0.0,5.54028765749959
0.434,sspls-v,0.0,5.54028765749959
0.464,ifrms,-2.0680580689666925,5.516935535638582
0.464,mcgs,-0.0,5.516935535638582
0.464,pos,0.0,5.516935535638582
0.464,prculs-d,-0.7777846346085102,5.516935535638582
0.464,prcus-a,-0.0,5.516935535638582
0.464,prcus-i,-1.4753715748541476,5.516935535638582
0.464,prcus-p,-0.80064629246085,5.516935535638582
0.464,sbps,-0.0,5.516935535638582
0.464,sspls-v,0.0,5.516935535638582
0.496,ifrms,-2.03715111102706,5.4905125341751475
0.496,mcgs,0.0,5.4905125341751475
0.496,pos,0.0,5.4905125341751475
0.496,prculs-d,-0.7242067960129356,5.4905125341751475
0.496,prcus-a,-0.0,5.4905125341751475
0.496,prcus-i,-1.417047455254714,5.4905125341751475
0.496,prcus-p,-0.7795027415705593,5.4905125341751475
0.496,sbps,-0.0,5.4905125341751475
0.496,sspls-v,0.0,5.4905125341751475
0.53,ifrms,-2.004312469972631,5.467402310760695
0.53,mcgs,0.0,5.467402310760695
0.53,pos,0.0,5.467402310760695
0.53,prculs-d,-0.6672803436732404,5.467402310760695
0.53,prcus-a,-0.0,5.467402310760695
0.53,prcus-i,-1.3550780781803156,5.467402310760695
0.53,prcus-p,-0.7570377177722427,5.467402310760695
0.53,sbps,-0.0,5.467402310760695
0.53,sspls-v,0.0,5.467402310760695
0.567,ifrms,-1.9698944337238236,5.430337179023535
0.567,mcgs,0.0,5.430337179023535
0.567,pos,0.0,5.430337179023535
0.567,prculs-d,-0.605330969068278,5.430337179023535
0.567,prcus-a,0.0,5.430337179023535
0.567,prcus-i,-1.2876408148934724,5.430337179023535
0.567,prcus-p,-0.7325904859917218,5.430337179023535
0.567,sbps,-0.0,5.430337179023535
0.567,sspls-v,0.0,5.430337179023535
0.606,ifrms,-1.9354518648473409,5.416176363200538
0.606,mcgs,0.0,5.416176363200538
0.606,pos,0.0,5.416176363200538
0.606,prculs-d,-0.5400329597459044,5.416176363200538
0.606,prcus-a,0.0,5.416176363200538
0.606,prcus-i,-1.2265193409661825,5.416176363200538
0.606,prcus-p,-0.7068217837232823,5.416176363200538
0.606,sbps,-0.0,5.416176363200538
0.606,sspls-v,0.0,5.416176363200538
0.648,ifrms,-1.8983598661964587,5.4036618975096875
0.648,mcgs,0.0,5.4036618975096875
0.648,pos,0.0,5.4036618975096875
0.648,prculs-d,-0.46971202455565414,5.4036618975096875
0.648,prcus-a,0.0,5.4036618975096875
0.648,prcus-i,-1.1605450612097679,5.4036618975096875
0.648,prcus-p,-0.6791714434328768,5.4036618975096875
0.648,sbps,-0.0,5.4036618975096875
0.648,sspls-v,-0.0,5.4036618975096875
0.693,ifrms,-1.8586184389080698,5.388120227059761
0.693,mcgs,0.0,5.388120227059761
0.693,pos,0.0,5.388120227059761
0.693,prculs-d,-0.39308697845784213,5.388120227059761
0.693,prcus-a,0.0,5.388120227059761
0.693,prcus-i,-1.0774953485407022,5.388120227059761
0.693,prcus-p,-0.6533339550096016,5.388120227059761
0.693,sbps,-0.0,5.388120227059761
0.693,sspls-v,-0.0,5.388120227059761
0.741,ifrms,-1.8162275589857508,5.364642619482892
0.741,mcgs,0.0,5.364642619482892
0.741,pos,0.0,5.364642619482892
0.741,prculs-d,-0.3094922729576012,5.364642619482892
0.741,prcus-a,0.0,5.364642619482892
0.741,prcus-i,-0.9879797889693525,5.364642619482892
0.741,prcus-p,-0.6248572161122723,5.364642619482892
0.741,sbps,-0.0,5.364642619482892
0.741,sspls-v,-0.0,5.364642619482892
0.792,ifrms,-1.7711873624325336,5.336805545201701
0.792,mcgs,0.0,5.336805545201701
0.792,pos,0.0,5.336805545201701
0.792,prculs-d,-0.22067288405826396,5.336805545201701
0.792,prcus-a,0.0,5.336805545201701
0.792,prcus-i,-0.8973374584944362,5.336805545201701
0.792,prcus-p,-0.5932075255963769,5.336805545201701
0.792,sbps,-0.0,5.336805545201701
0.792,sspls-v,-0.0,5.336805545201701
0.846,ifrms,-1.723497883702192,5.308433675773783
0.846,mcgs,0.0,5.308433675773783
0.846,pos,0.0,5.308433675773783
0.846,prculs-d,-0.12826972311517032,5.308433675773783
0.846,prcus-a,0.0,5.308433675773783
0.846,prcus-i,-0.8130139151030286,5.308433675773783
0.846,prcus-p,-0.5596960890978699,5.308433675773783
0.846,sbps,-0.0,5.308433675773783
0.846,sspls-v,-0.0,5.308433675773783
0.905,ifrms,-1.671170839935328,5.282790304844139
0.905,mcgs,0.0,5.282790304844139
0.905,pos,0.0,5.282790304844139
0.905,prculs-d,-0.02913888611434285,5.282790304844139
0.905,prcus-a,0.0,5.282790304844139
0.905,prcus-i,-0.7020883988115594,5.282790304844139
0.905,prcus-p,-0.5230818356708525,5.282790304844139
0.905,sbps,-0.0,5.282790304844139
0.905,sspls-v,-0.0,5.282790304844139
0.967,ifrms,-1.6171013166543229,5.253120448629549
0.967,mcgs,0.0,5.253120448629549
0.967,pos,0.0,5.253120448629549
0.967,prculs-d,-0.0,5.253120448629549
0.967,prcus-a,0.0,5.253120448629549
0.967,prcus-i,-0.6063333335052545,5.253120448629549
0.967,prcus-p,-0.4840962892044852,5.253120448629549
0.967,sbps,-0.0,5.253120448629549
0.967,sspls-v,-0.0,5.253120448629549
1.034,ifrms,-1.5591348856239837,5.234448839286795
1.034,mcgs,0.0,5.234448839286795
1.034,pos,0.0,5.234448839286795
1.034,prculs-d,-0.0,5.234448839286795
1.034,prcus-a,0.0,5.234448839286795
1.034,prcus-i,-0.5132291123756059,5.234448839286795
1.034,prcus-p,-0.4392038103150945,5.234448839286795
1.034,sbps,-0.0,5.234448839286795
1.034,sspls-v,-0.0,5.234448839286795
1.105,ifrms,-1.4977077725210082,5.230021055265089
1.105,mcgs,0.0,5.230021055265089
1.105,pos,0.0,5.230021055265089
1.105,prculs-d,-0.0,5.230021055265089
1.105,prcus-a,0.0,5.230021055265089
1.105,prcus-i,-0.4317424450762146,5.230021055265089
1.105,prcus-p,-0.3916311834323086,5.230021055265089
1.105,sbps,-0.0,5.230021055265089
1.105,sspls-v,-0.0,5.230021055265089
1.182,ifrms,-1.435092196039193,5.217201822715314
1.182,mcgs,0.0,5.217201822715314
1.182,pos,0.0,5.217201822715314
1.182,prculs-d,-0.0,5.217201822715314
1.182,prcus-a,0.0,5.217201822715314
1.182,prcus-i,-0.34336958054025557,5.217201822715314
1.182,prcus-p,-0.34003833455942795,5.217201822715314
1.182,sbps,-0.0,5.217201822715314
1.182,sspls-v,-0.0,5.217201822715314
1.263,ifrms,-1.368201047581833,5.218765339896138
1.263,mcgs,0.0,5.218765339896138
1.263,pos,0.0,5.218765339896138
1.263,prculs-d,-0.0,5.218765339896138
1.263,prcus-a,0.0,5.218765339896138
1.263,prcus-i,-0.2504059336410209,5.218765339896138
1.263,prcus-p,-0.2857653376931508,5.218765339896138
1.263,sbps,-0.0,5.218765339896138
1.263,sspls-v,-0.0,5.218765339896138
1.35,ifrms,-1.2911530036582008,5.207574328269921
1.35,mcgs,0.0,5.207574328269921
1.35,pos,0.0,5.207574328269921
