alpha_level,fold,RMSE,Sulci,beta,Model
0.1,7.0,5.69200754166218,prcus-p,2.3396434612912085,"Lasso(alpha=0.1, max_iter=10000)"
0.1,7.0,5.69200754166218,prcus-i,-0.06488373359858604,"Lasso(alpha=0.1, max_iter=10000)"
0.1,7.0,5.69200754166218,prcus-a,0.3380142680674891,"Lasso(alpha=0.1, max_iter=10000)"
0.1,7.0,5.69200754166218,ifrms,-2.112474263929897,"Lasso(alpha=0.1, max_iter=10000)"
0.1,7.0,5.69200754166218,sspls-v,1.798748517537379,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,mcgs,0.3458786577077181,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,sbps,-1.4869924329559,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,prculs-d,-0.34634299401993535,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,prcus-p,1.6264323310956836,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,prcus-i,-0.2208391758832084,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,prcus-a,0.02866015893970296,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,ifrms,-1.7037766090538458,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,5.955587969800034,sspls-v,1.2039805934961683,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.984149905812192,mcgs,0.7640488831418576,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.984149905812192,pos,-0.032255650790020754,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.984149905812192,sbps,-1.449491731970131,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.984149905812192,prculs-d,-0.19240209451616735,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.984149905812192,prcus-p,1.6345558512406344,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.984149905812192,prcus-i,-0.4050069018224976,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.984149905812192,prcus-a,0.08623175415761522,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.984149905812192,ifrms,-1.99744171733554,"Lasso(alpha=0.1, max_iter=10000)"
