Sulci,beta
prcus-p,1.7552036790613055
prcus-i,-0.41338398970619883
prcus-a,0.0
ifrms,-2.1577020073733366
sspls-v,1.5487852874638715
mcgs,0.638931444555869
pos,0.0
sbps,-1.7055003840912166
prculs-d,-0.16240576637238135
prcus-p,1.9306381222341868
prcus-i,-0.29097290958269656
prcus-a,0.0535328863184108
ifrms,-2.081766171108027
sspls-v,1.5030306395471922
mcgs,0.5238257000288339
pos,-0.0
sbps,-1.6615548243597364
prculs-d,-0.17622760319492875
prcus-p,1.948694219876324
prcus-i,-0.3095014440611865
prcus-a,0.0
ifrms,-2.0735015400835914
sspls-v,1.4657739491614636
mcgs,0.5371802286974202
pos,-0.0
sbps,-1.6699726859835753
prculs-d,-0.15916432372373646
prcus-p,1.9171420674826427
prcus-i,-0.35498642408530445
prcus-a,0.0
ifrms,-2.0744570910629494
sspls-v,1.4464676121821216
mcgs,0.40623927363445766
pos,0.0
sbps,-1.628402787078088
prculs-d,0.07880311210051144
prcus-p,1.426968061571052
prcus-i,0.0
prcus-a,0.3331973011422316
ifrms,-2.154164191604939
sspls-v,1.2078828452506536
mcgs,0.2555034535882799
pos,-0.0
sbps,-1.7190251223195538
prculs-d,-0.19179897275167318
prcus-p,1.9060203093491235
prcus-i,-0.31922983310533254
prcus-a,0.12550522409597822
ifrms,-2.149090643103574
sspls-v,1.323294234748858
mcgs,0.3987423127406676
pos,-0.0
sbps,-1.7511643547764173
prculs-d,-0.04667906961146208
prcus-p,1.891353529135887
prcus-i,-0.3928437323190437
prcus-a,0.0
ifrms,-1.9327233077341035
sspls-v,1.484289336890503
mcgs,0.5983360662739239
pos,-0.26367331873150995
sbps,-1.6765298156672308
prculs-d,-0.12990912589353337
prcus-p,1.9019331614637547
prcus-i,-0.46860306771239146
prcus-a,0.0
ifrms,-1.8674391422688341
sspls-v,1.2979545406500164
mcgs,0.4769144686355749
pos,0.0
sbps,-1.5538328492174565
prculs-d,-0.3709876420384459
prcus-p,1.9248721815070846
prcus-i,-0.2835811040281353
prcus-a,0.05173191498732571
ifrms,-2.079596588052797
sspls-v,1.5183152875526802
mcgs,0.3182684794271621
pos,-0.03869817884900559
sbps,-1.639242088675254
prculs-d,-0.2204966699782915
prcus-p,2.072608674308756
prcus-i,-0.41348658480436506
prcus-a,-0.12526096762475086
ifrms,-2.0301495812258388
sspls-v,1.3036159079793108
mcgs,0.5746967100696638
pos,0.0
sbps,-1.6923305675492006
prculs-d,-0.07115609891204287
prcus-p,1.9416598198948747
prcus-i,-0.3037159249471065
prcus-a,-0.0
ifrms,-2.050858284581205
sspls-v,1.463958771678071
mcgs,0.47826686104144944
pos,-0.0
sbps,-1.5744218273754549
prculs-d,-0.1491579856758228
prcus-p,1.9397700160534461
prcus-i,-0.35073555038542037
prcus-a,0.0
ifrms,-1.9957864276888828
sspls-v,1.4452577408108385
mcgs,0.5803310406174623
pos,-0.0
sbps,-1.6897539449558503
prculs-d,-0.4224140017440479
prcus-p,1.6553458262640102
prcus-i,-0.12311251584764694
prcus-a,-0.0
ifrms,-2.0532169914496117
sspls-v,1.2960984850079247
mcgs,0.532148057758515
pos,0.1448209060235014
sbps,-1.733413744493499
prculs-d,-0.44409198776016645
prcus-p,1.3773512413513809
prcus-i,-0.19606048579178367
prcus-a,0.18550789207890256
ifrms,-2.315235087999645
sspls-v,1.711085600804666
mcgs,1.1060552308764626
pos,0.5589326747949114
sbps,-1.3129600816360363
prculs-d,-0.6509523454905527
prcus-p,1.4408159503305753
prcus-i,-0.5642143322420986
prcus-a,-0.0
ifrms,-2.930719575151111
sspls-v,1.4480415887137628
mcgs,0.1778512404659811
pos,0.0
sbps,-1.6729888882965194
prculs-d,-0.2175519988394046
prcus-p,1.9692059420757138
prcus-i,-0.9593876222608233
prcus-a,-0.27632113257027174
ifrms,-1.8941458204357844
sspls-v,1.5548274019946173
mcgs,0.6150913837167097
pos,-0.3365639332134307
sbps,-2.1631541458866335
prculs-d,0.0
prcus-p,2.3285337641467976
prcus-i,-0.06418537959412374
prcus-a,0.3242153444726256
ifrms,-2.0980883502278744
sspls-v,1.7837808081548505
mcgs,0.3315388327051096
pos,-0.0
sbps,-1.47040625066753
prculs-d,-0.34154226788053615
prcus-p,1.6185235816486492
prcus-i,-0.21496393552618429
prcus-a,0.020762654962285795
ifrms,-1.6851683214992292
sspls-v,1.1892985904272781
mcgs,0.7541275892294955
pos,-0.03314352021703496
sbps,-1.4344201905688971
prculs-d,-0.184901567617373
prcus-p,1.6286778599816107
prcus-i,-0.4013633435020874
prcus-a,0.07795998339306087
ifrms,-1.9805825542648827
sspls-v,1.1896929300210493
mcgs,0.43467851645956934
pos,-0.0
sbps,-1.722500008119896
prculs-d,-0.30388856870224107
prcus-p,1.993543641037643
prcus-i,-0.061219116387291585
prcus-a,0.0
ifrms,-2.055990733776643
sspls-v,1.4519217404939548
mcgs,0.3784863275774223
pos,-0.0
sbps,-1.7763092141525854
prculs-d,-0.0
prcus-p,1.9197120462877797
prcus-i,-0.45959807916592577
prcus-a,-0.0
ifrms,-1.9405069287513954
sspls-v,1.6055267125094215
mcgs,0.544268010119385
pos,-0.0
sbps,-1.6097299460777936
prculs-d,-0.23733037620860328
prcus-p,1.9257021446241571
prcus-i,-0.2960726416430746
prcus-a,0.0
ifrms,-2.0809951694010915
sspls-v,1.4665554495397035
mcgs,0.30435146904216065
pos,-0.3093653351560832
sbps,-1.6337065982873655
prculs-d,-0.09565691605585508
prcus-p,2.4050355893500295
prcus-i,-0.0
prcus-a,-0.08946021612906599
ifrms,-2.0204026076063175
sspls-v,1.2625168638294275
mcgs,1.0653593579471152
pos,0.29931708435999715
sbps,-2.0971399159884525
prculs-d,-0.35850373730663204
prcus-p,1.9498191706884915
prcus-i,-0.25440702246788505
prcus-a,0.46692175605656044
ifrms,-2.2474683480309285
sspls-v,1.3157583267600428
mcgs,0.32952983842088396
pos,0.13450470375105214
sbps,-1.1908975025040718
prculs-d,-0.013714843062870097
prcus-p,2.1061744240427456
prcus-i,-0.1891437638430077
prcus-a,0.46563102120860067
