alpha_level,fold,RMSE,Sulci,beta,Model
0.1,7.0,6.396496037592029,prcus-p,-1.9738184941694314,"Lasso(alpha=0.1, max_iter=10000)"
0.1,7.0,6.396496037592029,prcus-i,-3.519551832291837,"Lasso(alpha=0.1, max_iter=10000)"
0.1,7.0,6.396496037592029,prcus-a,-1.4217828630131517,"Lasso(alpha=0.1, max_iter=10000)"
0.1,7.0,6.396496037592029,ifrms,-2.9845037318537195,"Lasso(alpha=0.1, max_iter=10000)"
0.1,7.0,6.396496037592029,sspls-v,0.8474093482167372,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,mcgs,-0.7709507169124264,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,prculs-d,-1.6156112472480435,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,prcus-p,-2.4302004008338582,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,prcus-i,-3.5833473448654387,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,prcus-a,-1.7077503263527842,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,ifrms,-2.881288145428569,"Lasso(alpha=0.1, max_iter=10000)"
0.1,8.0,6.398861264166221,sspls-v,0.6168763911440954,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,mcgs,-0.20504617486226262,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,pos,-0.18376800567081414,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,sbps,-0.04747289728184023,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,prculs-d,-0.29173528474096644,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,prcus-p,-2.0395363600095724,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,prcus-i,-3.063863065173599,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,prcus-a,-1.7551517791632867,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,ifrms,-2.3377545585375716,"Lasso(alpha=0.1, max_iter=10000)"
0.1,9.0,5.731067837559961,sspls-v,0.4887238128841667,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,6.113654105237253,mcgs,-1.0333142221046747,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,6.113654105237253,pos,0.5621943723401548,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,6.113654105237253,sbps,0.3232936889333231,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,6.113654105237253,prculs-d,-1.2256383795419763,"Lasso(alpha=0.1, max_iter=10000)"
0.1,10.0,6.113654105237253,prcus-p,-2.5091004269797814,"Lasso(alpha=0.1, max_iter=10000)"
