,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),lgi_mean,lgi_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_depth_mean_pct
0,27,rh,pFUS,93.0,56.0,91.0,2.641,0.011,0.143,0.026,2.0,0.1,0.30891716480255127,4.5701069831848145,0.017712414264678955
0,28,lh,mFUS,358.0,256.0,871.0,2.635,0.047,0.177,0.053,9.0,0.8,-0.021928925067186356,4.916022777557373,-0.001323296339251101
0,28,lh,pFUS,354.0,254.0,691.0,2.697,0.028,0.114,0.016,2.0,0.2,1.2307863235473633,5.096127510070801,0.07427138835191727
0,28,rh,mFUS,192.0,135.0,406.0,2.743,0.051,0.15,0.026,4.0,0.2,-0.8247165679931641,3.0576207637786865,-0.050370920449495316
0,28,rh,pFUS,160.0,117.0,325.0,2.725,0.013,0.137,0.021,2.0,0.1,-2.151170492172241,0.32463207840919495,-0.13138630986213684
0,29,lh,mFUS,172.0,132.0,432.0,2.651,0.056,0.11,0.019,1.0,0.1,-1.6594313383102417,2.076284646987915,-0.09583766758441925
0,29,lh,pFUS,148.0,99.0,278.0,2.666,0.015,0.104,0.018,1.0,0.1,-1.362847924232483,0.7650609016418457,-0.07870898395776749
0,29,rh,mFUS,54.0,39.0,123.0,2.58,0.012,0.188,0.038,1.0,0.1,2.1552438735961914,4.695651531219482,0.12394867092370987
0,29,rh,pFUS,311.0,218.0,601.0,2.586,0.018,0.123,0.024,5.0,0.3,-0.5344517230987549,3.1881563663482666,-0.030736466869711876
0,30,lh,mFUS,143.0,96.0,289.0,2.601,0.012,0.149,0.026,2.0,0.1,1.9595853090286255,6.678589344024658,0.12338067591190338
0,30,lh,pFUS,275.0,180.0,387.0,2.732,0.029,0.115,0.022,2.0,0.2,5.105897426605225,8.071426391601562,0.3214808702468872
0,30,rh,mFUS,46.0,31.0,151.0,2.644,0.065,0.16,0.029,1.0,0.0,-0.8431064486503601,1.984048843383789,-0.051083311438560486
0,30,rh,pFUS,76.0,64.0,231.0,2.683,0.057,0.093,0.014,0.0,0.0,-1.5899149179458618,-0.10739123821258545,-0.09633197635412216
0,31,lh,mFUS,198.0,135.0,349.0,2.842,0.01,0.117,0.03,1.0,0.3,3.146379232406616,8.215875625610352,0.1867978274822235
0,31,rh,pFUS,299.0,190.0,785.0,2.64,0.041,0.141,0.034,5.0,0.4,-2.455439329147339,1.470816731452942,-0.14969445765018463
0,32,lh,mFUS,161.0,128.0,371.0,2.862,0.045,0.187,0.05,6.0,0.6,-4.957585334777832,-1.0964999198913574,-0.29898303747177124
0,32,lh,pFUS,224.0,177.0,560.0,2.9,0.064,0.11,0.015,2.0,0.1,-4.7556047439575195,-0.13912372291088104,-0.28680190443992615
0,32,rh,mFUS,361.0,257.0,785.0,2.71,0.022,0.154,0.038,7.0,0.5,0.11413104087114334,5.447768688201904,0.006949205417186022
0,32,rh,pFUS,320.0,227.0,751.0,2.715,0.028,0.132,0.033,3.0,0.4,-0.9499354362487793,3.959245204925537,-0.057839639484882355
0,33,lh,mFUS,242.0,171.0,685.0,2.567,0.04,0.083,0.012,1.0,0.1,0.1414640098810196,5.324319839477539,0.008640722371637821
0,33,lh,pFUS,47.0,25.0,94.0,2.794,0.048,0.193,0.039,2.0,0.1,-3.617668628692627,-0.4986788034439087,-0.2209697663784027
0,33,rh,mFUS,220.0,157.0,397.0,2.629,0.026,0.115,0.022,1.0,0.2,2.86308217048645,6.8211565017700195,0.16685132682323456
0,33,rh,pFUS,116.0,78.0,321.0,2.683,0.013,0.117,0.02,1.0,0.1,-1.855373740196228,0.8917125463485718,-0.10812529176473618
0,34,lh,mFUS,347.0,255.0,460.0,2.723,0.014,0.105,0.011,2.0,0.2,6.018045902252197,9.094470024108887,0.37457266449928284
0,34,lh,pFUS,194.0,142.0,621.0,2.79,0.051,0.151,0.026,3.0,0.2,-5.509984493255615,-1.1136908531188965,-0.34295013546943665
0,34,rh,mFUS,424.0,319.0,1041.0,2.725,0.046,0.141,0.033,6.0,0.5,-1.5285708904266357,6.3483686447143555,-0.08788052946329117
0,35,lh,pFUS,436.0,303.0,857.0,2.811,0.06,0.148,0.025,8.0,0.4,-1.554152011871338,4.9495649337768555,-0.09822333604097366
0,35,rh,mFUS,102.0,72.0,147.0,2.724,0.018,0.136,0.014,2.0,0.1,4.1599321365356445,7.867455959320068,0.24001149833202362
0,35,rh,pFUS,81.0,59.0,176.0,2.754,0.018,0.176,0.06,3.0,0.1,0.15345492959022522,2.1783037185668945,0.008853738196194172
0,36,lh,mFUS,297.0,218.0,493.0,2.539,0.019,0.129,0.019,2.0,0.2,5.688501834869385,9.357227325439453,0.34961384534835815
0,36,lh,pFUS,209.0,152.0,413.0,2.554,0.011,0.139,0.029,2.0,0.2,1.761646032333374,5.9148359298706055,0.1082703098654747
0,36,rh,mFUS,377.0,275.0,808.0,2.476,0.049,0.148,0.03,5.0,0.4,-0.170706108212471,4.038635730743408,-0.00966122467070818
0,36,rh,pFUS,458.0,312.0,1195.0,2.532,0.059,0.154,0.033,8.0,0.6,-4.706743240356445,1.8915513753890991,-0.26638126373291016
0,37,lh,mFUS,13.0,11.0,36.0,2.706,0.005,0.045,0.012,0.0,0.0,-0.06495991349220276,2.2888681888580322,-0.003908015787601471
0,37,rh,mFUS,25.0,23.0,67.0,2.631,0.014,0.056,0.01,0.0,0.0,0.9075684547424316,3.448253631591797,0.054479360580444336
0,37,rh,pFUS,3.0,3.0,3.0,2.708,0.008,0.295,0.045,0.0,0.0,4.366384029388428,4.792183876037598,0.2621045410633087
0,38,lh,mFUS,165.0,120.0,508.0,2.853,0.023,0.182,0.078,7.0,0.3,-2.2552411556243896,1.4931161403656006,-0.13395872712135315
0,38,lh,pFUS,144.0,111.0,287.0,2.719,0.04,0.079,0.01,0.0,0.1,-2.334552764892578,1.1180940866470337,-0.13866972923278809
