,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_depth,sulcal_pit,gyral_crown,mean_pct_max_depth
0,40,rh,PPA,808.0,550.0,1361.0,2.494,0.527,0.102,0.013,7.0,0.4,4.218548774719238,9.714903831481934,-4.555238246917725,0.24359546601772308
0,41,lh,G_oc-temp_lat-fusifor,1717.0,1162.0,4260.0,2.98,0.594,0.152,0.039,33.0,2.5,-0.8385432958602905,5.856766223907471,-7.956385612487793,-0.04977619647979736
0,41,lh,cortex,104071.0,71280.0,200016.0,2.489,0.623,0.128,0.027,1314.0,113.6,0.00530613586306572,16.846271514892578,-14.074167251586914,0.0003149716940242797
0,41,lh,PPA,1006.0,713.0,1576.0,2.354,0.406,0.115,0.018,10.0,0.7,5.6070027351379395,11.073719024658203,-3.249629497528076,0.3328334391117096
0,41,rh,G_oc-temp_lat-fusifor,1689.0,1188.0,4509.0,2.807,0.539,0.155,0.039,37.0,2.5,-2.355102062225342,4.459672927856445,-8.509480476379395,-0.13131776452064514
0,41,rh,cortex,103030.0,70841.0,198927.0,2.488,0.636,0.13,0.028,1365.0,119.3,-0.013164115138351917,17.93437385559082,-14.36811351776123,-0.000734015426132828
0,41,rh,PPA,827.0,578.0,1408.0,2.49,0.608,0.117,0.021,8.0,0.6,5.196819305419922,10.875720024108887,-3.884920597076416,0.28976863622665405
0,42,lh,G_oc-temp_lat-fusifor,1881.0,1271.0,4678.0,3.013,0.66,0.151,0.041,36.0,3.2,-1.9579843282699585,5.347356796264648,-7.584106922149658,-0.1135026142001152
0,42,lh,cortex,157926.0,105802.0,295801.0,2.519,0.628,0.125,0.026,1954.0,166.7,-0.0036792350001633167,17.250564575195312,-13.654844284057617,-0.00021328101865947247
0,42,lh,PPA,1059.0,731.0,1836.0,2.816,0.5,0.118,0.024,9.0,0.9,6.136787414550781,11.829690933227539,-6.6111016273498535,0.3557441532611847
0,42,rh,G_oc-temp_lat-fusifor,2359.0,1540.0,6157.0,3.0,0.557,0.141,0.032,49.0,2.9,-2.975260019302368,6.318987846374512,-9.393229484558105,-0.18019630014896393
0,42,rh,cortex,158348.0,105895.0,293842.0,2.499,0.622,0.124,0.026,2001.0,166.6,-0.0015981044853106141,16.511215209960938,-13.62563419342041,-9.678983769845217e-05
0,42,rh,PPA,1263.0,851.0,2063.0,2.63,0.5,0.106,0.019,11.0,1.0,5.875740051269531,12.969175338745117,-4.5120015144348145,0.3558635711669922
0,43,lh,G_oc-temp_lat-fusifor,1889.0,1281.0,5011.0,2.867,0.65,0.139,0.038,37.0,2.6,-3.039579391479492,4.434514045715332,-9.896835327148438,-0.18240222334861755
0,43,lh,cortex,145879.0,96440.0,261350.0,2.429,0.625,0.121,0.026,1724.0,153.0,-0.011893512681126595,16.66415786743164,-12.441537857055664,-0.0007137153879739344
0,43,lh,PPA,1211.0,819.0,2074.0,2.531,0.439,0.126,0.027,14.0,1.4,5.422850608825684,12.142385482788086,-6.209743976593018,0.3254200518131256
0,43,rh,G_oc-temp_lat-fusifor,2561.0,1644.0,5883.0,2.804,0.59,0.129,0.029,47.0,2.9,-1.614135980606079,5.351524353027344,-9.854961395263672,-0.09261932224035263
0,43,rh,cortex,146777.0,96767.0,259920.0,2.424,0.609,0.122,0.027,1736.0,157.3,-0.00928082037717104,17.427635192871094,-13.65869140625,-0.000532535370439291
0,43,rh,PPA,1099.0,761.0,1917.0,2.643,0.465,0.103,0.017,7.0,0.7,5.316930294036865,11.198641777038574,-4.64658260345459,0.3050861358642578
0,44,lh,G_oc-temp_lat-fusifor,2267.0,1481.0,4921.0,2.746,0.42,0.143,0.035,41.0,3.2,-1.3452765941619873,5.775516510009766,-7.642383575439453,-0.0785764753818512
