,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_ct_ratio,max_face_ct_ratio,mean_pct_max_face_ct_ratio
0,15,rh,pFUS,289.0,204.0,445.0,2.396,0.286,0.097,0.01,2.0,0.1,0.34714245796203613,0.49542340636253357,0.0638459175825119
0,16,lh,mFUS,104.0,71.0,225.0,3.16,0.575,0.134,0.037,1.0,0.2,0.2807471454143524,0.5549758076667786,0.08095443248748779
0,16,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,16,rh,mFUS,174.0,130.0,312.0,2.078,0.469,0.126,0.038,3.0,0.3,0.4654710292816162,0.7849001884460449,0.15024332702159882
0,16,rh,pFUS,577.0,384.0,983.0,2.083,0.601,0.131,0.026,7.0,0.5,0.8381650447845459,2.014892339706421,0.27054035663604736
0,17,lh,mFUS,186.0,132.0,402.0,2.459,0.361,0.146,0.022,3.0,0.2,0.4325737953186035,1.0791536569595337,0.09989205002784729
0,17,lh,pFUS,160.0,118.0,314.0,2.147,0.536,0.076,0.007,1.0,0.1,0.4409421384334564,0.9078360199928284,0.10182452201843262
0,17,rh,mFUS,204.0,145.0,569.0,2.965,0.613,0.166,0.033,4.0,0.3,0.3980342149734497,0.7686838507652283,0.09071054309606552
0,17,rh,pFUS,176.0,122.0,389.0,2.337,0.458,0.11,0.021,1.0,0.2,0.5113714933395386,0.8100254535675049,0.11653969436883926
0,18,lh,mFUS,345.0,237.0,657.0,2.197,0.401,0.148,0.028,8.0,0.4,0.4901443123817444,0.9864362478256226,0.1630820333957672
0,18,lh,pFUS,110.0,72.0,221.0,2.376,0.487,0.157,0.033,2.0,0.2,0.3297822177410126,0.5094667673110962,0.1097259372472763
0,18,rh,mFUS,65.0,46.0,110.0,2.097,0.45,0.065,0.018,0.0,0.0,0.3728334307670593,0.6326578259468079,0.1149156391620636
0,18,rh,pFUS,589.0,419.0,995.0,2.189,0.533,0.137,0.028,10.0,0.8,0.5088067650794983,0.929499626159668,0.1568256914615631
0,19,lh,mFUS,332.0,240.0,778.0,2.595,0.443,0.114,0.017,3.0,0.2,0.35690706968307495,0.7686870694160461,0.10241582244634628
0,19,lh,pFUS,111.0,78.0,265.0,2.839,0.37,0.133,0.033,1.0,0.1,0.2830698490142822,0.5102032423019409,0.08122794330120087
0,19,rh,mFUS,309.0,207.0,515.0,2.258,0.463,0.161,0.035,6.0,0.4,0.6300176978111267,1.639652967453003,0.1823122650384903
0,19,rh,pFUS,341.0,229.0,689.0,2.38,0.499,0.151,0.03,6.0,0.5,0.5656351447105408,1.212591528892517,0.16368147730827332
0,20,lh,mFUS,35.0,30.0,117.0,2.518,0.327,0.246,0.062,3.0,0.1,0.26488804817199707,0.33950164914131165,0.08533775806427002
0,20,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,20,rh,mFUS,460.0,318.0,815.0,2.394,0.425,0.119,0.021,6.0,0.4,0.4393337070941925,0.9322670102119446,0.08902432769536972
0,20,rh,pFUS,36.0,29.0,99.0,2.591,0.384,0.082,0.013,0.0,0.0,0.342762291431427,0.5165800452232361,0.0694555938243866
0,21,lh,mFUS,362.0,265.0,702.0,2.528,0.315,0.119,0.021,4.0,0.3,0.48019737005233765,1.039717674255371,0.1625867635011673
0,21,lh,pFUS,273.0,174.0,649.0,2.711,0.431,0.128,0.025,4.0,0.3,0.4929948151111603,1.040199637413025,0.1669197827577591
0,21,rh,mFUS,193.0,144.0,321.0,2.442,0.359,0.12,0.014,2.0,0.1,0.5516763925552368,0.8797436952590942,0.12211557477712631
0,21,rh,pFUS,459.0,315.0,1018.0,2.811,0.355,0.136,0.028,7.0,0.4,0.708996593952179,1.4732334613800049,0.15693899989128113
0,22,lh,mFUS,255.0,185.0,513.0,2.681,0.519,0.152,0.045,5.0,0.4,0.16591672599315643,0.34074631333351135,0.03969050571322441
0,22,lh,pFUS,27.0,14.0,37.0,2.03,0.238,0.13,0.035,0.0,0.0,0.15677812695503235,0.20005008578300476,0.037504371255636215
0,22,rh,mFUS,95.0,61.0,166.0,2.089,0.711,0.087,0.02,0.0,0.1,0.4880944788455963,1.67558753490448,0.12694679200649261
0,22,rh,pFUS,222.0,147.0,407.0,2.553,0.413,0.123,0.022,2.0,0.2,0.29273444414138794,0.4899542033672333,0.0761362686753273
0,23,lh,mFUS,214.0,149.0,400.0,2.5,0.612,0.172,0.054,6.0,0.4,0.25408297777175903,0.4659648835659027,0.13791413605213165
0,23,lh,pFUS,10.0,8.0,13.0,2.683,0.405,0.291,0.031,0.0,0.0,0.11281551420688629,0.1297081857919693,0.061235327273607254
0,23,rh,mFUS,15.0,9.0,11.0,1.824,0.117,0.183,0.013,0.0,0.0,0.3402714133262634,0.3951646387577057,0.12514051795005798
0,23,rh,pFUS,139.0,99.0,233.0,2.531,0.305,0.124,0.03,2.0,0.1,0.2706848680973053,0.49703410267829895,0.09954891353845596
0,24,lh,mFUS,7.0,6.0,18.0,2.097,0.168,0.07,0.007,0.0,0.0,0.27157801389694214,0.30529704689979553,0.04259328916668892
0,24,lh,pFUS,202.0,149.0,672.0,3.516,0.491,0.067,0.009,1.0,0.1,0.2228660136461258,0.43231236934661865,0.03495348244905472
0,24,rh,mFUS,304.0,219.0,656.0,2.874,0.598,0.131,0.028,3.0,0.3,0.34828439354896545,0.580001175403595,0.09967675805091858
0,24,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,25,lh,mFUS,41.0,28.0,99.0,2.554,0.323,0.224,0.034,2.0,0.1,0.2716509997844696,0.33615297079086304,0.10255848616361618
0,25,lh,pFUS,326.0,225.0,601.0,2.661,0.645,0.147,0.021,4.0,0.3,0.4121096134185791,0.6438806653022766,0.15558692812919617
0,25,rh,mFUS,137.0,103.0,364.0,2.632,0.367,0.142,0.022,3.0,0.1,0.34028375148773193,0.6020506620407104,0.04628546163439751
0,25,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,26,lh,mFUS,422.0,291.0,910.0,2.884,0.626,0.144,0.026,6.0,0.4,0.43817976117134094,0.9803361296653748,0.10232758522033691
0,26,lh,pFUS,161.0,92.0,447.0,3.204,0.442,0.144,0.024,2.0,0.2,0.3724958300590515,0.7000676393508911,0.08698849380016327
0,26,rh,mFUS,371.0,246.0,839.0,2.786,0.496,0.125,0.021,6.0,0.3,0.4332256019115448,0.7798270583152771,0.10877252370119095
0,26,rh,pFUS,356.0,249.0,639.0,2.243,0.437,0.119,0.016,5.0,0.2,0.5698423385620117,1.0025405883789062,0.14307370781898499
0,27,lh,mFUS,1.0,1.0,3.0,2.544,0.0,0.094,0.022,0.0,0.0,0.07325275987386703,0.07325275987386703,0.01304961834102869
0,27,lh,pFUS,729.0,512.0,970.0,2.111,0.384,0.11,0.018,5.0,0.6,0.5767146348953247,1.325817346572876,0.1027388721704483
0,27,rh,mFUS,131.0,88.0,243.0,2.068,0.44,0.188,0.034,6.0,0.2,0.4250485301017761,1.1726138591766357,0.12624742090702057
0,27,rh,pFUS,93.0,56.0,91.0,1.695,0.26,0.143,0.026,2.0,0.1,0.28262925148010254,0.39544036984443665,0.08394622057676315
0,28,lh,mFUS,358.0,256.0,871.0,2.859,0.534,0.177,0.053,9.0,0.8,0.23416206240653992,0.9493253827095032,0.034034889191389084
0,28,lh,pFUS,354.0,254.0,691.0,3.003,0.447,0.114,0.016,2.0,0.2,0.2712562382221222,0.44892722368240356,0.03942644223570824
0,28,rh,mFUS,192.0,135.0,406.0,3.056,0.692,0.15,0.026,4.0,0.2,0.3696140944957733,0.9410383701324463,0.09103395789861679
0,28,rh,pFUS,160.0,117.0,325.0,2.746,0.59,0.137,0.021,2.0,0.1,0.4347562789916992,0.9421114325523376,0.10707812011241913
0,29,lh,mFUS,172.0,132.0,432.0,2.839,0.688,0.11,0.019,1.0,0.1,0.3662431240081787,0.5892502069473267,0.15976062417030334
0,29,lh,pFUS,148.0,99.0,278.0,2.581,0.626,0.104,0.018,1.0,0.1,0.4701593816280365,1.27392578125,0.20509038865566254
0,29,rh,mFUS,54.0,39.0,123.0,3.617,0.622,0.188,0.038,1.0,0.1,0.302977979183197,0.43632134795188904,0.09097793698310852
0,29,rh,pFUS,311.0,218.0,601.0,2.651,0.4,0.123,0.024,5.0,0.3,0.4791962802410126,1.0217047929763794,0.1438925862312317
0,30,lh,mFUS,143.0,96.0,289.0,2.849,0.518,0.149,0.026,2.0,0.1,0.3453789949417114,0.570602297782898,0.08197984099388123
0,30,lh,pFUS,275.0,180.0,387.0,2.648,0.402,0.115,0.022,2.0,0.2,0.6834536194801331,1.3854354619979858,0.1622259020805359
0,30,rh,mFUS,46.0,31.0,151.0,3.2,0.59,0.16,0.029,1.0,0.0,0.32561060786247253,0.8359134793281555,0.09564931690692902
0,30,rh,pFUS,76.0,64.0,231.0,3.045,0.409,0.093,0.014,0.0,0.0,0.17573297023773193,0.2604427635669708,0.05162219703197479
0,31,lh,mFUS,198.0,135.0,349.0,2.715,0.442,0.117,0.03,1.0,0.3,0.37323883175849915,0.5048168301582336,0.18293611705303192
0,31,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,31,rh,mFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,31,rh,pFUS,299.0,190.0,785.0,3.056,0.842,0.141,0.034,5.0,0.4,0.25948449969291687,0.5895403027534485,0.06600018590688705
0,32,lh,mFUS,161.0,128.0,371.0,2.125,0.775,0.187,0.05,6.0,0.6,0.7006158828735352,4.330796718597412,0.16177527606487274
0,32,lh,pFUS,224.0,177.0,560.0,2.452,0.292,0.11,0.015,2.0,0.1,0.530048131942749,1.0512511730194092,0.12239044159650803
0,32,rh,mFUS,361.0,257.0,785.0,2.805,0.564,0.154,0.038,7.0,0.5,0.5228501558303833,1.1444964408874512,0.14942072331905365
0,32,rh,pFUS,320.0,227.0,751.0,2.821,0.512,0.132,0.033,3.0,0.4,0.4859427511692047,0.7593275308609009,0.13887326419353485
0,33,lh,mFUS,242.0,171.0,685.0,3.178,0.485,0.083,0.012,1.0,0.1,0.2974603772163391,0.44837281107902527,0.13121886551380157
0,33,lh,pFUS,47.0,25.0,94.0,2.594,0.302,0.193,0.039,2.0,0.1,0.26876720786094666,0.3259774148464203,0.11856143176555634
0,33,rh,mFUS,220.0,157.0,397.0,2.849,0.49,0.115,0.022,1.0,0.2,0.3519207835197449,0.5718179941177368,0.17436164617538452
0,33,rh,pFUS,116.0,78.0,321.0,3.252,0.337,0.117,0.02,1.0,0.1,0.3006172180175781,0.4256575405597687,0.14894293248653412
0,34,lh,mFUS,347.0,255.0,460.0,2.131,0.377,0.105,0.011,2.0,0.2,0.5168095827102661,1.3768137693405151,0.13030724227428436
0,34,lh,pFUS,194.0,142.0,621.0,2.846,0.517,0.151,0.026,3.0,0.2,0.26626306772232056,0.7876186370849609,0.06713498383760452
