,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_activation,max_face_activation,mean_pct_max_face_activation
0,15,lh,pFUS,92.0,61.0,207.0,3.07,0.421,0.133,0.051,1.0,0.1,0.7579055428504944,0.9954158067703247,0.13161268830299377
0,15,rh,mFUS,64.0,53.0,191.0,2.958,0.648,0.211,0.052,2.0,0.1,0.7061071991920471,0.7961082458496094,0.07204446196556091
0,15,rh,pFUS,289.0,204.0,445.0,2.396,0.286,0.097,0.01,2.0,0.1,0.8214166164398193,1.0742179155349731,0.08380953222513199
0,16,lh,mFUS,104.0,71.0,225.0,3.16,0.575,0.134,0.037,1.0,0.2,0.848491370677948,1.1993606090545654,0.14321129024028778
0,16,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,16,rh,mFUS,174.0,130.0,312.0,2.078,0.469,0.126,0.038,3.0,0.3,0.9245114326477051,1.2569358348846436,0.19419614970684052
0,16,rh,pFUS,577.0,384.0,983.0,2.083,0.601,0.131,0.026,7.0,0.5,1.5772546529769897,2.503124713897705,0.3313066065311432
0,17,lh,mFUS,186.0,132.0,402.0,2.459,0.361,0.146,0.022,3.0,0.2,1.0154876708984375,1.771241545677185,0.14288660883903503
0,17,lh,pFUS,160.0,118.0,314.0,2.147,0.536,0.076,0.007,1.0,0.1,0.8852897882461548,1.2206668853759766,0.12456681579351425
0,17,rh,mFUS,204.0,145.0,569.0,2.965,0.613,0.166,0.033,4.0,0.3,1.1278796195983887,1.5807427167892456,0.13529901206493378
0,17,rh,pFUS,176.0,122.0,389.0,2.337,0.458,0.11,0.021,1.0,0.2,1.1646524667739868,1.727845549583435,0.1397102326154709
0,18,lh,mFUS,345.0,237.0,657.0,2.197,0.401,0.148,0.028,8.0,0.4,1.0328381061553955,1.6345908641815186,0.2100444883108139
0,18,lh,pFUS,110.0,72.0,221.0,2.376,0.487,0.157,0.033,2.0,0.2,0.757205069065094,1.129969835281372,0.1539899855852127
0,18,rh,mFUS,65.0,46.0,110.0,2.097,0.45,0.065,0.018,0.0,0.0,0.7422633767127991,0.8839899301528931,0.18474750220775604
0,18,rh,pFUS,589.0,419.0,995.0,2.189,0.533,0.137,0.028,10.0,0.8,1.0694602727890015,1.8519901037216187,0.266185998916626
0,19,lh,mFUS,332.0,240.0,778.0,2.595,0.443,0.114,0.017,3.0,0.2,0.8899574875831604,1.4277480840682983,0.15242013335227966
0,19,lh,pFUS,111.0,78.0,265.0,2.839,0.37,0.133,0.033,1.0,0.1,0.7864222526550293,1.3083276748657227,0.13468800485134125
0,19,rh,mFUS,309.0,207.0,515.0,2.258,0.463,0.161,0.035,6.0,0.4,1.3408278226852417,2.6554551124572754,0.20474879443645477
0,19,rh,pFUS,341.0,229.0,689.0,2.38,0.499,0.151,0.03,6.0,0.5,1.2786705493927002,1.8649623394012451,0.19525714218616486
0,20,lh,mFUS,35.0,30.0,117.0,2.518,0.327,0.246,0.062,3.0,0.1,0.658368706703186,0.7827003598213196,0.12050119042396545
0,20,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,20,rh,mFUS,460.0,318.0,815.0,2.394,0.425,0.119,0.021,6.0,0.4,1.0203371047973633,1.4673327207565308,0.13681946694850922
0,20,rh,pFUS,36.0,29.0,99.0,2.591,0.384,0.082,0.013,0.0,0.0,0.8720980882644653,1.0107600688934326,0.11694172769784927
0,21,lh,mFUS,362.0,265.0,702.0,2.528,0.315,0.119,0.021,4.0,0.3,1.183669090270996,2.096867322921753,0.1884584128856659
0,21,lh,pFUS,273.0,174.0,649.0,2.711,0.431,0.128,0.025,4.0,0.3,1.2852396965026855,2.3821370601654053,0.2046300321817398
0,21,rh,mFUS,193.0,144.0,321.0,2.442,0.359,0.12,0.014,2.0,0.1,1.3075636625289917,1.5689830780029297,0.21261385083198547
0,21,rh,pFUS,459.0,315.0,1018.0,2.811,0.355,0.136,0.028,7.0,0.4,1.9744454622268677,3.3389556407928467,0.3210509121417999
0,22,lh,mFUS,255.0,185.0,513.0,2.681,0.519,0.152,0.045,5.0,0.4,0.4305197298526764,0.6916137933731079,0.06827853620052338
0,22,lh,pFUS,27.0,14.0,37.0,2.03,0.238,0.13,0.035,0.0,0.0,0.3132745325565338,0.36904463171958923,0.04968397319316864
0,22,rh,mFUS,95.0,61.0,166.0,2.089,0.711,0.087,0.02,0.0,0.1,0.8260072469711304,1.9515857696533203,0.12394127994775772
0,22,rh,pFUS,222.0,147.0,407.0,2.553,0.413,0.123,0.022,2.0,0.2,0.7274748086929321,1.1543551683425903,0.10915660858154297
0,23,lh,mFUS,214.0,149.0,400.0,2.5,0.612,0.172,0.054,6.0,0.4,0.6288840174674988,1.189780831336975,0.16327618062496185
0,23,lh,pFUS,10.0,8.0,13.0,2.683,0.405,0.291,0.031,0.0,0.0,0.2969650328159332,0.32593870162963867,0.07710058987140656
0,23,rh,mFUS,15.0,9.0,11.0,1.824,0.117,0.183,0.013,0.0,0.0,0.6199793219566345,0.7184469103813171,0.12858575582504272
0,23,rh,pFUS,139.0,99.0,233.0,2.531,0.305,0.124,0.03,2.0,0.1,0.6750149130821228,1.0569645166397095,0.14000031352043152
0,24,lh,mFUS,7.0,6.0,18.0,2.097,0.168,0.07,0.007,0.0,0.0,0.5661690831184387,0.6198636293411255,0.1415947526693344
0,24,lh,pFUS,202.0,149.0,672.0,3.516,0.491,0.067,0.009,1.0,0.1,0.7654221057891846,1.1912909746170044,0.19142647087574005
0,24,rh,mFUS,304.0,219.0,656.0,2.874,0.598,0.131,0.028,3.0,0.3,0.9580535888671875,1.2309072017669678,0.23089468479156494
