,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_depth,sulcal_pit,gyral_crown,mean_pct_max_depth
0,1,lh,mFUS,260.0,176.0,608.0,2.574,0.358,0.115,0.014,4.0,0.2,-3.079533338546753,5.679624557495117,-8.340895652770996,-0.18528352677822113
0,1,lh,pFUS,127.0,89.0,260.0,2.33,0.383,0.096,0.023,1.0,0.1,-3.290215015411377,2.7994840145111084,-8.167444229125977,-0.19795942306518555
0,1,rh,mFUS,579.0,389.0,882.0,2.41,0.348,0.089,0.016,3.0,0.4,3.2693748474121094,9.84042739868164,-7.706230163574219,0.19530992209911346
0,1,rh,pFUS,271.0,175.0,411.0,2.188,0.484,0.125,0.023,3.0,0.2,3.0987367630004883,10.898260116577148,-6.646076202392578,0.18511618673801422
0,2,lh,mFUS,267.0,168.0,434.0,2.612,0.521,0.085,0.012,1.0,0.1,1.5747060775756836,5.9128947257995605,-2.825587034225464,0.10018391162157059
0,2,lh,pFUS,255.0,175.0,455.0,2.555,0.261,0.11,0.027,3.0,0.2,2.962550163269043,9.439257621765137,-6.071984767913818,0.18847951292991638
0,2,rh,mFUS,258.0,180.0,547.0,3.02,0.409,0.131,0.022,3.0,0.2,0.8219311833381653,5.399352550506592,-2.7929961681365967,0.045241374522447586
0,2,rh,pFUS,11.0,10.0,49.0,3.064,0.311,0.154,0.024,0.0,0.0,-5.301752090454102,-4.105170726776123,-5.9966888427734375,-0.2918231189250946
0,3,lh,mFUS,294.0,215.0,612.0,2.462,0.452,0.163,0.038,6.0,0.3,-0.34922078251838684,6.0316057205200195,-4.669534206390381,-0.020197352394461632
0,3,lh,pFUS,313.0,210.0,704.0,2.86,0.551,0.151,0.03,5.0,0.3,-2.186260461807251,2.809013843536377,-6.975863933563232,-0.12644344568252563
0,3,rh,mFUS,251.0,181.0,554.0,2.545,0.476,0.127,0.027,4.0,0.2,-1.5117158889770508,6.044063091278076,-6.121891498565674,-0.08660872280597687
0,3,rh,pFUS,178.0,127.0,223.0,2.322,0.35,0.128,0.024,1.0,0.1,1.8506262302398682,6.501307487487793,-2.4325642585754395,0.10602544993162155
0,4,lh,mFUS,152.0,96.0,360.0,2.768,0.306,0.1,0.021,2.0,0.1,-3.7906494140625,2.5970466136932373,-7.69974422454834,-0.2332369089126587
0,4,lh,pFUS,63.0,50.0,95.0,1.947,0.754,0.162,0.023,1.0,0.1,0.06105915084481239,4.023085594177246,-6.886430263519287,0.0037569422274827957
0,4,rh,mFUS,233.0,130.0,319.0,2.148,0.599,0.089,0.027,3.0,0.3,-1.2174900770187378,4.015964984893799,-4.5018415451049805,-0.07471857219934464
0,4,rh,pFUS,542.0,366.0,1302.0,3.034,0.508,0.131,0.024,8.0,0.5,-1.3087769746780396,3.0846314430236816,-6.3909125328063965,-0.08032093197107315
0,5,lh,mFUS,331.0,232.0,722.0,2.424,0.525,0.14,0.038,6.0,0.4,-3.535235643386841,2.8812379837036133,-7.6970696449279785,-0.20867229998111725
0,5,lh,pFUS,379.0,249.0,583.0,2.32,0.395,0.136,0.029,5.0,0.5,-0.9443677663803101,3.7993156909942627,-8.584710121154785,-0.055742647498846054
0,5,rh,mFUS,709.0,510.0,1614.0,3.053,0.546,0.133,0.023,11.0,0.7,-1.198578953742981,5.811117172241211,-6.475666046142578,-0.07120057940483093
0,5,rh,pFUS,534.0,356.0,929.0,2.555,0.534,0.143,0.025,7.0,0.6,-0.32753893733024597,6.1796393394470215,-8.479230880737305,-0.019457178190350533
0,6,lh,mFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,6,rh,mFUS,178.0,117.0,314.0,2.235,0.486,0.144,0.034,3.0,0.2,1.3690506219863892,6.734407424926758,-2.9386916160583496,0.08321865648031235
0,6,rh,pFUS,354.0,247.0,600.0,2.586,0.558,0.148,0.027,5.0,0.4,2.80442476272583,6.023078918457031,-2.997495651245117,0.17046883702278137
0,7,lh,mFUS,560.0,355.0,1347.0,2.938,0.427,0.143,0.03,9.0,0.8,-0.323016881942749,8.00660228729248,-6.291417598724365,-0.020233243703842163
0,7,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,7,rh,mFUS,229.0,162.0,579.0,3.069,0.462,0.156,0.039,4.0,0.4,0.7264842987060547,6.706780433654785,-3.6779961585998535,0.04341109097003937
0,7,rh,pFUS,537.0,363.0,825.0,2.501,0.395,0.116,0.023,4.0,0.5,4.799355506896973,8.8599214553833,-2.755937337875366,0.28678566217422485
0,8,lh,mFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,8,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,8,rh,mFUS,242.0,172.0,423.0,2.522,0.421,0.126,0.025,2.0,0.3,4.521415710449219,7.626334190368652,-5.029234409332275,0.2592010796070099
0,8,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,9,lh,mFUS,347.0,240.0,674.0,2.585,0.423,0.144,0.034,4.0,0.5,0.3806804120540619,3.8261489868164062,-5.922261714935303,0.02294602431356907
0,9,lh,pFUS,48.0,25.0,82.0,2.63,0.31,0.125,0.047,1.0,0.0,-3.7454588413238525,-0.8292459845542908,-5.682275295257568,-0.22576262056827545
0,9,rh,mFUS,191.0,135.0,343.0,2.384,0.337,0.163,0.037,4.0,0.3,-0.9427827596664429,2.9556846618652344,-3.14361572265625,-0.055228956043720245
0,9,rh,pFUS,262.0,185.0,396.0,2.274,0.343,0.127,0.026,2.0,0.3,1.9114512205123901,6.50582218170166,-3.0869579315185547,0.1119743138551712
0,10,lh,mFUS,14.0,11.0,41.0,3.688,0.249,0.14,0.016,0.0,0.0,-0.2842058539390564,0.41045135259628296,-1.576634407043457,-0.016256364062428474
0,10,lh,pFUS,206.0,147.0,584.0,2.963,0.531,0.105,0.023,4.0,0.1,-3.517237424850464,0.4371137320995331,-7.303127288818359,-0.20118334889411926
0,10,rh,mFUS,72.0,50.0,177.0,3.209,0.476,0.108,0.027,0.0,0.1,-1.007180094718933,3.512338399887085,-2.777815341949463,-0.05765213444828987
0,10,rh,pFUS,203.0,131.0,308.0,2.61,0.26,0.147,0.025,3.0,0.3,2.0839335918426514,6.400489807128906,-3.4515416622161865,0.11928673088550568
0,11,lh,mFUS,108.0,75.0,296.0,2.86,0.436,0.121,0.029,2.0,0.1,-0.03373953327536583,4.705300807952881,-4.618376731872559,-0.0020063992124050856
0,11,lh,pFUS,40.0,33.0,119.0,2.497,0.245,0.148,0.034,1.0,0.1,-3.2427947521209717,1.1753870248794556,-5.863173007965088,-0.19284015893936157
0,11,rh,mFUS,239.0,156.0,552.0,2.984,0.548,0.122,0.042,5.0,0.3,-1.62669038772583,3.784749984741211,-6.92152214050293,-0.09205865114927292
0,11,rh,pFUS,38.0,23.0,100.0,3.093,0.43,0.139,0.044,1.0,0.1,-3.5791988372802734,-0.5354357957839966,-5.582610130310059,-0.20255619287490845
0,12,lh,mFUS,57.0,44.0,198.0,3.865,0.332,0.185,0.036,1.0,0.1,-1.0571271181106567,1.0008468627929688,-3.0789220333099365,-0.06313522160053253
0,12,lh,pFUS,252.0,195.0,479.0,2.621,0.446,0.133,0.017,2.0,0.2,3.0779104232788086,6.588602542877197,-4.068821430206299,0.18382325768470764
0,12,rh,mFUS,140.0,99.0,269.0,2.705,0.35,0.105,0.021,1.0,0.1,5.031944274902344,8.655119895935059,-2.922581911087036,0.28130820393562317
0,12,rh,pFUS,475.0,338.0,1200.0,2.774,0.536,0.146,0.037,7.0,0.8,-2.4017281532287598,5.286198139190674,-7.872427463531494,-0.13426733016967773
0,13,lh,mFUS,171.0,115.0,414.0,3.499,0.806,0.131,0.022,2.0,0.2,0.3440910577774048,5.379065036773682,-3.6076014041900635,0.02035555988550186
0,13,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,13,rh,mFUS,184.0,119.0,389.0,2.663,0.715,0.103,0.018,2.0,0.1,-2.82843017578125,1.34347665309906,-7.137617111206055,-0.16335420310497284
0,13,rh,pFUS,51.0,32.0,73.0,2.346,0.327,0.121,0.021,1.0,0.0,0.08622973412275314,3.6906495094299316,-3.93406343460083,0.004980143159627914
0,14,lh,mFUS,57.0,40.0,139.0,2.926,0.421,0.076,0.015,0.0,0.0,-0.23681466281414032,2.6298434734344482,-1.9527839422225952,-0.0145608801394701
0,14,lh,pFUS,59.0,39.0,89.0,2.649,0.433,0.089,0.019,0.0,0.0,4.428121089935303,7.133965015411377,2.552841901779175,0.27226921916007996
0,14,rh,mFUS,6.0,5.0,13.0,3.376,0.264,0.213,0.038,0.0,0.0,1.5423308610916138,2.014057159423828,1.1174396276474,0.08811679482460022
0,14,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,15,lh,mFUS,751.0,524.0,1248.0,2.512,0.4,0.115,0.017,6.0,0.6,3.608893632888794,7.991310119628906,-5.198342800140381,0.22386780381202698
0,15,lh,pFUS,92.0,61.0,207.0,3.07,0.421,0.133,0.051,1.0,0.1,-1.7826564311981201,1.6040323972702026,-3.821904182434082,-0.11058216542005539
0,15,rh,mFUS,64.0,53.0,191.0,2.958,0.648,0.211,0.052,2.0,0.1,-1.548264980316162,4.367126941680908,-4.2317609786987305,-0.09268833696842194
0,15,rh,pFUS,289.0,204.0,445.0,2.396,0.286,0.097,0.01,2.0,0.1,5.2603654861450195,8.200397491455078,-1.688496708869934,0.314916729927063
0,16,lh,mFUS,104.0,71.0,225.0,3.16,0.575,0.134,0.037,1.0,0.2,-0.9677504301071167,1.116892695426941,-3.914525270462036,-0.05852052941918373
0,16,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,16,rh,mFUS,174.0,130.0,312.0,2.078,0.469,0.126,0.038,3.0,0.3,0.05914517119526863,8.044527053833008,-4.17733097076416,0.0035282373428344727
0,16,rh,pFUS,577.0,384.0,983.0,2.083,0.601,0.131,0.026,7.0,0.5,1.8817881345748901,8.839029312133789,-3.779543876647949,0.11225602775812149
0,17,lh,mFUS,186.0,132.0,402.0,2.459,0.361,0.146,0.022,3.0,0.2,-1.6912981271743774,5.2945051193237305,-5.583873748779297,-0.10143651068210602
0,17,lh,pFUS,160.0,118.0,314.0,2.147,0.536,0.076,0.007,1.0,0.1,-3.544940233230591,-0.28756773471832275,-7.7903594970703125,-0.2126096934080124
0,17,rh,mFUS,204.0,145.0,569.0,2.965,0.613,0.166,0.033,4.0,0.3,-1.7849791049957275,3.665188789367676,-5.140130519866943,-0.10700423270463943
0,17,rh,pFUS,176.0,122.0,389.0,2.337,0.458,0.11,0.021,1.0,0.2,-5.36401891708374,-1.6138598918914795,-8.994515419006348,-0.32155710458755493
0,18,lh,mFUS,345.0,237.0,657.0,2.197,0.401,0.148,0.028,8.0,0.4,-2.423083782196045,4.038748741149902,-7.123401165008545,-0.14666171371936798
0,18,lh,pFUS,110.0,72.0,221.0,2.376,0.487,0.157,0.033,2.0,0.2,-5.10957145690918,0.724129855632782,-8.035722732543945,-0.30926644802093506
0,18,rh,mFUS,65.0,46.0,110.0,2.097,0.45,0.065,0.018,0.0,0.0,-1.5322885513305664,1.7855165004730225,-3.6917519569396973,-0.08908752351999283
0,18,rh,pFUS,589.0,419.0,995.0,2.189,0.533,0.137,0.028,10.0,0.8,-2.338489294052124,5.63205623626709,-8.891138076782227,-0.1359601765871048
0,19,lh,mFUS,332.0,240.0,778.0,2.595,0.443,0.114,0.017,3.0,0.2,-2.1868531703948975,4.072410583496094,-6.765642166137695,-0.13362811505794525
0,19,lh,pFUS,111.0,78.0,265.0,2.839,0.37,0.133,0.033,1.0,0.1,-3.266659736633301,1.1257473230361938,-7.116085529327393,-0.19960995018482208
0,19,rh,mFUS,309.0,207.0,515.0,2.258,0.463,0.161,0.035,6.0,0.4,-2.619652271270752,2.46449875831604,-7.78632926940918,-0.1533932387828827
0,19,rh,pFUS,341.0,229.0,689.0,2.38,0.499,0.151,0.03,6.0,0.5,-3.1448159217834473,2.575266122817993,-7.096151828765869,-0.18414412438869476
0,20,lh,mFUS,35.0,30.0,117.0,2.518,0.327,0.246,0.062,3.0,0.1,-4.377120494842529,-1.5381487607955933,-5.90303897857666,-0.24883657693862915
0,20,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,20,rh,mFUS,460.0,318.0,815.0,2.394,0.425,0.119,0.021,6.0,0.4,3.1683225631713867,7.984293460845947,-4.847702503204346,0.1838364154100418
0,20,rh,pFUS,36.0,29.0,99.0,2.591,0.384,0.082,0.013,0.0,0.0,-1.1443456411361694,0.4374493956565857,-2.1021244525909424,-0.06639866530895233
0,21,lh,mFUS,362.0,265.0,702.0,2.528,0.315,0.119,0.021,4.0,0.3,1.951003074645996,8.062301635742188,-5.517963886260986,0.11620036512613297
0,21,lh,pFUS,273.0,174.0,649.0,2.711,0.431,0.128,0.025,4.0,0.3,-2.1478400230407715,4.2991719245910645,-8.618484497070312,-0.1279238611459732
0,21,rh,mFUS,193.0,144.0,321.0,2.442,0.359,0.12,0.014,2.0,0.1,5.198223114013672,8.289057731628418,0.25082382559776306,0.29554444551467896
