,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_activation,max_face_activation,mean_pct_max_face_activation
0,18,lh,cortex,142167.0,94998.0,241753.0,2.32,0.583,0.121,0.024,1586.0,136.5,0.052271049469709396,4.917235374450684,0.010630168952047825
0,18,rh,cortex,142164.0,94947.0,246217.0,2.376,0.607,0.125,0.026,1659.0,147.1,0.11942175775766373,4.017718315124512,0.029723776504397392
0,19,lh,cortex,120190.0,81055.0,219153.0,2.462,0.622,0.122,0.024,1318.0,116.7,-0.12059048563241959,5.838844299316406,-0.020653147250413895
0,19,rh,cortex,123227.0,83507.0,222594.0,2.42,0.627,0.123,0.024,1398.0,120.5,0.008603655733168125,6.548648834228516,0.0013138068607077003
0,20,lh,cortex,144192.0,97069.0,245738.0,2.316,0.621,0.128,0.026,1773.0,156.2,-0.16927994787693024,5.463586807250977,-0.030983302742242813
0,20,rh,cortex,141847.0,95518.0,243804.0,2.326,0.619,0.128,0.027,1757.0,154.2,-0.08266088366508484,7.45754337310791,-0.011084198020398617
0,21,lh,cortex,122816.0,83043.0,231642.0,2.498,0.603,0.128,0.029,1625.0,142.0,0.025083690881729126,6.280797004699707,0.003993711434304714
0,21,rh,cortex,122169.0,82912.0,229136.0,2.471,0.594,0.131,0.029,1654.0,145.2,0.11065775156021118,6.149945259094238,0.017993289977312088
0,22,lh,cortex,134041.0,88646.0,231244.0,2.361,0.589,0.123,0.026,1608.0,137.4,-0.1280062049627304,6.305344581604004,-0.020301222801208496
0,22,rh,cortex,135730.0,89948.0,234424.0,2.352,0.597,0.124,0.026,1631.0,140.3,-0.07537765800952911,6.6645050048828125,-0.011310315690934658
0,23,lh,cortex,124519.0,82995.0,218284.0,2.374,0.598,0.129,0.028,1662.0,143.2,-0.3044988512992859,3.8516573905944824,-0.07905657589435577
0,23,rh,cortex,124899.0,83745.0,221709.0,2.395,0.596,0.13,0.028,1697.0,143.1,-0.2254822850227356,4.821524620056152,-0.0467657595872879
0,24,lh,cortex,125494.0,85140.0,232210.0,2.457,0.589,0.124,0.025,1449.0,129.3,-0.07661917060613632,3.9985175132751465,-0.019161896780133247
0,24,rh,cortex,127632.0,87121.0,234003.0,2.407,0.597,0.123,0.025,1463.0,126.9,0.02679320238530636,4.1493096351623535,0.006457268260419369
0,25,lh,cortex,111974.0,75509.0,193519.0,2.331,0.598,0.128,0.028,1362.0,128.0,0.007777323015034199,4.00664758682251,0.001941103721037507
0,25,rh,cortex,111277.0,74874.0,192129.0,2.328,0.583,0.125,0.027,1314.0,120.6,-0.06729884445667267,6.688360691070557,-0.010062084533274174
0,26,lh,cortex,130131.0,86291.0,226214.0,2.385,0.599,0.127,0.027,1622.0,140.7,0.04354887455701828,7.273126602172852,0.005987641867250204
0,26,rh,cortex,130297.0,86855.0,227945.0,2.389,0.6,0.129,0.027,1649.0,143.7,0.06238945201039314,7.786561489105225,0.008012451231479645
0,27,lh,cortex,163387.0,109246.0,297593.0,2.465,0.626,0.118,0.024,1712.0,156.3,-0.33718129992485046,10.036993026733398,-0.03359385207295418
0,27,rh,cortex,164234.0,108896.0,294425.0,2.44,0.606,0.117,0.024,1720.0,156.4,-0.23544606566429138,6.508055686950684,-0.036177631467580795
0,28,lh,cortex,128024.0,87416.0,239785.0,2.465,0.608,0.125,0.025,1562.0,131.3,-0.08945709466934204,4.464174747467041,-0.020038889721035957
0,28,rh,cortex,126864.0,87305.0,238615.0,2.47,0.612,0.126,0.026,1539.0,134.1,0.03298027440905571,5.36940336227417,0.006142260041087866
0,29,lh,cortex,112729.0,74969.0,201115.0,2.408,0.592,0.123,0.026,1403.0,116.7,0.0018167694797739387,5.105846405029297,0.0003558219177648425
0,29,rh,cortex,113385.0,75546.0,200865.0,2.386,0.586,0.125,0.026,1421.0,118.2,0.06383027881383896,7.848719596862793,0.008132572285830975
0,30,lh,cortex,112113.0,75966.0,219977.0,2.567,0.662,0.125,0.025,1311.0,113.9,0.04773913696408272,6.287039756774902,0.007593261078000069
0,30,rh,cortex,112240.0,76517.0,219060.0,2.544,0.643,0.125,0.025,1323.0,112.5,-0.06448737531900406,7.430131435394287,-0.008679170161485672
0,31,lh,cortex,147645.0,98936.0,268098.0,2.418,0.64,0.12,0.024,1601.0,142.0,-0.04232900217175484,4.891949653625488,-0.008652790449559689
0,31,rh,cortex,146381.0,97855.0,264160.0,2.399,0.651,0.121,0.024,1609.0,143.6,-0.06703833490610123,6.402451515197754,-0.010470729321241379
0,32,lh,cortex,124489.0,85090.0,229724.0,2.403,0.653,0.131,0.029,1704.0,147.9,-0.09434209018945694,9.009968757629395,-0.010470856912434101
0,32,rh,cortex,123827.0,85261.0,230527.0,2.383,0.629,0.131,0.029,1653.0,149.0,0.002117578173056245,5.649666786193848,0.00037481493200175464
0,33,lh,cortex,150393.0,99726.0,254730.0,2.3,0.609,0.127,0.027,1862.0,163.0,0.049913033843040466,3.8611578941345215,0.012926958501338959
0,33,rh,cortex,150303.0,99892.0,259942.0,2.359,0.608,0.126,0.027,1843.0,160.4,0.12368081510066986,4.498757839202881,0.027492215856909752
0,34,lh,cortex,125484.0,85023.0,225242.0,2.384,0.627,0.13,0.028,1568.0,140.5,-0.13480441272258759,4.961201190948486,-0.027171727269887924
0,34,rh,cortex,124867.0,84794.0,222795.0,2.368,0.638,0.132,0.03,1659.0,150.2,-0.05691976472735405,4.732578277587891,-0.012027221731841564
0,35,lh,cortex,109782.0,75012.0,210439.0,2.488,0.633,0.131,0.028,1489.0,123.4,0.09916961193084717,5.313961982727051,0.018662087619304657
