subject,lh_pFus-mFus,rh_pFus-mFus
100206,6.291758860016401,0.0
100307,4.298907391724094,4.571752568253478
100408,0.0,0.0
100610,4.405380092462005,6.223596307416552
101006,0.0,0.0
101107,3.2613376878731293,7.53755654172148
101309,4.110309795978506,8.574214915746282
101410,0.0,7.950781764062806
101915,0.0,4.046412191893452
102008,9.379710967631867,0.0
102311,0.0,9.134720989903027
102513,0.0,4.02389237228114
102816,0.0,0.0
103111,5.5555913428875865,0.0
103414,3.890158688064073,3.5463657233775323
103515,15.29506398554871,14.131171851046526
103818,14.743332175522795,
104416,0.0,0.0
104820,11.527722482733136,0.0
105014,5.123405179334752,0.0
105115,7.931747440111233,6.909222593816563
105216,15.166492540719759,19.59369718488519
105620,13.93848631238984,0.0
105923,6.677155357407982,9.067658079908552
106319,10.053855579408562,4.6302645337837465
106521,0.0,0.0
107018,0.0,9.12758819472147
107220,9.2411290442586,10.763184254558091
107321,0.0,0.0
107422,10.610379038765727,4.951899714543798
107725,7.9467617117794465,7.623791546731192
108121,8.783008708006173,0.0
