subject,lh_pFus,lh_mFus,rh_pFus,rh_mFus
100206,6.8640592396259335,5.249375224113464,6.696423421100694,4.859948580141191
100307,9.277418624271046,6.656393313407898,8.255631138638753,8.074608945077465
100408,6.011779321865602,4.906765557624198,8.109237746699996,5.872891787635652
100610,7.223589329143702,4.795665088452791,7.853721637474862,4.792518817699782
101006,6.3716267328413725,6.975498390641619,4.891239964772785,5.2610054461658
101107,4.184919918378194,2.6517872566526592,0.7037347820070055,2.8009662996276767
101309,6.3213080552717065,5.4370184629674885,5.565284133684345,5.519062180686128
101410,7.101846625254704,3.46689488885126,9.546985594882178,3.3948164893925643
101915,5.1604083488727435,4.433655829948126,5.209003055095673,6.127980270385742
102008,7.399519607245204,4.333805449728696,6.373274865199107,5.212028422445621
102311,5.525740358137315,4.4558785617474665,7.904553703233308,2.5452616427093746
102513,8.841801639075753,6.343547754973736,7.042822279902393,3.812738201834939
102816,4.7042463160667225,5.031809222698212,5.79560126138456,3.3497889137232866
103111,4.861833172499156,3.479125318906477,5.0274961451961575,4.44253034079284
103414,5.609072138281429,5.014402600357661,5.521044059233232,3.9806065589020196
103515,6.087231402213758,5.364682499567667,6.603605480988821,4.916881587770249
103818,6.591865084388039,5.647250367895419,,5.410029169172049
104416,7.094984575235224,4.742796545081278,7.823063269073581,5.406717525393355
104820,9.874722247322401,7.9161086329098405,8.293864772669853,8.13931761847602
105014,6.1698546095544256,5.848274100910532,7.664655982402332,5.984783147062575
105115,6.805894238974457,5.495938663004024,5.503357201814652,5.0392884733072965
105216,8.797737567321114,6.614112672351656,8.003708714369646,6.613095613112778
105620,8.41516428460946,7.4716559251149475,10.826058313250543,4.920413637979449
105923,6.920486330986023,4.627864605850643,7.634613377206466,6.667650487493066
106319,5.369406978599727,5.560644610325496,3.3161920295096934,5.9561668411716
106521,4.710290198202257,3.815489880807765,4.074449902354944,2.918648898601532
107018,6.263916408693468,5.542050610197351,6.987402477562427,7.341659239927927
107220,7.555260749510777,3.722198940316836,5.764511736375946,4.251597834130128
107321,6.612435073824599,7.489419414238497,7.551849546675342,4.366370808217943
107422,7.331140562279582,6.281248434654717,5.47074399413406,7.041994571685791
107725,4.045991841484518,2.4220701932907103,4.35547355616965,2.5260914419042435
108121,6.639112830162048,4.893546980619432,9.765696839000404,6.605435255802039
