,sub,species,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_pct_max_depth_mean,max_path_length,thickness_max_depth,sulcal_pct_max_thickness_mean,max_path_length_fusiform,label_mean_thickness_pct_max
0,100206,human,lh,CoS,1115.0,807.0,1669.0,2.399,0.532,0.113,0.017,6.0,1.0,0.6493362784385680,1.1618093252182000,0.34830325841903700,36.30428056090200,2.672605514526370,0.479886531829834,66.36853516904260,0.479886531829834
0,100206,human,lh,MFS,371.0,279.0,970.0,3.336,0.522,0.13,0.025,2.0,0.5,-0.01786305010318760,0.44819754362106300,-0.00958172045648098,25.829169654237200,2.8623504638671900,0.6672952771186830,66.36853516904260,0.6672952771186830
0,100206,human,lh,OTS,1496.0,1037.0,2410.0,2.799,0.516,0.117,0.022,10.0,1.4,0.46951592,1.167013,0.25184783,discontinuous,2.0939803,0.5598347,66.36853516904260,0.5598347
0,100206,human,rh,CoS,1109.0,796.0,1553.0,2.277,0.334,0.094,0.015,4.0,0.8,0.7038146257400510,1.3291462659835800,0.30983877182006800,45.444336684849400,1.9279100894928000,0.45532703399658200,115.1728506256170,0.45532703399658200
0,100206,human,rh,MFS,276.0,213.0,633.0,2.958,0.599,0.099,0.022,1.0,0.2,0.11813519150018700,0.38517722487449600,0.052006397396326100,27.673411984110500,3.154397487640380,0.5916836261749270,115.1728506256170,0.5916836261749270
0,100206,human,rh,OTS,1397.0,1001.0,2295.0,2.523,0.454,0.11,0.019,7.0,1.2,0.2696346938610080,0.7847720384597780,0.11870069801807400,45.38563131296420,2.444169044494630,0.5046576261520390,115.1728506256170,0.5046576261520390
0,100307,human,lh,CoS,1091.0,772.0,1779.0,2.606,0.39,0.099,0.017,4.0,0.8,0.7010260820388790,1.0952041149139400,0.3849240243434910,44.26322665631540,2.4107208251953100,0.5211566686630250,62.89067839705970,0.5211566686630250
0,100307,human,lh,MFS,498.0,368.0,1114.0,3.292,0.606,0.118,0.02,3.0,0.5,0.1431487649679180,0.3920721113681790,0.07860107719898220,24.753366985029900,2.41664981842041,0.6583772301673890,62.89067839705970,0.6583772301673890
0,100307,human,lh,OTS,1433.0,1004.0,2484.0,2.725,0.537,0.099,0.016,7.0,1.1,0.4873962998390200,1.1792610883712800,0.26762276887893700,54.78497266270330,2.7866039276123000,0.5450704097747800,62.89067839705970,0.5450704097747800
0,100307,human,rh,CoS,918.0,637.0,1469.0,2.581,0.437,0.092,0.012,4.0,0.5,0.5100038647651670,1.0861380100250200,0.2784007489681240,43.728082333244000,2.0270092487335200,0.5161494612693790,83.41775064574750,0.5161494612693790
0,100307,human,rh,MFS,51.0,44.0,161.0,2.988,0.237,0.131,0.021,0.0,0.1,-0.03528037667274480,0.0690341666340828,-0.01925884187221530,9.403744225898650,3.1552586555481000,0.5976495146751400,83.41775064574750,0.5976495146751400
0,100307,human,rh,OTS,1716.0,1189.0,2920.0,2.865,0.474,0.103,0.017,8.0,1.4,0.467096209526062,1.0436091423034700,0.25497838854789700,63.378546436665500,2.5613818168640100,0.5730707049369810,83.41775064574750,0.5730707049369810
0,100408,human,lh,CoS,1100.0,807.0,1809.0,2.534,0.395,0.098,0.016,5.0,0.8,0.5870031714439390,1.0910526514053300,0.30091097950935400,46.26289163805910,2.1237382888793900,0.5067200064659120,75.61961932763180,0.5067200064659120
0,100408,human,lh,MFS,154.0,127.0,504.0,3.612,0.646,0.123,0.027,1.0,0.2,0.0072144209407270000,0.22484345734119400,0.0036982730962336100,20.545454999851200,4.440075874328610,0.7223130464553830,75.61961932763180,0.7223130464553830
0,100408,human,lh,OTS,1777.0,1295.0,3290.0,2.728,0.537,0.109,0.017,9.0,1.4,0.3210947811603550,0.8993778228759770,0.16460037231445300,55.82203562876660,2.3574209213256800,0.5455151796340940,75.61961932763180,0.5455151796340940
0,100408,human,rh,CoS,1187.0,849.0,1785.0,2.41,0.363,0.092,0.013,5.0,0.7,0.6040014624595640,1.1175711154937700,0.31413590908050500,45.86372354544900,2.39467191696167,0.4819009304046630,89.03680482616520,0.4819009304046630
0,100408,human,rh,MFS,482.0,359.0,1118.0,3.039,0.672,0.122,0.024,3.0,0.5,-0.019345730543136600,0.2756843566894530,-0.010061546228826000,30.986309896561900,1.7510234117507900,0.6077788472175600,89.03680482616520,0.6077788472175600
0,100408,human,rh,OTS,1175.0,839.0,1958.0,2.647,0.392,0.106,0.021,5.0,1.1,0.49291160702705400,1.0474262237548800,0.2563590407371520,46.30805195557760,2.4287166595459000,0.5294532179832460,89.03680482616520,0.5294532179832460
0,100610,human,lh,CoS,1085.0,770.0,2016.0,2.793,0.612,0.097,0.013,5.0,0.6,0.5360206365585330,1.0969468355178800,0.3109530806541440,59.80658859580140,2.7535626888275100,0.5585598945617680,69.86262174209110,0.5585598945617680
0,100610,human,lh,MFS,310.0,232.0,679.0,3.05,0.3,0.117,0.015,2.0,0.3,0.02872839942574500,0.22127634286880500,0.0166657492518425,30.65051042954900,2.6893162727356000,0.6100503206253050,69.86262174209110,0.6100503206253050
0,100610,human,lh,OTS,2079.0,1462.0,3765.0,2.86,0.541,0.1,0.015,9.0,1.4,0.4570518136024480,1.3209518194198600,0.26514217257499700,66.87484674915480,2.2958316802978500,0.5720027089118960,69.86262174209110,0.5720027089118960
