subject,lh_pFus,lh_mFus,rh_pFus,rh_mFus
100206,1.3781440258026123,1.3503580093383791,1.3939146995544434,1.3024593591690063
100307,1.3039158582687378,1.327047348022461,1.368383765220642,1.3083577156066897
100408,1.371069312095642,1.2887064218521118,1.3946630954742432,1.365160346031189
100610,1.3450688123703003,1.3339613676071167,1.3975425958633425,1.3232463598251345
101006,1.3471524715423584,1.3455439805984497,1.407273530960083,1.400588870048523
101107,1.384046196937561,1.3744117021560671,1.3796675205230713,1.4068950414657593
101309,1.376661777496338,1.3546738624572754,1.3930970430374146,1.388784646987915
101410,1.3516865968704224,1.2682983875274658,1.384648084640503,1.3313982486724854
101915,1.297553539276123,1.3456518650054932,1.3708574771881104,1.3554385900497437
102008,1.369267821311951,1.3006647825241089,1.3943465948104858,1.38503897190094
102311,1.4233179092407229,1.3379491567611694,1.379085659980774,1.2561198472976685
102513,1.352971076965332,1.3432046175003052,1.368708610534668,1.3506296873092651
102816,1.3337205648422241,1.2798805236816406,1.3904680013656616,1.3188525438308716
103111,1.3316266536712646,1.322426438331604,1.3883006572723389,1.3904600143432615
103414,1.354881763458252,1.337871551513672,1.3896183967590332,1.360553503036499
103515,1.3471766710281372,1.3374345302581787,1.3510246276855469,1.313057541847229
103818,1.3744466304779053,1.359705924987793,,1.3981354236602783
104416,1.3849626779556274,1.2837256193161009,1.4040381908416748,1.365958571434021
104820,1.3797364234924316,1.3763622045516968,1.3806933164596558,1.2967827320098877
105014,1.3579590320587158,1.2947368621826172,1.343520164489746,1.3721274137496948
105115,1.3695319890975952,1.2572450637817385,1.423004150390625,1.3811824321746826
105216,1.34870707988739,1.3471943140029907,1.3926268815994265,1.3868626356124878
105620,1.386535406112671,1.321544885635376,1.3505125045776367,1.343877911567688
105923,1.4175537824630735,1.3245614767074585,1.443071365356445,1.3718149662017822
106319,1.3563445806503296,1.333965301513672,1.397372841835022,1.3694870471954346
106521,1.3837954998016355,1.329095482826233,1.4112025499343872,1.3723971843719482
107018,1.3909395933151243,1.3118301630020142,1.425289511680603,1.3138567209243774
107220,1.3262951374053955,1.3319095373153689,1.3902273178100586,1.3928409814834597
107321,1.345838189125061,1.3492783308029177,1.369956374168396,1.3733646869659424
107422,1.3792977333068848,1.2987513542175293,1.3632501363754272,1.3305299282073977
107725,1.397520899772644,1.3222606182098389,1.3745043277740479,1.3757970333099363
108121,1.3921830654144287,1.3555123805999756,1.3837858438491821,1.3203191757202148
