subject,lh_pFus,lh_mFus,rh_pFus,rh_mFus
100206,3.347232818603516,3.3538193702697754,2.922526359558105,2.767073154449463
100307,3.3203086853027344,3.38173246383667,3.117680549621582,3.0923237800598145
100408,2.514643907546997,2.9845287799835205,2.7216286659240723,2.710026979446411
100610,2.669173002243042,2.85514760017395,2.924349308013916,2.632591962814331
101006,2.91345763206482,3.1416964530944824,2.9570019245147705,3.253448724746704
101107,2.7385578155517583,2.721135139465332,3.187638998031616,3.190181970596313
101309,2.6089980602264404,3.1176936626434326,2.689727306365967,2.776841402053833
101410,2.781767606735229,2.9020113945007324,2.853729248046875,2.9557342529296875
101915,2.86350417137146,3.1291074752807617,3.0121264457702637,3.6406095027923584
102008,2.4213011264801025,3.3975372314453125,2.660388946533203,3.313512086868286
102311,3.2307720184326167,3.1114752292633057,3.1196796894073486,2.810298681259156
102513,2.771357536315918,3.22107195854187,3.0445375442504883,3.8051362037658687
102816,2.764647483825684,3.3797082901000977,2.7762959003448486,3.007008552551268
103111,2.505522012710572,2.8969688415527344,2.7603323459625244,3.0052692890167236
103414,2.6075458526611333,3.0688209533691406,2.6643829345703125,2.7946240901947017
103515,2.777275562286377,3.2599675655364986,2.9408862590789795,2.994678974151612
103818,2.9310243129730225,3.0075042247772217,,3.23919939994812
104416,2.9071781635284424,2.93524169921875,2.990695714950561,2.621941089630127
104820,2.3465769290924072,3.3979310989379883,2.9764273166656494,2.5791335105896
105014,2.661361694335937,3.0533394813537598,3.0252139568328857,3.0327696800231934
105115,2.48527455329895,3.1096644401550293,2.67429780960083,3.1587336063385014
105216,2.7168614864349365,2.921870708465576,2.8286657333374023,3.1957619190216064
105620,2.539851427078247,3.182300806045532,2.4149515628814697,2.9833500385284424
105923,2.538407564163208,2.934375762939453,2.5228900909423837,3.0786404609680176
106319,2.568958282470703,2.7723407745361333,2.8243649005889893,2.9593429565429688
106521,2.6966757774353027,2.8438239097595215,2.9605553150177,2.9068982601165767
107018,2.720003843307495,3.1316072940826416,3.1465377807617188,2.8026833534240723
107220,2.9785494804382324,3.0754604339599614,3.025253772735596,3.2589941024780287
107321,2.6508500576019287,3.1401212215423584,2.404242992401123,2.9437971115112305
107422,3.02000379562378,3.0141935348510738,3.281646966934204,2.7569403648376465
107725,2.6307361125946045,3.1501097679138184,2.9335262775421143,3.65446400642395
108121,3.0671942234039307,2.6751914024353027,2.865221738815308,3.5294103622436523
