,sub,species,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,sulcal_depth_mean,sulcal_depth_max,sulcal_pct_max_depth_mean,max_path_length,thickness_max_depth,sulcal_pct_max_thickness_mean,max_path_length_fusiform,label_mean_thickness_pct_max
0,h1_100206,human,lh,CoS,1115.0,807.0,1669.0,2.399,0.532,0.113,0.017,6.0,1.0,0.6493362784385681,1.1618093252182007,0.34830325841903687,36.30428056090204,2.672605514526367,0.479886531829834,66.36853516904256,0.479886531829834
0,h1_100206,human,lh,MFS,371.0,279.0,970.0,3.336,0.522,0.13,0.025,2.0,0.5,-0.01786305010318756,0.44819754362106323,-0.00958172045648098,25.829169654237194,2.8623504638671875,0.6672952771186829,66.36853516904256,0.6672952771186829
0,h1_100206,human,lh,OTS,1496.0,1037.0,2410.0,2.799,0.516,0.117,0.022,10.0,1.4,0.46951592,1.167013,0.25184783,discontinuous,2.0939803,0.5598347,66.36853516904256,0.5598347
0,h1_100206,human,rh,CoS,1109.0,796.0,1553.0,2.277,0.334,0.094,0.015,4.0,0.8,0.7038146257400513,1.3291462659835815,0.30983877182006836,45.444336684849446,1.9279100894927979,0.45532703399658203,115.1728506256172,0.45532703399658203
0,h1_100206,human,rh,MFS,276.0,213.0,633.0,2.958,0.599,0.099,0.022,1.0,0.2,0.11813519150018692,0.38517722487449646,0.052006397396326065,27.673411984110462,3.154397487640381,0.5916836261749268,115.1728506256172,0.5916836261749268
0,h1_100206,human,rh,OTS,1397.0,1001.0,2295.0,2.523,0.454,0.11,0.019,7.0,1.2,0.2696346938610077,0.7847720384597778,0.11870069801807404,45.38563131296418,2.444169044494629,0.5046576261520386,115.1728506256172,0.5046576261520386
0,h2_100307,human,lh,CoS,1091.0,772.0,1779.0,2.606,0.39,0.099,0.017,4.0,0.8,0.7010260820388794,1.0952041149139404,0.3849240243434906,44.26322665631538,2.4107208251953125,0.5211566686630249,62.89067839705967,0.5211566686630249
0,h2_100307,human,lh,MFS,498.0,368.0,1114.0,3.292,0.606,0.118,0.02,3.0,0.5,0.1431487649679184,0.3920721113681793,0.07860107719898224,24.753366985029906,2.41664981842041,0.6583772301673889,62.89067839705967,0.6583772301673889
0,h2_100307,human,lh,OTS,1433.0,1004.0,2484.0,2.725,0.537,0.099,0.016,7.0,1.1,0.4873962998390198,1.1792610883712769,0.26762276887893677,54.78497266270326,2.7866039276123047,0.5450704097747803,62.89067839705967,0.5450704097747803
0,h2_100307,human,rh,CoS,918.0,637.0,1469.0,2.581,0.437,0.092,0.012,4.0,0.5,0.5100038647651672,1.0861380100250244,0.2784007489681244,43.728082333243954,2.0270092487335205,0.5161494612693787,83.41775064574746,0.5161494612693787
