subject,lh_pFus,lh_mFus,rh_pFus,rh_mFus
100206,58.1226921081543,373.0074768066406,233.874267578125,385.27349853515625
100307,96.69261932373048,136.23738098144528,211.0341033935547,261.69973754882807
100408,436.0425109863281,140.91326904296875,418.8265075683594,360.6399841308594
100610,190.7112579345703,78.97986602783203,339.2641906738281,300.31573486328125
101006,211.2691650390625,338.7186279296875,217.6566467285156,277.0631103515625
101107,240.84405517578125,46.68890762329102,44.001197814941406,312.3397521972656
101309,215.9906311035156,460.29400634765625,242.44525146484366,594.7372436523438
101410,316.4588928222656,338.48870849609375,437.8818664550781,549.4603271484375
101915,164.23680114746094,305.300048828125,300.8189697265625,53.86119842529297
102008,369.1061706542969,211.29293823242188,195.92108154296875,216.380859375
102311,209.0450439453125,443.0568542480469,223.0703430175781,139.462890625
102513,485.156494140625,231.0056304931641,367.5348815917969,42.183292388916016
102816,417.1271057128906,102.20932006835938,270.81134033203125,462.9353942871094
103111,319.59722900390625,361.6104736328125,389.6318359375,349.2586669921875
103414,327.79071044921875,533.2493896484375,274.98309326171875,691.5975341796875
103515,265.38809204101557,68.21536254882811,383.1999816894531,129.29054260253906
103818,38.5355224609375,155.42398071289062,,135.27734375
104416,377.617919921875,417.19244384765625,387.0372619628906,190.1939392089844
104820,177.59567260742188,138.9805908203125,310.4310607910156,129.93746948242188
105014,482.70806884765625,127.43692016601562,324.75689697265625,455.537109375
105115,359.60009765625,284.6470947265625,163.46517944335938,466.166748046875
105216,200.69223022460938,300.46441650390625,488.2438354492188,835.732421875
105620,191.48106384277344,199.2943572998047,218.2213287353516,636.390380859375
105923,301.9505920410156,290.523681640625,311.1772766113281,312.3360290527344
106319,247.9322204589844,256.00698852539057,300.1346435546875,292.1383361816406
106521,311.7095947265625,497.3930358886719,203.11947631835938,182.3007049560547
107018,412.4497680664063,214.71478271484366,227.4877777099609,276.19107055664057
107220,414.7643432617188,360.6214294433594,236.75311279296875,303.9346008300781
107321,283.939208984375,230.9799346923828,453.4294738769531,372.3363037109375
107422,438.2600402832031,387.689208984375,411.5360412597656,83.34243774414062
107725,182.2876739501953,18.977783203125,188.9228515625,59.67741394042969
108121,206.6566467285156,45.99052047729492,199.4173889160156,85.0090560913086
