"","sub","hemi","pif","lft","fta","olfs","losa","losp","mosp","tolfs","tos","mosa","sf"
"135",197,"rh",3.111111111,3.211111111,3.412698413,2.158,2.129,2.165,2.604,3.343,2.502,3.462,3.172
"136",202,"rh",3.25,3.466666667,2.876984127,2.022,2.845,2.202,2.92,3.312,2.634,3.485,2.042
"137",203,"rh",2.722222222,3.261111111,1.69047619,2.643,3.262,2.489,2.882,3.27,2.242,2.498,3.262
"138",205,"rh",2.722222222,4.288888889,2.781746032,2.251,2.755,2.712,2.875,2.658,2.732,2.792,2.619
"139",206,"rh",4.416666667,3.116666667,2.027777778,2.332,2.989,2.476,3.166,3.15,2.726,2.803,2.633
"140",212,"rh",3.833333333,4.183333333,2.325396825,2.251,2.693,2.436,2.71,3.558,2.039,2.592,2.72
"141",215,"rh",4.25,1.322222222,2.682539683,2.186,2.495,1.992,3.24,3.105,2.611,2.764,2.747
"142",216,"rh",3.25,3.05,1.718253968,2.388,3.518,2.786,2.903,2.864,2.477,3.019,3.466
"143",217,"rh",3.388888889,2.822222222,2.567460317,2.363,2,3.171,3.201,3.055,2.57,2.956,3.079
"144",218,"rh",4.5,3.438888889,3.333333333,2.373,2.908,2.37,2.671,3.084,2.36,2.519,3.124
"145",223,"rh",1.916666667,1.866666667,2.043650794,2.693,3.217,2.567,3.156,3.002,2.317,3.134,2.801
"146",228,"rh",3.388888889,2.805555556,2.972222222,2.28,3.063,2.536,2.884,3.574,2.641,2.968,2.044
"147",230,"rh",2.833333333,2.605555556,2.619047619,2.336,2.892,2.688,3.227,2.839,2.401,3.125,3.224
"148",233,"rh",4.222222222,3.894444444,1.75,2.323,2.446,2.398,3.026,2.737,2.895,2.629,2.741
"149",234,"rh",2.777777778,2.144444444,2.349206349,2.303,2.894,2.317,3.093,2.944,2.441,3.446,2.821
"150",236,"rh",3.75,3.927777778,1.976190476,1.969,1.959,2.446,2.808,3.158,2.428,3.183,3.218
"151",237,"rh",2.361111111,1.483333333,2.73015873,2.475,2.879,2.319,2.905,3.106,2.689,3.072,3.098
"152",240,"rh",3.083333333,3.794444444,1.94047619,2.025,2.609,2.471,2.778,3.209,2.5,2.201,2.964
"153",244,"rh",4.055555556,4.5,4.198412698,1.856,2.266,2.494,2.968,2.107,2.541,2.753,3.204
"154",246,"rh",2.805555556,3.205555556,2.369047619,2.277,2.833,2.456,2.851,3.241,2.341,2.961,4.037
"155",248,"rh",2.805555556,2.511111111,1.226190476,2.143,2.596,2.256,2.649,2.922,2.622,2.21,2.476
"156",251,"rh",2.944444444,3.638888889,1.805555556,2.418,2.532,2.371,2.497,3.555,2.38,3.246,3.178
"157",252,"rh",2.638888889,3.105555556,1.825396825,2.014,2.244,2.582,3.079,2.736,2.533,2.536,2.612
"158",253,"rh",3.888888889,3.161111111,1.28968254,2.116,2.599,2.829,2.703,2.838,2.306,2.576,3.012
"159",257,"rh",3.805555556,4.044444444,2.293650794,2.28,2.539,3.042,2.771,3.059,2.468,3.043,3.789
"160",258,"rh",5,4.088888889,4.027777778,2.413,3.02,2.836,3.027,2.992,2.567,3.314,3.078
"161",259,"rh",5,4.388888889,4.523809524,2.163,2.208,2.635,2.919,3.155,2.316,3.117,3.033
"162",263,"rh",3.555555556,2.077777778,3.424603175,2.279,2.596,2.179,2.559,3.241,2.259,2.984,3.367
"163",266,"rh",4.583333333,3.688888889,3.619047619,2.114,2.351,2.529,3.677,3.544,2.41,3.405,2.747
"164",268,"rh",2.722222222,3.711111111,3.674603175,2.386,3.63,2.902,3.071,3.246,2.612,3.093,2.62
"165",269,"rh",2.527777778,2.005555556,2.488095238,2.473,2.243,2.413,2.74,2.642,2.528,3.003,2.875
"166",270,"rh",4.166666667,3.383333333,3.583333333,2.024,2.843,2.057,2.795,2.988,2.533,2.413,2.791
"167",272,"rh",2.472222222,3.388888889,3.158730159,1.886,2.211,2.528,2.76,2.91,2.496,2.663,2.401
"168",273,"rh",3.333333333,3.283333333,2.972222222,2.364,2.159,2.802,2.798,3.098,2.674,3.155,3.567
"169",274,"rh",4.277777778,2.894444444,2.972222222,2.399,2.461,3.47,3.151,3.021,3.088,2.864,2.386
"170",275,"rh",4.75,2.561111111,4.134920635,2.353,3.395,2.693,3.026,3.457,2.658,2.909,2.904
"171",277,"rh",4.555555556,4.394444444,2.162698413,2.411,2.201,2.369,3.068,3.047,2.593,2.478,3.069
"172",278,"rh",3.555555556,3.111111111,3.722222222,2.161,2.453,2.712,2.917,3.089,2.542,2.908,2.921
"173",280,"rh",3.666666667,3.088888889,4,2.154,1.928,2.548,2.67,2.762,2.444,2.45,2.967
"174",281,"rh",3.055555556,3.766666667,2.325396825,2.333,2.645,2.887,3.328,3.169,2.715,3.285,2.939
"175",282,"rh",4,3.422222222,2.095238095,2.314,2.33,2.911,2.944,3.406,2.319,2.72,3.166
"176",285,"rh",4.638888889,4.033333333,2.78968254,2.375,2.527,2.554,3.493,2.518,2.483,3.217,3.064
"177",288,"rh",4.611111111,4.111111111,3.071428571,2.447,2.522,2.771,2.702,3.791,2.515,2.538,3.302
"178",290,"rh",4.833333333,4.133333333,3.591269841,2.251,3.91,2.671,2.8,2.714,2.542,3.047,2.898
"179",291,"rh",4,3.616666667,2.904761905,2.044,2.158,2.663,2.522,2.685,2.313,2.989,2.737
"180",292,"rh",4.638888889,3.555555556,2.531746032,2.251,3.381,2.89,3.42,3.944,2.68,3.103,2.824
"181",293,"rh",2.416666667,2,1.746031746,2.062,2.875,2.765,2.665,2.518,2.434,3.165,2.966
"182",294,"rh",3.361111111,3.177777778,1.948412698,2.049,2.511,2.621,2.501,3.042,2.458,2.889,2.94
"183",295,"rh",4.527777778,3.361111111,3.511904762,2.384,3.028,2.334,2.981,3.024,2.458,2.933,2.595
"184",296,"rh",3.777777778,1.761111111,1.900793651,2.479,2.933,2.399,2.782,4.253,2.364,3.167,2.782
"185",297,"rh",4.166666667,3.616666667,2.619047619,2.319,2.708,2.375,2.66,3.34,3.102,2.919,2.796
"186",299,"rh",3.75,3.472222222,2.833333333,2.047,2.512,2.123,2.583,3.338,2.246,2.808,2.987
"187",301,"rh",4.027777778,3.461111111,3.575396825,2.459,2.723,2.067,2.749,3.156,2.839,3.086,3.346
"188",303,"rh",3.833333333,2.833333333,3.686507937,2.282,2.024,2.35,3.175,2.696,2.507,2.859,2.459
"189",308,"rh",4.666666667,1,3.476190476,2.389,3.265,2.535,2.406,3.673,2.322,3.321,3.53
"190",310,"rh",3.472222222,2.916666667,3.53968254,2.114,2.73,2.491,2.59,2.957,2.186,2.776,2.949
"191",311,"rh",3.444444444,3.838888889,4.099206349,2.287,2.181,2.627,3.214,2.341,2.386,2.583,2.675
"192",312,"rh",4.055555556,4.172222222,3.146825397,2.061,2.19,2.307,2.704,2.83,2.308,2.788,2.732
"193",314,"rh",3.611111111,3.277777778,2.912698413,2.435,2.636,2.283,3.179,4.039,2.645,3.184,3.1
"194",318,"rh",4.583333333,4.238888889,3.976190476,2.173,2.308,2.27,2.526,3.219,2.097,2.328,2.721
"195",320,"rh",4,2.85,2.51984127,2.175,2.844,2.502,3.116,2.807,2.309,2.487,3.142
"196",323,"rh",3.833333333,2.533333333,2.26984127,2.395,2.071,2.443,2.928,3.392,2.389,2.45,3.329
"197",325,"rh",3.361111111,3.15,3.234126984,2.057,2.124,2.861,2.601,2.937,2.418,2.929,3.024
"198",332,"rh",3.166666667,1.983333333,2.535714286,3.101,2.646,2.876,3.079,3.024,2.508,2.765,3.257
"199",333,"rh",4.388888889,2.783333333,3.154761905,2.314,2.607,2.733,3.025,2.96,2.564,2.896,3.055
"200",336,"rh",3.444444444,3.466666667,3.686507937,2.263,2.294,2.389,3.262,3.12,2.389,3.297,2.764
"201",342,"rh",4.305555556,3.011111111,3.444444444,2.223,2.927,2.781,2.891,2.691,2.54,3.45,2.07
"202",345,"rh",4.194444444,1.961111111,2.948412698,1.96,2.623,2.551,2.903,2.834,2.497,2.035,2.669
"203",346,"rh",3.833333333,3.916666667,2.55952381,2.432,2.409,2.412,3.03,2.816,2.434,2.553,3.39
