"","sub","hemi","pif","lft","fta","colfs","mosp","mosa","tos","losa","losp","sf"
"1",103,"lh",4.888888889,3.288888889,2.738095238,0.0208197664469481,0.0434373505413532,0.0277045909315348,0.277640283107758,0.0926835164427757,-0.0409516096115112,-0.0434626042842865
"2",111,"lh",3.611111111,2.216666667,2.186507937,-0.016785791143775,0.0527561195194721,0.0392083562910557,0.248950719833374,-0.0369322337210178,-0.0454513020813465,-0.0336708910763264
"3",115,"lh",2.888888889,2.722222222,2.900793651,-0.0531651861965656,0.181576624512672,0.0984407439827919,0.386162787675858,-0.14557771384716,0.062938503921032,-0.132194355130196
"4",123,"lh",2.722222222,2.327777778,2.591269841,-0.0569081455469131,0.119040712714195,0.145612224936485,0.306876718997955,0.191174000501633,-0.0509508885443211,-0.00428663194179535
"5",124,"lh",3.611111111,3.055555556,3.76984127,-0.0911098495125771,0.193081319332123,0.0908596143126488,0.308629006147385,0.118433833122253,-0.0333784632384777,-0.0556262843310833
"6",127,"lh",3.388888889,4.4,3.134920635,0.0127064306288958,0.0853074714541435,0.251412749290466,0.319224387407303,-0.0488095097243786,0.0429022163152695,0.0074436436407268
"7",129,"lh",3.777777778,4.188888889,3.126984127,0.0979492887854576,0.0465500131249428,0.24096454679966,0.389135956764221,0.112500816583633,0.0362810641527176,-0.0435334220528603
"8",130,"lh",3.277777778,3.094444444,3.78968254,-0.0444909781217575,0.0763252824544907,0.197270214557648,0.332190901041031,0.008793780580163,-0.053289383649826,-0.11165314167738
"9",134,"lh",4.111111111,3.155555556,2.222222222,0.00736253941431642,0.204923033714294,-0.103692561388016,0.429504930973053,-0.0265729166567326,-0.117397285997868,-0.0548486672341824
"10",142,"lh",3.472222222,1.688888889,2.928571429,-0.0304524023085833,0.0397809073328972,0.182395577430725,0.275514394044876,0.0393667370080948,0.0502862818539143,-0.0503994002938271
"11",143,"lh",4.416666667,3.883333333,3.257936508,-0.0381606332957745,0.107075698673725,-0.00517853023484349,0.479336768388748,-0.170289039611816,-0.0081656202673912,-0.156216904520988
"12",147,"lh",4.138888889,2.722222222,3.361111111,-0.0133262146264315,0.0352283380925655,0.20786640048027,0.42121621966362,0.0303431190550327,0.0725442096590996,-0.120550915598869
"13",148,"lh",4,1.877777778,1.71031746,0.0106327477842569,-0.051932904869318,0.186817735433578,0.329675257205963,-0.19064961373806,0.0991544127464294,-0.0660481378436089
"14",149,"lh",3.305555556,2.377777778,3.285714286,0.0237286519259214,0.174312472343445,0.078393928706646,0.33957314491272,0.00765572814270854,-0.0179606955498457,0.0199225824326277
"15",153,"lh",4.166666667,3.244444444,3.146825397,-0.000282027496723458,0.110967889428139,0.107016861438751,0.322561591863632,-0.0306579153984785,-0.00180179125163704,-0.0263256542384624
"16",160,"lh",4.388888889,4.233333333,1.587301587,-0.00359930633567274,0.0979977026581764,0.0800398886203766,0.366412848234177,0.0750715062022209,-0.00528350844979286,-0.0219911299645901
"17",171,"lh",3.833333333,3.172222222,2.365079365,-0.0198535174131393,0.0196763928979635,0.071542352437973,0.348993450403214,0.106164701282978,0.0322494506835938,-0.0742848291993141
"18",176,"lh",2,1.616666667,2.76984127,-0.0210452321916819,-0.0261861514300108,0.227284997701645,0.315503984689713,0.0559483505785465,0.0631820186972618,0.0186290200799704
"19",178,"lh",2.527777778,4.35,2.523809524,-0.0622353330254555,0.053663432598114,0.247791230678558,0.279061675071716,0.167164385318756,0.1126329600811,-0.0668731182813644
"20",179,"lh",4.305555556,3.083333333,1.678571429,0.0372015051543713,0.193599700927734,0.0957402065396309,0.202275410294533,-0.261369973421097,-0.211042210459709,0.00763113796710968
"21",181,"lh",2.888888889,3.777777778,3.28968254,-0.0240336675196886,0.133381247520447,0.115966327488422,0.310312867164612,-0.0854363292455673,-0.0142503576353192,0.00259490311145782
"22",184,"lh",2.694444444,2.133333333,2.611111111,-0.069509282708168,0.0384890027344227,0.0417254157364368,0.220170721411705,0.15616936981678,-0.10845559835434,-0.184110775589943
"23",185,"lh",4.333333333,2.288888889,2.456349206,0.00483942963182926,0.101824745535851,0.0338180996477604,0.337092131376266,0.0466842651367188,0.0298622082918882,-0.042677354067564
"24",187,"lh",4.277777778,3.283333333,3.301587302,0.0127811431884766,0.0459765419363976,0.127126276493073,0.323026061058044,0.0730060562491417,0.159549877047539,-0.0751912146806717
"25",189,"lh",2.055555556,2.288888889,1.765873016,-0.0698450803756714,0.081388421356678,0.0624853856861591,0.433821082115173,0.0382977947592735,0.102461189031601,0.0226652007550001
"26",190,"lh",4.472222222,3.422222222,2.888888889,0.00943608209490776,0.128937691450119,0.0208934731781483,0.318374872207642,-0.184659227728844,0.133124902844429,-0.115816451609135
"27",191,"lh",3.333333333,3.477777778,2.916666667,0.0180930681526661,0.182208210229874,0.184629276394844,0.314901620149612,-0.0262177214026451,0.0589932650327682,-0.0412838868796825
"28",193,"lh",5,3.455555556,3.698412698,-0.0206725709140301,0.0883725583553314,0.124364480376244,0.42379966378212,-0.00248250458389521,0.0554101578891277,-0.0353662185370922
"29",194,"lh",4.416666667,1.972222222,3.083333333,0.0182471331208944,0.052801825106144,0.160259857773781,0.240770488977432,0.196270510554314,-0.000664636259898543,-0.0132447294890881
"30",195,"lh",4,2.083333333,2.869047619,-0.0717552527785301,0.16556815803051,0.041966900229454,0.288025796413422,0.18063773214817,0.0811434835195541,-0.0705795139074326
"31",196,"lh",3.527777778,3.227777778,2.630952381,0.0887635722756386,0.178335458040237,0.193410336971283,0.457761853933334,-0.151283100247383,0.0282805562019348,-0.0293279513716698
"32",197,"lh",3.111111111,3.211111111,3.412698413,-0.0634564161300659,0.164665281772614,0.0904671773314476,0.326412200927734,-0.0574970319867134,-0.0924557819962502,-0.0485781393945217
"33",202,"lh",3.25,3.466666667,2.876984127,-0.068655788898468,0.136182129383087,0.128099635243416,0.343286246061325,0.0537404343485832,0.0873025059700012,-0.12430964410305
"34",203,"lh",2.722222222,3.261111111,1.69047619,0.0263357944786549,-0.0727529749274254,0.170491442084312,0.244601622223854,0.192988023161888,0.0375217720866203,-0.0918346866965294
"35",205,"lh",2.722222222,4.288888889,2.781746032,0.0262220911681652,0.0912955403327942,0.0794990062713623,0.201828643679619,-0.179363071918488,-0.049946378916502,0.0104112643748522
"36",206,"lh",4.416666667,3.116666667,2.027777778,0.0285421460866928,0.0725244432687759,0.190142408013344,0.297175258398056,0.0568854175508022,-0.139559894800186,-0.0244215168058872
"37",212,"lh",3.833333333,4.183333333,2.325396825,0.00719238398596644,0.0625545158982277,0.10167533904314,0.32974174618721,0.295871675014496,0.0409023091197014,0.0606619268655777
"38",215,"lh",4.25,1.322222222,2.682539683,-0.00374336028471589,0.0095552122220397,0.168184384703636,0.298896849155426,0.123598001897335,-0.018859039992094,-0.0583021938800812
"39",216,"lh",3.25,3.05,1.718253968,0.0408823154866695,-0.14024418592453,-0.0655225291848183,0.363066703081131,0.0427151694893837,0.0787940099835396,0.0789147540926933
"40",217,"lh",3.388888889,2.822222222,2.567460317,-0.114454299211502,-0.0662763193249702,-0.0515426397323608,0.288345843553543,0.0766164660453796,0.0268675312399864,-0.0271747708320618
"41",218,"lh",4.5,3.438888889,3.333333333,0.00106846180278808,0.0596149079501629,0.125128284096718,0.413189619779587,-0.0172415468841791,0.0114001715555787,-0.0173779223114252
"42",223,"lh",1.916666667,1.866666667,2.043650794,-0.090641587972641,0.0670537948608398,0.0439372435212135,0.374658703804016,-0.254497498273849,-0.103434875607491,0.008115547709167
"43",227,"lh",3.833333333,2.611111111,3.670634921,0.0292156469076872,0.01174730155617,0.134140104055405,0.206225514411926,0.091814249753952,-0.00685933278873563,-0.0481149666011333
"44",228,"lh",3.388888889,2.805555556,2.972222222,-0.0295661743730307,0.163563176989555,0.0305195581167936,0.347710937261581,0.0546019524335861,-0.0672501623630524,-0.19670857489109
"45",230,"lh",2.833333333,2.605555556,2.619047619,-0.0325214341282845,0.091500386595726,0.104518488049507,0.27986803650856,-0.126155897974968,-0.0459110774099827,0.00977005250751972
"46",232,"lh",4.416666667,3.488888889,1.587301587,0.0358176939189434,0.138519942760468,0.00533157913014293,0.362284421920776,-0.031455222517252,-0.0351889170706272,-0.0363860875368118
"47",233,"lh",4.222222222,3.894444444,1.75,0.000315859622787684,0.081990472972393,-0.00331547297537327,0.301857739686966,-0.0343319922685623,0.0454958528280258,0.0606489665806293
"48",234,"lh",2.777777778,2.144444444,2.349206349,-0.023534344509244,0.128350034356117,0.19981524348259,0.465128391981125,-0.10675673186779,0.138312071561813,-0.040023785084486
"49",236,"lh",3.75,3.927777778,1.976190476,0.0268123280256987,0.111933194100857,0.319108843803406,0.185498595237732,0.0572988428175449,-0.162673160433769,0.092255525290966
"50",237,"lh",2.361111111,1.483333333,2.73015873,0.0572626739740372,0.0541289895772934,0.0911161676049232,0.318055480718613,-0.139585927128792,0.0846647992730141,-0.0430688671767712
"51",240,"lh",3.083333333,3.794444444,1.94047619,0.0304726082831621,-0.00734637444838881,0.0588869675993919,0.336466938257217,0.0338791608810425,0.112024441361427,0.02629454433918
"52",244,"lh",4.055555556,4.5,4.198412698,0.0329169295728207,0.0147020434960723,0.223103821277618,0.285342574119568,0.0660854429006577,-0.0646409094333649,-0.116014190018177
"53",246,"lh",2.805555556,3.205555556,2.369047619,0.048441156744957,0.0934253558516502,0.187743544578552,0.228614136576653,0.0260596629232168,-0.120442301034927,0.00832919497042894
"54",248,"lh",2.805555556,2.511111111,1.226190476,0.066069632768631,0.0393643788993359,-0.0590894035995007,0.401146739721298,0.226799562573433,0.0271660257130861,-0.00478810956701636
"55",249,"lh",4.833333333,2.666666667,2.428571429,0.0317824706435204,-0.0189944710582495,0.239833354949951,0.466462582349777,0.0165743287652731,0.128389731049538,-0.173552915453911
"56",251,"lh",2.944444444,3.638888889,1.805555556,0.00196191645227373,0.0553192533552647,-0.00846661999821663,0.22663876414299,0.151828542351723,0.0696217194199562,-0.0969975739717484
"57",252,"lh",2.638888889,3.105555556,1.825396825,0.0198249481618404,0.125943675637245,0.0446331389248371,0.377496033906937,-0.0214155968278646,0.109108962118626,-0.131147593259811
"58",253,"lh",3.888888889,3.161111111,1.28968254,0.0427558906376362,0.0533552840352058,0.153931319713593,0.327572762966156,0.1135164052248,-0.0100195948034525,-0.0845158249139786
"59",254,"lh",2.888888889,3.216666667,2.638888889,-0.0851655378937721,-0.0555776134133339,-0.0545689985156059,0.0123840039595962,0.0873657017946243,0.00398861477151513,0.0140561806038022
"60",255,"lh",2.75,1.483333333,1.48015873,0.0228283442556858,0.0690454989671707,0.0542943701148033,0.381144464015961,-0.0722282081842422,-0.0314071550965309,-0.00468991557136178
"61",256,"lh",3.777777778,3.316666667,2.206349206,-0.0282367523759604,0.136144861578941,-0.0179373808205128,0.315818279981613,-0.126798957586288,0.0641716122627258,0.0578450784087181
"62",257,"lh",3.805555556,4.044444444,2.293650794,0.00701695634052157,-0.0183764342218637,0.265675067901611,0.488846570253372,0.160003677010536,-0.0703379288315773,-0.029269240796566
"63",258,"lh",5,4.088888889,4.027777778,-0.0166512466967106,0.156140983104706,0.257910192012787,0.371415376663208,-0.0250023398548365,0.0200895387679338,-0.0127881709486246
"64",259,"lh",5,4.388888889,4.523809524,-0.00520310550928116,-0.00670168176293373,0.135201916098595,0.32915061712265,-0.059760794043541,-0.0240030791610479,-0.0352661684155464
"65",263,"lh",3.555555556,2.077777778,3.424603175,-0.0397744365036488,0.147287994623184,0.120024129748344,0.39707213640213,-0.102366112172604,0.00477665709331632,0.0163064263761044
"66",265,"lh",2.416666667,2.144444444,1.575396825,0.00637359684333205,-0.0647144764661789,0.123604670166969,0.345995306968689,0.0760419368743896,0.12942610681057,0.0581261105835438
"67",266,"lh",4.583333333,3.688888889,3.619047619,-0.0546040497720242,0.0960432812571526,0.309948176145554,0.323653250932693,0.0316694490611553,-0.113022200763226,-0.0907334312796593
"68",268,"lh",2.722222222,3.711111111,3.674603175,0.00251404661685228,0.177329495549202,0.144206568598747,0.388477236032486,-0.119599774479866,0.0389709658920765,0.0657773092389107
"69",269,"lh",2.527777778,2.005555556,2.488095238,-0.0278078522533178,0.212655037641525,0.309606105089188,0.438009738922119,-0.0292483400553465,0.0866316482424736,-0.0501015298068523
"70",270,"lh",4.166666667,3.383333333,3.583333333,0.0139475427567959,0.128756940364838,0.144094049930573,0.422101438045502,0.16186948120594,0.00326975551433861,-0.112162418663502
"71",272,"lh",2.472222222,3.388888889,3.158730159,-0.00281667895615101,0.0958280861377716,0.134295120835304,0.330059379339218,0.281639844179153,0.0541322603821754,-0.0177744720131159
"72",273,"lh",3.333333333,3.283333333,2.972222222,0.0256395861506462,0.125447452068329,0.213591501116753,0.326805055141449,0.14088436961174,-0.00047820049803704,-0.103446334600449
"73",274,"lh",4.277777778,2.894444444,2.972222222,-0.00916007626801729,-0.0634732395410538,0.210248216986656,0.355315685272217,0.219673484563828,-0.109154060482979,-0.0345399640500546
"74",275,"lh",4.75,2.561111111,4.134920635,0.0205097068101168,0.0777647122740746,0.133265122771263,0.398436635732651,-0.0941026657819748,0.00380108621902764,-0.0818963721394539
"75",277,"lh",4.555555556,4.394444444,2.162698413,0.0935766845941544,0.0269567649811506,0.271447479724884,0.349714457988739,0.149680241942406,-0.0242774710059166,0.0372444577515125
"76",278,"lh",3.555555556,3.111111111,3.722222222,-0.00634630164131522,0.183279067277908,0.10569404065609,0.222347989678383,-0.220816433429718,0.0158220827579498,-0.0519934482872486
"77",280,"lh",3.666666667,3.088888889,4,-0.0325225293636322,0.12078395485878,0.107629299163818,0.464299917221069,-0.0809086859226227,-0.0098114525899291,0.0731200501322746
"78",282,"lh",4,3.422222222,2.095238095,-0.0288041979074478,0.0717679411172867,0.171120330691338,0.461623966693878,0.0996002703905106,0.152172014117241,-0.0836222693324089
"79",285,"lh",4.638888889,4.033333333,2.78968254,-0.0128630343824625,0.0592890232801437,0.105078168213367,0.320012271404266,-0.0598202422261238,-0.0538435056805611,0.0333508551120758
"80",286,"lh",3.388888889,2.861111111,2.285714286,0.0127582596614957,0.0560316890478134,0.205536276102066,0.384796142578125,-0.14176532626152,0.066641665995121,0.0319707989692688
"81",287,"lh",4.916666667,3.366666667,3.257936508,-0.078913040459156,0.0287137553095818,0.199611365795135,0.300167679786682,0.0184821616858244,-0.028578445315361,-0.0703488066792488
"82",288,"lh",4.611111111,4.111111111,3.071428571,-0.0119176972657442,0.0442531518638134,0.131675913929939,0.273455053567886,0.0731218159198761,-0.043827086687088,0.0106208454817533
"83",290,"lh",4.833333333,4.133333333,3.591269841,-0.0432031229138374,0.113497324287891,0.035980012267828,0.36994081735611,0.0761257857084274,0.149679750204086,-0.10271580517292
"84",291,"lh",4,3.616666667,2.904761905,-0.0247373394668102,-0.0574341379106045,0.289312541484833,0.308148413896561,0.187539368867874,-0.043337345123291,-0.0400784611701965
"85",292,"lh",4.638888889,3.555555556,2.531746032,0.0238792691379786,0.102924540638924,0.172802835702896,0.395136952400208,0.173110380768776,0.0176672749221325,-0.0727428644895554
"86",293,"lh",2.416666667,2,1.746031746,0.012702957727015,0.0861460193991661,0.221576899290085,0.311389535665512,0.0520723275840282,0.00387675175443292,-0.0186755526810884
"87",294,"lh",3.361111111,3.177777778,1.948412698,-0.0739489570260048,0.119069471955299,0.319934874773026,0.253458976745605,0.322628617286682,-0.0083162859082222,-0.0828965827822685
"88",295,"lh",4.527777778,3.361111111,3.511904762,-0.0869183614850044,0.092731311917305,0.231098771095276,0.377312898635864,0.144534021615982,0.0276272539049387,-0.0964195132255554
"89",297,"lh",4.166666667,3.616666667,2.619047619,-0.0169556085020304,0.0953277349472046,0.198779612779617,0.314335942268372,0.121272370219231,0.00637206109240651,0.0741799026727676
"90",299,"lh",3.75,3.472222222,2.833333333,-0.0231564771384001,0.201190531253815,0.0250295083969831,0.378039538860321,0.0450158081948757,0.0102957105264068,-0.0523966625332832
"91",303,"lh",3.833333333,2.833333333,3.686507937,0.0436503291130066,-0.00601451750844717,0.106314368546009,0.176895648241043,0.144886627793312,0.040385901927948,-0.13542851805687
"92",304,"lh",4.305555556,3.716666667,2.630952381,-0.0862375274300575,0.141057148575783,0.115702375769615,0.22414593398571,0.0447669140994549,-0.0208402015268803,0.0158800724893808
"93",308,"lh",4.666666667,1,3.476190476,-0.0331628583371639,0.066935658454895,0.0470492541790009,0.322221636772156,0.0491539649665356,0.000449081737315282,-0.0459505878388882
"94",310,"lh",3.472222222,2.916666667,3.53968254,8.94396944204345e-05,0.0591825246810913,0.175393104553223,0.379856705665588,0.14610730111599,0.062024362385273,-0.059417862445116
"95",311,"lh",3.444444444,3.838888889,4.099206349,0.00512432958930731,0.087503120303154,0.0905458331108093,0.353933155536652,-0.00869933608919382,-0.0777347683906555,-0.0781561583280563
"96",314,"lh",3.611111111,3.277777778,2.912698413,0.0146172838285565,0.109346590936184,0.124235793948174,0.356117278337479,0.0419797375798225,-0.0184405762702227,-0.0496814921498299
"97",317,"lh",4.555555556,3.55,3.115079365,-0.0192214343696833,0.157350704073906,0.232903599739075,0.364832252264023,-0.0916893482208252,0.0769013315439224,-0.0221097115427256
"98",318,"lh",4.583333333,4.238888889,3.976190476,0.00230974843725562,0.0101776365190744,0.196157187223434,0.430308252573013,-0.172121465206146,-0.0119011774659157,-0.0840215161442757
"99",319,"lh",4.361111111,3.861111111,3.468253968,0.0299128331243992,0.129675894975662,0.116773352026939,0.451023280620575,0.0786165073513985,0.137389466166496,-0.0204371828585863
"100",320,"lh",4,2.85,2.51984127,-0.0095841595903039,0.160903766751289,0.157830134034157,0.319526463747025,-0.106533408164978,0.0120994448661804,-0.0393509976565838
"101",321,"lh",2.111111111,2.494444444,1.746031746,-0.0288713797926903,0.033145435154438,0.141419306397438,0.356111854314804,0.179774388670921,0.00232401117682457,-0.0226212237030268
"102",323,"lh",3.833333333,2.533333333,2.26984127,0.0271853264421225,0.093289352953434,0.162976652383804,0.411514759063721,-0.138030335307121,0.0660928636789322,-0.0691384896636009
"103",325,"lh",3.361111111,3.15,3.234126984,-0.0825734436511993,0.19737808406353,-0.0758633092045784,0.298693031072617,-0.103999398648739,0.156545385718346,-0.119050450623035
"104",332,"lh",3.166666667,1.983333333,2.535714286,0.0250957887619734,0.0165651477873325,0.162123039364815,0.212601572275162,0.0492018349468708,-0.0359802730381489,-0.0884605348110199
"105",333,"lh",4.388888889,2.783333333,3.154761905,0.0464473143219948,0.16297335922718,0.192922502756119,0.35153940320015,-0.0855745449662209,0.142729729413986,-0.0491106323897839
"106",336,"lh",3.444444444,3.466666667,3.686507937,-0.0303221773356199,0.0756303146481514,0.151056423783302,0.301905125379562,0.17191943526268,-0.0402959138154984,-0.0464604161679745
"107",342,"lh",4.305555556,3.011111111,3.444444444,0.0137426489964128,0.00372231402434409,0.0832379460334778,0.424314975738525,0.13553623855114,0.120166681706905,-0.0306512042880058
"108",345,"lh",4.194444444,1.961111111,2.948412698,0.00322575215250254,0.1064687743783,0.267771273851395,0.387927442789078,-0.195051997900009,-0.0328442677855492,0.0180663280189037
"109",346,"lh",3.833333333,3.916666667,2.55952381,-0.0611483827233315,0.114640764892101,0.131875932216644,0.360685110092163,0.0527735650539398,-0.0258226972073317,-0.00468509271740913
"110",103,"rh",4.888888889,3.288888889,2.738095238,0.0189619567245245,0.0836814790964127,0.0197534766048193,0.284076869487762,-0.158905938267708,0.106146804988384,-0.0504732131958008
"111",111,"rh",3.611111111,2.216666667,2.186507937,0.0286833383142948,0.171853125095367,0.159984141588211,0.346032619476318,-0.104420952498913,0.0319681167602539,0.045068796724081
