"","X","sub","hemi","species","X.1","label","vertices","total_surface_area_.mm.2..x","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","normalized_SA"
"103",258,"104416","lh","human",1111,"csts-1",1288,956,2119,2.45,0.35,0.121,0.021,7,1.4,0.473723143339157,1.5222944021225,0.249605789780617,0.0111156328120458
"104",259,"104416","lh","human",1112,"csts-2",522,377,823,2.434,0.386,0.12,0.016,3,0.4,0.155046045780182,0.748952269554138,0.0816941186785698,0.00438346607755363
"105",260,"104416","lh","human",1113,"csts-3",993,706,1547,2.493,0.433,0.12,0.02,6,0.9,0.678040325641632,1.39952862262726,0.357261031866074,0.00820882506830998
"106",266,"104416","rh","human",1119,"csts-1",1222,920,2095,2.474,0.326,0.1,0.013,6,0.7,0.507986783981323,1.43886232376099,0.263549417257309,0.0106501203926653
"107",267,"104416","rh","human",1120,"csts-2",1087,814,1759,2.462,0.325,0.115,0.017,6,0.9,0.67769056558609,1.40700805187225,0.351593732833862,0.00942304130394517
"108",268,"104416","rh","human",1121,"csts-3",554,414,896,2.395,0.374,0.129,0.025,4,0.6,0.332018703222275,0.908234655857086,0.172255143523216,0.00479255417669939
"109",274,"104820","lh","human",1127,"csts-1",1165,829,1726,2.307,0.352,0.099,0.014,5,0.7,0.614847958087921,1.40121006965637,0.350188195705414,0.0114578726227333
"110",275,"104820","lh","human",1128,"csts-2",216,161,340,2.156,0.246,0.126,0.039,1,0.3,0.0706597343087196,0.310182154178619,0.0402444265782833,0.00222523219814241
"111",276,"104820","lh","human",1129,"csts-3",881,634,1280,2.318,0.294,0.099,0.016,3,0.6,0.55664336681366,1.22801101207733,0.317037671804428,0.00876271561256081
"112",282,"104820","rh","human",1135,"csts-1",649,462,1023,2.555,0.312,0.107,0.018,3,0.6,0.596642553806305,1.18959558010101,0.334865838289261,0.00638077480836959
"113",283,"104820","rh","human",1136,"csts-2",933,669,1440,2.455,0.333,0.112,0.02,5,0.9,0.549997925758362,1.52154684066772,0.308686524629593,0.00923969339134038
"114",284,"104820","rh","human",1137,"csts-3",603,435,967,2.405,0.256,0.107,0.024,3,0.6,0.429095059633255,1.14474105834961,0.2408297508955,0.00600787238450383
"115",290,"105014","lh","human",1143,"csts-1",627,454,1055,2.649,0.268,0.107,0.014,3,0.4,0.0155727900564671,0.56977105140686,0.00763335125520825,0.00520546688680976
"116",291,"105014","lh","human",1144,"csts-2",1422,1038,2400,2.816,0.381,0.113,0.017,8,1.1,0.600184202194214,1.55700743198395,0.294193655252457,0.0119014859658778
"117",292,"105014","lh","human",1145,"csts-3",468,331,774,2.542,0.405,0.129,0.032,3,0.6,0.252720773220062,0.917512476444244,0.123876735568047,0.00379517519721152
"118",298,"105014","rh","human",1151,"csts-1",1010,713,1664,2.686,0.369,0.106,0.017,6,0.7,0.230890020728111,0.933608293533325,0.122488655149937,0.00822281167108753
"119",299,"105014","rh","human",1152,"csts-2",1587,1146,2796,2.671,0.37,0.104,0.016,8,1.1,0.534505426883698,1.44536185264587,0.283558636903763,0.0132164686887326
"120",300,"105014","rh","human",1153,"csts-3",406,296,662,2.459,0.382,0.116,0.012,3,0.3,-0.0388703159987926,0.369502127170563,-0.0206209570169449,0.00341367777649637
"121",305,"105115","lh","human",1158,"csts-1",1090,795,1902,2.639,0.43,0.111,0.019,6,0.9,0.164454087615013,0.829704999923706,0.0909171104431152,0.00932551319648094
"122",306,"105115","lh","human",1159,"csts-2",1556,1089,2468,2.555,0.318,0.106,0.017,8,1.2,0.455613553524017,1.1686418056488,0.251882255077362,0.0127741935483871
"123",307,"105115","lh","human",1160,"csts-3",402,284,563,2.333,0.26,0.118,0.016,3,0.3,0.497571676969528,1.06592440605164,0.275078475475311,0.00333137829912023
"124",313,"105115","rh","human",1166,"csts-1",849,594,1476,2.735,0.36,0.105,0.018,5,0.7,0.361409723758698,0.985906004905701,0.187543854117393,0.00688177026009384
"125",314,"105115","rh","human",1167,"csts-2",1452,1080,2507,2.518,0.31,0.095,0.014,6,0.8,0.502315104007721,1.42470586299896,0.260662913322449,0.012512309563807
"126",315,"105115","rh","human",1168,"csts-3",525,399,829,2.356,0.365,0.126,0.017,4,0.5,0.460664808750153,1.17936086654663,0.2390496134758,0.00462260325551758
"127",321,"105216","lh","human",1174,"csts-1",847,593,1250,2.392,0.383,0.108,0.017,4,0.7,0.615726828575134,1.69402170181274,0.329615831375122,0.00568781292562681
"128",322,"105216","lh","human",1175,"csts-2",215,156,407,2.882,0.298,0.1,0.019,1,0.2,0.46455779671669,1.05567681789398,0.248690783977509,0.0014962880546337
"129",323,"105216","lh","human",1176,"csts-3",866,633,1291,2.307,0.321,0.115,0.019,5,0.8,0.380521208047867,0.998261988162994,0.203703656792641,0.00607147652937904
"130",329,"105216","rh","human",1182,"csts-1",745,553,1240,2.585,0.352,0.117,0.019,4,0.6,0.908921778202057,1.82330667972565,0.490960747003555,0.0053259623811771
"131",330,"105216","rh","human",1183,"csts-2",877,649,1527,2.564,0.33,0.112,0.019,4,0.8,0.332070767879486,1.37960231304169,0.179370418190956,0.00625054174572141
"132",331,"105216","rh","human",1184,"csts-3",1269,912,2072,2.6,0.386,0.089,0.013,4,0.7,0.733593881130219,1.6065286397934,0.396256119012833,0.00878350396317092
"133",336,"105620","lh","human",1189,"csts-1",582,422,882,2.313,0.315,0.112,0.02,3,0.5,0.0634566321969032,0.645549416542053,0.0347250774502754,0.00480020019792295
"134",337,"105620","lh","human",1190,"csts-2",1050,746,1618,2.286,0.382,0.087,0.011,4,0.5,0.39410412311554,1.51540672779083,0.215663745999336,0.00848566196125715
"135",338,"105620","lh","human",1191,"csts-3",868,631,1294,2.239,0.313,0.104,0.018,4,0.6,0.242346167564392,0.958770453929901,0.132617965340614,0.00717755053291322
"136",344,"105620","rh","human",1197,"csts-1",790,561,1242,2.462,0.303,0.093,0.014,3,0.6,0.467742681503296,1.15603029727936,0.257109105587006,0.00622862725940401
"137",345,"105620","rh","human",1198,"csts-2",1416,1019,2240,2.496,0.39,0.105,0.015,7,1.1,0.672710955142975,1.61267673969269,0.369776159524918,0.0113136741128925
"138",346,"105620","rh","human",1199,"csts-3",618,464,977,2.334,0.28,0.104,0.01,3,0.4,0.138102442026138,0.659998416900635,0.0759122222661972,0.00515166318781365
"139",352,"106016","lh","human",1205,"csts-1",769,575,1376,2.675,0.424,0.129,0.022,5,0.8,0.317763388156891,0.988246262073517,0.173261106014252,0.00678026059784211
"140",353,"106016","lh","human",1206,"csts-2",607,454,978,2.268,0.263,0.11,0.016,3,0.5,0.42222934961319,1.11092174053192,0.230221390724182,0.0053534579329049
